Attributes,high,low,open,close,adjust,volume
Symbols,BID,BID,BID,BID,BID,BID
date,,,,,,
2014-01-24,19.5,18.5,19.0,18.8,14.27,8417060
2014-01-27,18.8,18.1,18.7,18.4,13.97,3240910
2014-02-06,18.3,17.6,18.2,17.6,13.36,959590
2014-02-07,17.5,16.5,17.4,16.6,12.6,2987600
2014-02-10,17.2,16.2,16.5,17.0,12.9,4072090
2014-02-11,17.2,16.9,17.2,16.9,12.83,1938480
2014-02-12,16.9,16.7,16.8,16.8,12.75,1176180
2014-02-13,16.9,16.6,16.8,16.6,12.6,2156140
2014-02-14,17.0,16.6,16.8,16.8,12.75,1489380
2014-02-17,16.9,16.6,16.9,16.7,12.68,1173560
2014-02-18,16.7,16.6,16.7,16.6,12.6,1861540
2014-02-19,16.8,16.5,16.7,16.6,12.6,2988120
2014-02-20,17.2,16.6,16.7,16.9,12.83,3243650
2014-02-21,16.8,16.7,16.8,16.7,12.68,903040
2014-02-24,16.8,16.6,16.8,16.7,12.68,833430
2014-02-25,16.7,16.5,16.6,16.7,12.68,1249150
2014-02-26,16.9,16.6,16.7,16.7,12.68,1399670
2014-02-27,17.4,16.7,16.7,16.9,12.83,3731900
2014-02-28,17.0,16.8,16.8,17.0,12.9,1154560
2014-03-03,17.0,16.7,16.9,16.7,12.68,954830
2014-03-04,16.7,16.5,16.6,16.6,12.6,1551740
2014-03-05,16.8,16.6,16.7,16.6,12.6,737090
2014-03-06,16.7,16.5,16.6,16.6,12.6,768340
2014-03-07,16.7,16.6,16.6,16.6,12.6,773450
2014-03-10,16.8,16.6,16.6,16.7,12.68,957770
2014-03-11,16.7,16.6,16.6,16.6,12.6,752790
2014-03-12,16.7,16.5,16.6,16.5,12.52,979430
2014-03-13,16.6,16.4,16.6,16.5,12.52,806950
2014-03-14,16.7,16.4,16.6,16.6,12.6,924510
2014-03-17,16.7,16.5,16.6,16.6,12.6,1029350
2014-03-18,16.9,16.5,16.6,16.8,12.75,3097860
2014-03-19,17.4,16.9,16.9,17.4,13.21,5624790
2014-03-20,18.0,17.5,17.5,17.7,13.43,3325420
2014-03-21,17.8,17.5,17.5,17.5,13.28,1236010
2014-03-24,18.0,17.6,17.7,17.6,13.36,2558010
2014-03-25,17.7,17.2,17.7,17.2,13.06,2051430
2014-03-26,17.3,16.7,17.3,16.8,12.75,2030920
2014-03-27,16.9,16.7,16.9,16.8,12.75,1046180
2014-03-28,17.0,16.8,16.8,17.0,12.9,713160
2014-03-31,17.1,16.8,17.1,16.8,12.75,831760
2014-04-01,16.9,16.6,16.9,16.7,12.68,1701600
2014-04-02,16.8,16.5,16.7,16.7,12.68,1217110
2014-04-03,16.9,16.6,16.7,16.8,12.75,519700
2014-04-04,16.9,16.7,16.9,16.9,12.83,608360
2014-04-07,16.9,16.7,16.8,16.8,12.75,441790
2014-04-08,16.9,16.7,16.8,16.7,12.68,515610
2014-04-10,16.8,16.7,16.7,16.7,12.68,485550
2014-04-11,16.7,16.5,16.6,16.6,12.6,670380
2014-04-14,16.8,16.6,16.7,16.7,12.68,414100
2014-04-15,16.7,16.5,16.6,16.5,12.52,480360
2014-04-16,16.5,15.8,16.5,16.0,12.14,1065090
2014-04-17,16.4,16.0,16.0,16.1,12.22,681040
2014-04-18,16.2,15.9,16.1,15.9,12.07,763370
2014-04-21,15.9,15.4,15.9,15.5,11.76,565920
2014-04-22,15.8,15.3,15.4,15.8,11.99,609160
2014-04-23,15.9,15.6,15.9,15.8,11.99,217960
2014-04-24,15.9,15.7,15.7,15.9,12.07,288090
2014-04-25,16.0,15.7,15.7,15.7,11.92,596240
2014-04-28,15.8,15.6,15.7,15.7,11.92,336220
2014-04-29,15.8,15.7,15.7,15.8,11.99,202970
2014-05-05,15.9,15.5,15.9,15.6,11.84,361760
2014-05-06,15.6,15.1,15.5,15.2,11.54,479520
2014-05-07,15.6,15.2,15.2,15.5,11.76,274120
2014-05-08,15.3,14.5,15.3,14.6,11.08,1515840
2014-05-09,14.8,14.4,14.4,14.8,11.23,308830
2014-05-12,14.7,13.8,14.7,14.0,10.63,520700
2014-05-13,14.2,13.5,13.5,14.1,10.7,695610
2014-05-14,14.8,14.0,14.0,14.7,11.16,473470
2014-05-15,14.8,13.9,14.8,14.2,10.78,636940
2014-05-16,14.6,14.1,14.2,14.6,11.08,333670
2014-05-19,14.7,14.4,14.4,14.5,11.01,357580
2014-05-20,14.7,14.4,14.5,14.7,11.16,181780
2014-05-21,15.0,14.4,14.6,14.9,11.31,604540
2014-05-22,14.9,14.6,14.9,14.6,11.08,233070
2014-05-23,14.7,14.5,14.7,14.7,11.16,163360
2014-05-26,14.7,14.5,14.5,14.6,11.08,103450
2014-05-27,15.0,14.6,14.6,15.0,11.39,445140
2014-05-28,15.0,14.8,15.0,14.9,11.31,404820
2014-05-29,15.0,14.8,14.8,14.9,11.31,423040
