Attributes,high,low,open,close,adjust,volume
Symbols,CTG,CTG,CTG,CTG,CTG,CTG
date,,,,,,
2010-01-04,30.9,29.5,30.0,30.9,12.63,273690
2010-01-05,32.0,31.2,32.0,31.5,12.87,412620
2010-01-06,30.7,30.0,30.0,30.1,12.3,395370
2010-01-07,29.9,29.6,29.7,29.6,12.1,175450
2010-01-08,30.0,29.3,30.0,29.3,11.98,258380
2010-01-11,29.6,29.2,29.5,29.6,12.1,237870
2010-01-12,29.8,29.1,29.8,29.1,11.89,247870
2010-01-13,29.5,28.5,29.1,29.1,11.89,190590
2010-01-14,29.5,29.1,29.5,29.1,11.89,77050
2010-01-15,29.3,29.0,29.0,29.0,11.85,199230
2010-01-18,29.0,28.6,29.0,28.6,11.69,143420
2010-01-19,29.0,28.8,29.0,28.9,11.81,101580
2010-01-20,29.0,28.0,29.0,28.0,11.44,96630
2010-01-21,28.6,28.0,28.6,28.0,11.44,191590
2010-01-22,28.1,27.8,28.0,28.0,11.44,135450
2010-01-25,28.4,28.0,28.0,28.4,11.61,130190
2010-01-26,29.0,28.5,28.9,29.0,11.85,120710
2010-01-27,28.5,28.1,28.2,28.1,11.48,47270
2010-01-28,28.6,28.0,28.1,28.5,11.65,154950
2010-01-29,28.5,28.0,28.5,28.0,11.44,101600
2010-02-01,28.5,27.9,28.0,27.9,11.4,38590
2010-02-02,28.0,27.7,27.7,27.9,11.4,52450
2010-02-03,28.0,27.8,27.9,27.8,11.36,93970
2010-02-04,28.0,27.8,28.0,28.0,11.44,88290
2010-02-05,28.0,27.7,27.8,27.7,11.32,99030
2010-02-08,27.5,27.2,27.5,27.5,11.24,116890
2010-02-09,27.5,27.3,27.5,27.3,11.16,51270
2010-02-10,27.8,27.7,27.8,27.8,11.36,46160
2010-02-11,29.0,27.8,28.2,29.0,11.85,148930
2010-02-12,29.2,28.8,29.2,29.0,11.85,103980
2010-02-22,29.9,29.0,29.9,29.9,12.22,265740
2010-02-23,30.0,29.5,29.9,30.0,12.26,523330
2010-02-24,31.0,29.8,30.1,31.0,12.67,717780
2010-02-25,31.3,30.3,31.0,31.3,12.79,729340
2010-02-26,32.4,30.8,31.0,32.4,13.24,1249980
2010-03-01,34.0,32.8,32.8,33.9,13.86,1230530
2010-03-02,33.5,32.4,33.3,32.4,13.24,553510
2010-03-03,32.4,31.0,32.4,31.8,13.0,407930
2010-03-04,32.9,31.8,31.8,32.4,13.24,336880
2010-03-05,32.4,31.5,32.0,31.5,12.87,291420
2010-03-08,31.5,31.0,31.5,31.4,12.83,627100
2010-03-09,32.0,31.0,31.0,32.0,13.08,304670
2010-03-10,32.3,31.9,32.2,32.0,13.08,306080
2010-03-11,32.0,31.2,31.5,31.3,12.79,116510
2010-03-12,31.5,31.2,31.3,31.4,12.83,166190
2010-03-15,31.7,31.0,31.5,31.0,12.67,248500
2010-03-16,30.9,29.8,30.0,29.8,12.18,364920
2010-03-17,29.8,28.4,29.4,28.4,11.61,883980
2010-03-18,28.9,28.5,28.5,28.9,11.81,1031040
2010-03-19,29.1,27.6,29.1,27.6,11.28,2030350
2010-03-22,28.9,28.9,28.9,28.9,11.81,194560
2010-03-23,29.8,29.1,29.5,29.2,11.93,297510
2010-03-24,29.3,28.8,29.2,29.0,11.85,292750
2010-03-25,28.4,27.9,28.4,28.2,11.53,386700
2010-03-26,28.9,28.1,28.2,28.9,11.81,372210
2010-03-29,28.9,28.4,28.5,28.9,11.81,161680
2010-03-30,28.8,28.3,28.8,28.3,11.57,69320
2010-03-31,28.5,28.0,28.1,28.0,11.44,138370
2010-04-01,28.3,28.0,28.1,28.3,11.57,87970
2010-04-02,28.7,28.2,28.7,28.2,11.53,146450
2010-04-05,28.8,28.2,28.8,28.2,11.53,222300
2010-04-06,28.6,28.2,28.2,28.5,11.65,241450
2010-04-07,28.6,28.4,28.6,28.4,11.61,80420
2010-04-08,28.4,28.1,28.4,28.2,11.53,120420
2010-04-09,28.3,28.2,28.2,28.2,11.53,146760
2010-04-12,29.0,28.2,28.3,29.0,11.85,341420
2010-04-13,28.9,28.5,28.9,28.5,11.65,245110
2010-04-14,28.5,28.2,28.3,28.3,11.57,90650
2010-04-15,28.5,28.4,28.4,28.4,11.61,114260
2010-04-16,28.5,28.2,28.5,28.2,11.53,75220
2010-04-19,28.2,27.9,28.2,28.0,11.44,138640
2010-04-20,28.2,27.8,27.8,27.9,11.4,154100
2010-04-21,28.0,27.9,27.9,28.0,11.44,138730
2010-04-22,28.8,28.1,28.1,28.4,11.61,194350
2010-04-26,28.7,28.3,28.5,28.3,11.57,158330
2010-04-27,28.5,28.2,28.4,28.3,11.57,156700
2010-04-28,28.4,28.2,28.4,28.3,11.57,79400
