Attributes,high,low,open,close,adjust,volume
Symbols,EIB,EIB,EIB,EIB,EIB,EIB
date,,,,,,
2010-01-04,25.2,24.0,24.0,25.2,12.64,3771350
2010-01-05,26.4,25.9,26.3,26.1,13.09,4561690
2010-01-06,26.0,25.4,26.0,25.5,12.79,2876100
2010-01-07,25.6,25.0,25.5,25.0,12.54,10686670
2010-01-08,25.9,24.8,25.7,24.8,12.44,11236940
2010-01-11,25.0,24.5,24.8,24.7,12.39,1292100
2010-01-12,24.8,23.6,24.5,23.6,11.84,1996010
2010-01-13,24.1,23.4,23.6,23.9,11.99,2132419
2010-01-14,24.1,23.7,24.0,23.8,11.94,1324370
2010-01-15,24.0,23.6,23.8,23.8,11.94,1396510
2010-01-18,23.8,23.3,23.8,23.3,11.69,1991690
2010-01-19,23.9,23.3,23.6,23.6,11.84,1462939
2010-01-20,23.9,23.4,23.9,23.5,11.79,1566410
2010-01-21,23.6,23.2,23.2,23.2,11.64,1350830
2010-01-22,23.3,22.8,22.8,23.0,11.54,1278653
2010-01-25,23.1,22.9,23.0,23.0,11.54,1593240
2010-01-26,24.0,23.3,23.3,24.0,12.04,1872240
2010-01-27,23.8,23.2,23.3,23.7,11.89,1663870
2010-01-28,23.7,22.9,23.7,23.1,11.59,1362970
2010-01-29,23.2,22.9,23.0,23.0,11.54,1439920
2010-02-01,23.2,23.0,23.0,23.0,11.54,1135620
2010-02-02,23.2,23.0,23.1,23.1,11.59,1423240
2010-02-03,23.3,23.0,23.0,23.1,11.59,851530
2010-02-04,23.4,23.1,23.1,23.2,11.64,614680
2010-02-05,23.2,23.0,23.0,23.0,11.54,649670
2010-02-08,23.5,22.9,22.9,23.4,11.74,2542150
2010-02-09,23.4,23.1,23.2,23.1,11.59,540930
2010-02-10,23.4,23.0,23.0,23.1,11.59,3380180
2010-02-11,23.5,23.0,23.0,23.5,11.79,345620
2010-02-12,23.8,23.5,23.8,23.7,11.89,481470
2010-02-22,23.9,23.5,23.8,23.7,11.89,529220
2010-02-23,23.5,23.2,23.4,23.3,11.69,1340820
2010-02-24,23.2,23.0,23.2,23.2,11.64,557970
2010-02-25,23.5,23.0,23.2,23.1,11.59,414870
2010-02-26,23.2,23.0,23.1,23.1,11.59,805350
2010-03-01,23.7,23.4,23.5,23.4,11.74,1073000
2010-03-02,23.5,23.1,23.5,23.2,11.64,6889080
2010-03-03,23.4,23.2,23.2,23.4,11.74,741890
2010-03-04,23.5,23.2,23.5,23.3,11.69,1140740
2010-03-05,23.3,23.1,23.2,23.1,11.59,1202700
2010-03-08,23.3,23.1,23.2,23.1,11.59,1633040
2010-03-09,23.2,23.0,23.1,23.1,11.59,1539830
2010-03-10,23.2,23.0,23.2,23.0,11.54,1269240
2010-03-11,23.2,22.9,23.0,22.9,11.49,1338860
2010-03-12,23.1,22.9,23.0,23.0,11.54,1235280
2010-03-15,23.3,23.1,23.2,23.2,11.64,2146830
2010-03-16,23.3,23.0,23.1,23.2,11.64,2133840
2010-03-17,23.3,23.1,23.1,23.2,11.64,1858360
2010-03-18,23.2,23.0,23.1,23.0,11.54,722920
2010-03-19,23.1,22.9,23.0,23.0,11.54,2203370
2010-03-22,23.1,22.8,23.0,23.0,11.54,1425770
2010-03-23,23.1,22.9,23.0,23.0,11.54,1743230
2010-03-24,23.0,22.9,23.0,22.9,11.49,1230630
2010-03-25,23.0,22.8,22.9,22.8,11.44,2133360
2010-03-26,22.9,22.7,22.7,22.8,11.44,11025670
2010-03-29,22.7,22.3,22.5,22.5,11.29,734320
2010-03-30,23.3,22.2,22.3,23.3,11.69,5106600
2010-03-31,23.4,22.6,23.3,23.4,11.74,8546500
2010-04-01,23.3,22.6,22.8,23.1,11.59,764630
2010-04-02,23.0,22.6,23.0,22.6,11.34,365790
2010-04-05,22.8,22.5,22.6,22.6,11.34,797780
2010-04-06,22.8,22.5,22.6,22.5,11.29,407860
