Attributes,high,low,open,close,adjust,volume
Symbols,FPT,FPT,FPT,FPT,FPT,FPT
date,,,,,,
2010-01-04,82.5,79.0,81.0,82.5,11.47,235620
2010-01-05,85.5,82.5,85.5,82.5,11.47,200040
2010-01-06,83.5,79.5,82.5,81.0,11.27,94870
2010-01-07,81.5,80.0,81.0,80.5,11.2,172720
2010-01-08,82.0,78.0,82.0,78.0,10.85,161560
2010-01-11,79.5,76.5,79.5,77.5,10.78,126590
2010-01-12,78.0,76.0,77.0,76.0,10.57,226250
2010-01-13,78.5,75.0,76.0,78.5,10.92,146230
2010-01-14,80.0,78.0,80.0,79.0,10.99,124220
2010-01-15,79.0,77.5,79.0,77.5,10.78,81780
2010-01-18,77.0,76.0,77.0,76.0,10.57,142680
2010-01-19,78.5,76.5,78.0,77.5,10.78,125670
2010-01-20,80.0,77.5,79.5,79.0,10.99,528722
2010-01-21,79.0,77.5,78.0,78.0,10.85,226540
2010-01-22,78.5,76.5,78.0,78.0,10.85,132330
2010-01-25,78.5,78.0,78.0,78.5,10.92,44160
2010-01-26,81.0,78.5,80.0,81.0,11.27,126830
2010-01-27,81.0,78.0,81.0,78.0,10.85,125540
2010-01-28,78.5,77.0,77.0,78.0,10.85,37340
2010-01-29,78.0,77.0,77.5,77.0,10.71,100130
2010-02-01,79.0,76.5,76.5,78.0,10.85,122980
2010-02-02,81.0,79.5,80.0,81.0,11.27,401340
2010-02-03,84.5,82.0,83.5,84.5,11.75,688030
2010-02-04,85.0,83.5,84.0,84.5,11.75,417620
2010-02-05,84.0,80.5,83.5,81.0,11.27,252750
2010-02-08,83.0,80.5,80.5,83.0,11.54,165000
2010-02-09,83.0,79.5,81.5,79.5,11.06,202980
2010-02-10,82.0,81.5,81.5,82.0,11.4,68750
2010-02-11,83.5,82.0,83.0,83.5,11.61,142740
2010-02-12,85.0,83.5,85.0,84.0,11.68,269440
2010-02-22,84.5,83.0,84.5,83.5,11.61,156270
2010-02-23,82.0,80.0,81.5,80.5,11.2,129220
2010-02-24,81.0,80.0,80.0,80.5,11.2,187720
2010-02-25,81.5,79.5,80.5,80.5,11.2,268610
2010-02-26,80.0,78.0,80.0,78.0,10.85,685260
2010-03-01,80.5,80.0,80.5,80.0,11.13,69350
2010-03-02,80.0,79.5,80.0,80.0,11.13,194250
2010-03-03,81.0,80.5,81.0,81.0,11.27,208570
2010-03-04,82.5,81.0,82.0,82.5,11.47,309130
2010-03-05,83.0,82.0,82.5,82.0,11.4,276710
2010-03-08,83.0,82.0,82.0,82.5,11.47,291290
2010-03-09,84.0,83.0,83.0,84.0,11.68,444180
2010-03-10,88.0,84.5,85.5,88.0,12.24,1193070
2010-03-11,90.0,88.0,89.5,89.0,12.38,241410
2010-03-12,89.5,88.0,89.5,89.0,12.38,337200
2010-03-15,89.0,87.0,89.0,88.0,12.24,238400
