Attributes,high,low,open,close,adjust,volume
Symbols,GAS,GAS,GAS,GAS,GAS,GAS
date,,,,,,
2012-05-21,41.1,37.0,37.0,41.0,25.62,2502080
2012-05-22,43.0,42.5,43.0,43.0,26.87,4834550
2012-05-23,43.0,40.9,42.9,40.9,25.56,1055780
2012-05-24,40.0,38.9,39.0,38.9,24.31,1009380
2012-05-25,39.8,37.1,38.9,39.0,24.37,927260
2012-05-28,39.2,37.5,39.2,37.6,23.49,457400
2012-05-29,37.0,36.1,36.3,36.7,22.93,418300
2012-05-30,37.9,36.7,37.0,37.8,23.62,170280
2012-05-31,37.8,36.7,37.2,37.2,23.24,269030
2012-06-01,37.4,37.0,37.0,37.2,23.24,138370
2012-06-04,36.8,35.6,36.8,35.6,22.24,383250
2012-06-05,35.9,35.0,35.0,35.6,22.24,330550
2012-06-06,36.0,35.3,35.6,35.8,22.37,101300
2012-06-07,37.5,35.8,36.3,37.5,23.43,380210
2012-06-08,39.3,37.4,37.8,37.5,23.43,450060
2012-06-11,37.9,36.8,37.0,36.8,22.99,176110
2012-06-12,37.5,36.3,37.5,36.3,22.68,200760
2012-06-13,36.7,36.1,36.7,36.4,22.74,33550
2012-06-14,36.8,36.1,36.2,36.4,22.74,120860
2012-06-15,37.3,36.4,36.4,37.1,23.18,80460
2012-06-18,38.0,37.3,37.3,37.9,23.68,181580
2012-06-19,38.2,37.6,37.9,37.9,23.68,297540
2012-06-20,38.7,37.9,37.9,38.4,23.99,224150
2012-06-21,38.8,38.1,38.8,38.5,24.06,143970
2012-06-22,38.8,38.3,38.4,38.6,24.12,409790
2012-06-25,38.7,37.6,38.7,37.9,23.68,216300
2012-06-26,37.9,37.2,37.2,37.9,23.68,107410
2012-06-27,38.4,37.8,37.8,38.0,23.74,56490
2012-06-28,38.5,38.0,38.5,38.5,24.06,314740
2012-06-29,38.7,38.4,38.7,38.4,23.99,591130
2012-07-02,40.0,38.4,38.7,38.5,24.06,421900
2012-07-03,38.8,38.2,38.3,38.6,24.12,98880
2012-07-04,38.6,38.2,38.5,38.3,23.93,181160
2012-07-05,38.4,37.5,38.3,38.3,23.93,32450
2012-07-06,38.3,37.5,38.3,38.3,23.93,27580
2012-07-09,38.3,37.7,38.3,38.0,23.74,14910
2012-07-10,38.0,37.5,37.7,37.5,23.43,54900
2012-07-11,37.8,37.0,37.0,37.8,23.62,32940
2012-07-12,37.9,37.6,37.9,37.9,23.68,2830
2012-07-13,38.2,37.9,38.0,38.1,23.81,77460
2012-07-16,38.3,37.6,37.6,38.3,23.93,75920
2012-07-17,38.6,38.0,38.6,38.3,23.93,182340
2012-07-18,38.6,37.7,38.6,38.4,23.99,146560
2012-07-19,40.1,37.9,38.4,40.1,25.06,1119250
2012-07-20,40.0,39.4,40.0,39.6,24.74,287610
2012-07-23,39.6,39.0,39.6,39.4,24.62,86750
2012-07-24,39.4,38.1,39.4,38.6,24.12,33440
2012-07-25,39.0,38.0,38.0,38.6,24.12,59190
2012-07-26,38.9,38.6,38.9,38.9,24.31,28250
2012-07-27,39.0,38.7,38.9,38.8,24.24,42110
2012-07-30,39.2,38.2,38.2,39.2,24.49,36800
2012-07-31,39.4,38.8,39.4,38.9,24.31,37450
2012-08-01,39.1,38.9,38.9,39.0,24.37,126160
2012-08-02,39.6,38.8,39.0,39.3,24.56,379390
2012-08-03,39.4,39.0,39.1,39.3,24.56,338830
2012-08-06,39.7,39.0,39.7,39.4,24.62,307250
2012-08-07,39.5,39.1,39.4,39.4,24.62,39770
2012-08-08,39.5,39.1,39.5,39.1,24.43,88470
2012-08-09,39.4,39.1,39.1,39.1,24.43,172070
2012-08-10,39.4,39.1,39.1,39.1,24.43,82930
2012-08-13,39.2,38.5,38.5,39.1,24.43,52670
2012-08-14,39.3,39.0,39.0,39.2,24.49,65220
2012-08-15,39.5,39.3,39.4,39.4,24.62,172630
2012-08-16,40.3,39.5,39.5,40.1,25.06,713090
2012-08-17,41.8,40.3,40.3,41.6,25.99,2424550
2012-08-20,42.0,41.6,42.0,41.9,26.18,385470
2012-08-21,41.8,39.9,41.8,39.9,24.93,778620
2012-08-22,41.0,38.5,38.5,40.5,25.31,425250
2012-08-23,40.0,38.5,40.0,38.5,24.06,608680
2012-08-24,40.3,36.8,36.8,39.5,24.68,491190
2012-08-27,39.4,37.6,39.4,37.6,23.49,338670
2012-08-28,38.7,37.2,37.2,38.3,23.93,144670
2012-08-29,40.2,39.8,39.8,40.2,25.12,1294020
2012-08-30,41.2,40.5,40.8,41.0,25.62,1204090
2012-08-31,40.9,40.3,40.5,40.8,26.13,1200100
2012-09-04,41.4,40.8,41.4,41.1,26.32,633240
2012-09-05,41.3,40.3,41.1,40.6,26.0,174700
2012-09-06,40.7,39.0,40.2,39.0,24.98,274400
2012-09-07,40.9,38.9,39.7,40.9,26.2,360690
2012-09-10,40.7,39.3,40.7,39.9,25.56,454770
