Attributes,high,low,open,close,adjust,volume
Symbols,KDH,KDH,KDH,KDH,KDH,KDH
date,,,,,,
2010-02-01,48.0,48.0,48.0,48.0,14.35,26580
2010-02-02,50.0,50.0,50.0,50.0,14.95,12200
2010-02-03,52.0,50.0,52.0,50.0,14.95,122950
2010-02-04,50.0,49.0,50.0,50.0,14.95,378210
2010-02-05,48.1,47.5,48.0,47.5,14.2,18600
2010-02-08,49.5,45.5,45.5,49.5,14.8,94990
2010-02-09,49.5,47.2,49.5,49.0,14.65,11870
2010-02-10,49.0,48.9,49.0,49.0,14.65,8220
2010-02-11,49.0,47.5,47.5,48.0,14.35,9350
2010-02-12,48.0,46.5,47.0,48.0,14.35,22660
2010-02-22,47.5,46.1,46.7,47.2,14.11,17500
2010-02-23,46.8,44.9,44.9,44.9,13.43,28090
2010-02-24,44.9,42.7,44.9,42.8,12.8,19610
2010-02-25,44.7,42.5,42.5,44.0,13.16,8700
2010-02-26,44.8,44.0,44.8,44.7,13.37,18410
2010-03-01,45.0,44.5,45.0,45.0,13.46,49900
2010-03-02,44.8,43.2,43.2,44.4,13.28,5560
2010-03-03,44.0,42.9,44.0,43.0,12.86,7850
2010-03-04,45.0,44.3,44.3,44.5,13.31,37700
2010-03-05,43.8,42.3,43.8,42.3,12.65,30450
2010-03-08,44.4,43.1,43.3,44.4,13.28,149570
2010-03-09,46.6,45.0,46.6,46.6,13.93,85600
2010-03-10,48.2,46.0,46.6,46.6,13.93,43550
2010-03-11,47.9,45.0,45.6,45.0,13.46,67670
2010-03-12,46.0,45.0,45.0,46.0,13.76,7940
2010-03-15,47.5,45.8,47.5,46.0,13.76,69650
2010-03-16,45.5,44.1,45.0,44.1,13.19,61450
2010-03-17,44.2,42.5,43.5,43.0,12.86,46310
2010-03-18,44.5,43.0,43.0,44.5,13.31,15510
2010-03-19,44.9,44.0,44.5,44.6,13.34,50590
2010-03-22,45.9,45.0,45.9,45.0,13.46,18200
2010-03-23,45.0,44.6,45.0,45.0,13.46,49500
2010-03-24,45.5,45.0,45.0,45.5,13.61,13920
2010-03-25,45.5,45.0,45.5,45.4,13.58,38120
2010-03-26,47.5,44.5,45.0,47.5,14.2,131440
2010-03-29,49.0,46.1,49.0,46.1,13.79,63430
2010-03-30,46.3,45.0,45.0,46.0,13.76,7190
2010-03-31,46.0,44.0,46.0,44.0,13.16,108900
2010-04-01,46.0,44.0,44.0,46.0,13.76,111250
2010-04-02,46.4,45.2,46.4,46.0,13.76,68990
2010-04-05,46.5,45.6,46.0,46.5,13.9,91760
2010-04-06,47.0,46.5,46.5,46.7,13.96,72100
2010-04-07,47.5,46.5,46.8,47.5,14.2,126820
2010-04-08,49.8,47.0,47.0,49.8,14.89,145510
2010-04-09,51.5,49.8,51.0,50.5,15.1,544460
2010-04-12,51.0,50.0,51.0,50.5,15.1,83300
2010-04-13,50.5,49.0,50.5,49.0,14.65,41460
2010-04-14,49.1,48.0,48.0,48.5,14.5,24000
2010-04-15,50.0,48.5,48.5,50.0,14.95,87190
2010-04-16,50.5,49.0,49.0,50.5,15.1,270610
2010-04-19,53.0,52.5,53.0,52.5,15.7,239050
2010-04-20,55.0,52.5,52.5,55.0,16.45,156670
2010-04-21,57.5,56.5,57.0,57.5,17.19,118500
2010-04-22,57.5,55.0,55.0,55.0,16.45,174970
2010-04-26,57.5,55.0,57.0,56.5,16.9,102940
2010-04-27,57.5,54.5,57.0,56.5,16.9,147630
2010-04-28,56.5,54.5,56.0,56.0,16.75,103770
2010-04-29,56.0,53.5,56.0,55.0,16.45,165780
2010-05-04,56.5,55.0,56.0,56.0,16.75,125360
2010-05-05,54.5,53.5,54.0,54.0,16.15,96700
2010-05-06,53.5,52.0,53.5,52.0,15.55,62800
2010-05-07,52.5,50.0,51.0,52.5,15.7,110870
2010-05-10,52.5,49.9,52.5,49.9,14.92,77230
2010-05-11,52.0,49.3,51.0,52.0,15.55,51470
2010-05-12,51.0,49.5,50.5,49.5,14.8,46550
2010-05-13,51.5,50.0,50.0,51.5,15.4,36720
2010-05-14,53.0,51.5,53.0,52.5,15.7,79650
2010-05-17,53.0,50.5,53.0,52.0,15.55,84520
2010-05-18,51.5,50.0,51.0,51.5,15.4,114950
2010-05-19,51.5,49.0,51.5,50.5,15.1,155080
2010-05-20,51.0,48.0,48.0,51.0,15.25,95120
2010-05-21,50.5,49.3,50.0,50.0,14.95,109150
2010-05-24,50.5,50.0,50.0,50.5,15.1,88650
2010-05-25,51.0,49.0,50.0,51.0,15.25,57590
2010-05-26,51.0,50.0,51.0,51.0,15.25,96110
2010-05-27,51.0,49.3,49.3,51.0,15.25,61380
2010-05-28,52.0,50.5,52.0,52.0,15.55,84200
2010-05-31,51.5,50.5,51.0,51.5,15.4,57600
2010-06-01,52.0,50.5,52.0,52.0,15.55,47960
2010-06-02,52.5,50.5,50.5,52.5,15.7,87300
2010-06-03,52.5,52.0,52.5,52.5,15.7,52510
2010-06-04,52.5,50.5,52.5,51.5,15.4,58150
2010-06-07,51.5,49.2,51.5,50.5,15.1,333850
2010-06-08,50.0,49.5,50.0,50.0,14.95,70270
2010-06-09,51.0,49.7,50.0,50.0,14.95,33780
2010-06-10,51.0,50.0,51.0,51.0,15.25,70750
2010-06-11,51.0,50.0,50.5,51.0,15.25,140800
2010-06-14,51.0,50.0,51.0,51.0,15.25,116030
2010-06-15,51.0,50.0,50.0,51.0,15.25,221420
2010-06-16,52.0,50.5,51.0,52.0,15.55,292870
2010-06-17,52.0,50.0,50.5,51.5,15.4,659610
2010-06-18,54.0,50.5,52.0,54.0,16.15,1079150
2010-06-21,55.0,53.0,55.0,54.5,16.3,398990
2010-06-22,54.5,52.5,53.5,53.5,16.0,209750
2010-06-23,53.5,52.0,52.5,53.0,15.85,276710
2010-06-24,55.5,55.0,55.5,55.5,16.6,1712320
2010-06-25,58.0,53.5,56.0,57.0,17.04,562890
2010-06-28,57.5,54.5,57.0,54.5,16.3,405690
2010-06-29,55.5,53.0,53.0,55.0,16.45,287170
2010-06-30,54.0,52.5,53.0,53.0,15.85,370790
2010-07-01,54.0,51.5,54.0,51.5,15.4,275880
2010-07-02,54.0,51.5,52.0,54.0,16.15,640730
2010-07-05,55.0,53.0,54.5,53.0,15.85,216300
2010-07-06,52.5,50.5,52.5,50.5,15.1,705700
2010-07-07,51.5,49.1,51.5,50.5,15.1,554990
2010-07-08,52.0,50.0,52.0,50.0,14.95,308540
2010-07-09,50.5,50.0,50.0,50.0,14.95,125690
2010-07-12,50.5,50.0,50.0,50.5,15.1,224510
2010-07-13,52.0,50.5,50.5,51.0,15.25,171260
2010-07-14,52.5,51.5,52.0,51.5,15.4,612000
2010-07-15,51.5,50.5,51.5,51.0,15.25,123410
2010-07-16,51.5,50.5,51.0,50.5,15.1,115060
2010-07-19,50.0,49.5,50.0,49.5,14.8,152180
2010-07-20,49.5,48.6,49.5,49.0,14.65,171200
2010-07-21,49.5,49.0,49.5,49.2,14.71,113690
2010-07-22,51.0,49.3,49.5,50.5,15.1,165210
2010-07-23,53.0,50.5,50.5,51.0,15.25,424950
2010-07-26,50.5,49.8,50.0,50.0,14.95,91380
2010-07-27,50.5,48.0,50.0,48.1,14.38,150360
2010-07-28,49.0,47.8,49.0,48.1,14.38,108830
2010-07-29,48.1,47.3,48.0,48.0,14.35,134600
2010-07-30,49.0,48.0,48.0,48.4,14.47,202210
2010-08-02,49.0,48.4,49.0,48.5,14.5,128570
2010-08-03,48.8,48.4,48.8,48.5,14.5,192840
2010-08-04,48.5,47.0,48.5,47.9,14.32,158900
2010-08-05,48.0,47.5,48.0,47.5,14.2,123030
2010-08-06,47.8,47.0,47.5,47.0,14.05,330970
2010-08-09,47.0,45.0,47.0,45.0,13.46,120730
2010-08-10,45.0,42.8,43.5,42.8,12.8,89930
2010-08-11,42.8,40.7,41.2,42.8,12.8,218720
2010-08-12,40.5,36.8,40.5,39.5,13.07,185300
2010-08-13,39.9,37.6,37.7,39.6,13.1,457920
2010-08-16,41.0,38.8,40.0,40.6,13.43,174130
2010-08-17,40.9,40.0,40.9,40.9,13.53,181490
2010-08-18,40.9,40.5,40.9,40.8,13.5,129700
2010-08-19,40.7,39.9,40.5,40.5,13.4,126150
2010-08-20,40.7,40.3,40.7,40.6,13.43,164310
2010-08-23,40.8,40.3,40.8,40.5,13.4,182420
2010-08-24,40.0,39.3,40.0,39.5,13.07,108700
2010-08-25,39.5,38.0,39.5,38.0,12.57,114480
2010-08-26,39.3,38.2,38.8,38.5,12.74,69100
2010-08-27,40.4,38.5,39.5,40.4,13.36,124400
2010-08-30,42.4,42.0,42.4,42.4,14.03,116230
2010-08-31,44.5,43.9,44.0,44.5,14.72,135810
2010-09-01,46.5,44.6,46.5,44.6,14.75,83930
2010-09-06,46.8,46.5,46.5,46.7,15.45,213500
2010-09-07,47.5,46.0,46.7,46.8,15.48,288380
2010-09-08,46.7,45.5,46.7,46.5,15.38,110100
2010-09-09,47.0,46.6,47.0,46.9,15.51,112930
2010-09-10,47.0,45.5,47.0,45.5,15.05,161410
2010-09-13,46.5,44.5,46.5,44.9,14.85,133500
2010-09-14,47.0,46.4,47.0,46.7,15.45,221710
2010-09-15,47.3,46.7,47.3,47.0,15.55,184830
2010-09-16,47.5,46.5,47.5,47.0,15.55,212600
2010-09-17,47.4,47.0,47.4,47.3,15.65,152450
2010-09-20,47.9,47.3,47.5,47.9,15.84,446000
2010-09-21,50.0,47.5,48.0,50.0,16.54,429050
2010-09-22,50.0,49.3,50.0,49.5,16.37,205400
2010-09-23,49.5,48.0,49.5,48.9,16.18,164420
2010-09-24,48.9,48.0,48.9,48.0,15.88,133330
2010-09-27,48.2,47.5,48.0,47.5,15.71,147300
2010-09-28,48.0,47.7,48.0,47.7,15.78,161800
2010-09-29,47.8,47.5,47.8,47.5,15.71,107860
2010-09-30,47.7,47.5,47.5,47.6,15.75,127160
2010-10-01,47.8,47.5,47.8,47.6,15.75,120500
2010-10-04,47.8,47.0,47.8,47.3,15.65,155070
2010-10-05,47.3,47.0,47.3,47.3,15.65,123830
2010-10-06,47.7,47.3,47.5,47.7,15.78,115860
2010-10-07,48.0,47.5,47.9,47.7,15.78,106500
2010-10-08,47.7,47.4,47.7,47.5,15.71,104070
2010-10-11,47.6,47.3,47.5,47.5,15.71,113600
2010-10-12,48.9,47.3,47.7,47.5,15.71,84750
2010-10-13,47.6,47.2,47.5,47.5,15.71,106280
2010-10-14,47.5,47.3,47.5,47.5,15.71,107930
2010-10-15,48.0,47.2,47.5,48.0,15.88,110220
2010-10-18,48.0,47.7,48.0,47.7,15.78,82350
2010-10-19,47.7,47.3,47.7,47.5,15.71,127800
2010-10-20,47.5,47.0,47.5,47.0,15.55,95200
2010-10-21,47.0,46.8,47.0,47.0,15.55,122170
2010-10-22,48.5,46.9,47.0,48.5,16.04,110440
