Attributes,high,low,open,close,adjust,volume
Symbols,MBB,MBB,MBB,MBB,MBB,MBB
date,,,,,,
2011-11-01,14.5,13.8,14.5,13.8,5.11,2719290
2011-11-02,13.8,13.2,13.6,13.2,4.89,5468472
2011-11-03,13.2,12.6,13.0,13.1,4.85,2714756
2011-11-04,13.2,12.9,13.2,12.9,4.78,483860
2011-11-07,12.9,12.3,12.9,12.3,4.55,1221163
2011-11-08,12.2,11.8,12.1,12.0,4.44,1105490
2011-11-09,12.0,11.6,11.9,11.6,4.3,740500
2011-11-10,12.1,11.4,11.4,11.8,4.37,1258020
2011-11-11,12.2,11.9,12.0,12.0,4.44,1024320
2011-11-14,12.0,11.8,11.9,11.9,4.41,681580
2011-11-15,12.0,11.8,11.9,11.8,4.37,432520
2011-11-16,12.0,11.7,11.8,11.9,4.41,1155356
2011-11-17,11.9,11.7,11.9,11.9,4.41,983240
2011-11-18,12.0,11.6,11.8,12.0,4.44,1468870
2011-11-21,12.4,11.8,11.8,12.4,4.59,1247370
2011-11-22,13.0,12.4,12.4,12.8,4.74,1100380
2011-11-23,13.0,12.6,12.9,12.7,4.7,1430420
2011-11-24,12.7,12.4,12.7,12.4,4.59,545770
2011-11-25,12.4,12.1,12.3,12.3,4.55,587810
2011-11-28,12.8,12.3,12.4,12.6,4.67,1119140
2011-11-29,12.9,12.6,12.6,12.8,4.74,6868920
2011-11-30,12.9,12.5,12.9,12.5,4.63,1192350
2011-12-01,12.8,12.6,12.6,12.7,4.7,903960
2011-12-02,12.8,12.6,12.7,12.7,4.7,505490
2011-12-05,13.1,12.7,12.7,13.0,4.81,915680
2011-12-06,13.0,12.8,13.0,12.8,4.74,709500
2011-12-07,11.9,11.5,11.8,11.7,4.78,1243680
2011-12-08,11.8,11.6,11.8,11.6,4.74,381970
2011-12-09,11.6,11.3,11.6,11.4,4.66,861100
2011-12-12,11.6,11.3,11.3,11.5,4.7,693030
2011-12-13,11.6,11.4,11.4,11.4,4.66,648920
2011-12-14,11.4,11.1,11.4,11.3,4.62,1185060
2011-12-15,11.4,11.0,11.4,11.3,4.62,582760
2011-12-16,11.5,11.2,11.3,11.3,4.62,510930
2011-12-19,11.4,11.2,11.2,11.3,4.62,527027
2011-12-20,11.3,11.2,11.2,11.3,4.62,560760
2011-12-21,11.4,11.3,11.3,11.4,4.66,588730
2011-12-22,11.4,11.1,11.4,11.2,4.58,587640
2011-12-23,11.3,11.1,11.2,11.1,4.53,617370
2011-12-26,11.2,10.7,11.1,11.0,4.49,1085190
2011-12-27,10.9,10.5,10.9,10.5,4.29,2026470
2011-12-28,10.7,10.4,10.5,10.6,4.33,1741660
2011-12-29,10.8,10.6,10.7,10.8,4.41,1019180
2011-12-30,11.0,10.8,10.8,10.8,4.41,510030
2012-01-03,10.9,10.7,10.8,10.9,4.45,462000
2012-01-04,10.9,10.6,10.8,10.9,4.45,368740
2012-01-05,10.9,10.6,10.9,10.7,4.37,478490
2012-01-06,10.8,10.6,10.7,10.7,4.37,931370
2012-01-09,10.9,10.6,10.8,10.8,4.41,464800
2012-01-10,11.0,10.7,10.7,11.0,4.49,897700
2012-01-11,11.1,11.0,11.1,11.1,4.53,653750
2012-01-12,11.3,11.0,11.1,11.3,4.62,475010
2012-01-13,11.5,11.3,11.3,11.5,4.7,425170
2012-01-16,11.9,11.5,11.5,11.8,4.82,553980
2012-01-17,11.9,11.5,11.9,11.5,4.7,700660
2012-01-18,11.8,11.4,11.5,11.5,4.7,343520
2012-01-19,11.9,11.6,11.7,11.9,4.86,268670
2012-01-20,12.0,11.7,11.9,11.8,4.82,2155370
2012-01-30,12.0,11.7,11.9,12.0,4.9,512150
2012-01-31,12.4,11.9,12.0,12.1,4.94,822330
2012-02-01,12.1,11.8,12.1,12.0,4.9,586840
2012-02-02,12.6,12.2,12.2,12.6,5.15,1360930
2012-02-03,13.2,12.7,12.9,12.8,5.23,4277030
2012-02-06,13.0,12.5,13.0,12.5,5.11,1157510
2012-02-07,12.8,12.4,12.8,12.6,5.15,963570
2012-02-08,13.1,12.6,12.7,13.1,5.35,2496360
2012-02-09,13.7,13.1,13.1,13.4,5.47,5113510
2012-02-10,13.6,13.1,13.4,13.2,5.39,3199790
2012-02-13,12.7,12.3,12.7,12.3,5.25,1004610
2012-02-14,12.7,12.2,12.3,12.7,5.43,1310730
2012-02-15,12.7,12.2,12.7,12.4,5.3,1089850
2012-02-16,12.5,12.2,12.3,12.5,5.34,1264950
2012-02-17,12.7,12.5,12.5,12.7,5.43,5315500
2012-02-20,13.3,12.8,12.9,13.2,5.64,2941850
2012-02-21,13.4,12.9,13.4,12.9,5.51,2805190
2012-02-22,13.4,12.8,12.8,13.3,5.68,5635880
2012-02-23,13.9,13.2,13.4,13.9,5.94,7208336
2012-02-24,14.5,14.0,14.1,14.2,6.07,7576700
2012-02-27,14.8,14.1,14.4,14.7,6.28,5071310
2012-02-28,14.7,13.7,14.7,14.0,6.11,4770100
2012-02-29,14.3,13.7,13.7,14.3,6.24,16594350
2012-03-01,15.0,14.2,14.4,14.9,6.5,11644670
2012-03-02,15.6,15.1,15.2,15.6,6.8,14086080
2012-03-05,16.3,16.3,16.3,16.3,7.11,9549417
2012-03-06,17.1,16.3,17.1,16.5,7.2,21816100
2012-03-07,16.5,15.8,16.3,16.1,7.02,9630560
2012-03-08,16.0,15.3,15.4,15.3,6.67,9423050
2012-03-09,15.4,14.6,14.8,14.9,6.5,6469510
2012-03-12,14.9,14.2,14.9,14.4,6.28,7796380
2012-03-13,15.1,14.4,14.7,15.0,6.54,5135780
2012-03-14,15.3,14.6,15.3,14.6,6.37,3710820
2012-03-15,15.3,14.3,14.4,15.3,6.67,5270660
2012-03-16,16.0,15.4,15.9,15.5,6.76,6950540
2012-03-19,15.8,15.3,15.4,15.5,6.76,4156720
2012-03-20,15.9,15.5,15.6,15.9,6.93,3788430
2012-03-21,16.6,16.0,16.1,16.2,7.06,8676760
2012-03-22,16.3,15.8,16.0,15.8,6.89,5572930
2012-03-23,16.3,15.8,16.0,16.0,6.98,6886300
2012-03-26,16.2,15.5,16.2,15.5,6.76,5022663
2012-03-27,15.5,14.8,15.3,14.8,6.45,6591100
2012-03-28,15.1,14.4,14.6,15.1,6.58,3407320
2012-03-29,15.2,14.6,15.2,14.7,6.41,2667660
2012-03-30,14.8,14.4,14.6,14.5,6.32,5563210
2012-04-03,15.2,14.5,14.5,15.2,6.63,4730990
2012-04-04,15.3,14.8,15.2,14.9,6.5,2531050
2012-04-05,15.4,14.7,14.9,15.3,6.67,3033670
2012-04-06,15.5,15.1,15.3,15.1,6.58,2593500
2012-04-09,15.4,15.0,15.2,15.3,6.67,1672410
2012-04-10,15.4,14.8,15.3,14.9,6.5,4168660
2012-04-11,15.3,14.9,15.3,15.3,6.67,4065700
2012-04-12,16.0,15.3,15.4,15.8,6.89,10227410
2012-04-13,16.0,15.5,15.9,15.5,6.76,3021900
2012-04-16,16.0,15.5,15.7,15.8,6.89,2519500
2012-04-17,16.2,15.7,16.0,15.9,6.93,5267184
2012-04-18,16.2,15.7,15.9,15.7,6.85,5574540
2012-04-19,15.8,15.4,15.7,15.4,6.72,2850080
2012-04-20,15.8,15.2,15.4,15.4,6.72,2377050
2012-04-23,15.6,15.3,15.3,15.4,6.72,3496380
2012-04-24,15.5,15.2,15.4,15.5,6.76,2730600
2012-04-25,15.8,15.5,15.7,15.6,6.8,2629560
2012-04-26,15.7,15.3,15.7,15.3,6.67,2627460
2012-04-27,15.4,15.1,15.3,15.3,6.67,2760142
2012-05-02,15.5,15.1,15.4,15.2,6.63,2289580
2012-05-03,15.2,15.0,15.2,15.1,6.58,1651710
2012-05-04,15.3,15.1,15.1,15.2,6.63,2076794
2012-05-07,15.3,15.0,15.2,15.0,6.54,3302670
2012-05-08,15.7,15.0,15.0,15.7,6.85,7717501
2012-05-09,15.9,15.5,15.7,15.6,6.8,2560860
2012-05-10,15.8,15.4,15.6,15.7,6.85,2364650
2012-05-11,15.7,15.4,15.7,15.5,6.76,1958130
2012-05-14,15.5,15.0,15.4,15.0,6.54,3790900
2012-05-15,15.1,14.8,15.0,14.8,6.45,2627100
2012-05-16,15.0,14.7,14.8,14.9,6.5,1931580
2012-05-17,15.1,14.7,14.9,14.7,6.5,1635510
2012-05-18,14.7,14.2,14.6,14.3,6.32,2633250
2012-05-21,15.0,14.5,14.5,15.0,6.63,5750705
2012-05-22,15.0,14.6,15.0,14.7,6.5,750510
2012-05-23,14.7,14.3,14.5,14.3,6.32,1315030
2012-05-24,14.5,14.1,14.4,14.1,6.23,1236660
2012-05-25,14.8,14.3,14.5,14.8,6.54,1856780
2012-05-28,15.0,14.6,14.9,14.8,6.54,1263630
2012-05-29,14.8,14.6,14.6,14.7,6.5,1007050
2012-05-30,15.0,14.6,14.7,14.9,6.59,2073200
2012-05-31,14.8,14.6,14.8,14.7,6.5,1058710
2012-06-01,15.0,14.7,14.8,14.8,6.54,1352760
2012-06-04,14.7,14.3,14.6,14.4,6.36,2608460
2012-06-05,14.6,14.3,14.4,14.6,6.45,667870
2012-06-06,14.7,14.5,14.5,14.6,6.45,784940
2012-06-07,14.9,14.6,14.7,14.8,6.54,1587310
2012-06-08,15.0,14.6,15.0,14.6,6.45,740140
2012-06-11,14.8,14.5,14.6,14.6,6.45,1233020
2012-06-12,14.6,14.3,14.6,14.3,6.32,1167320
2012-06-13,14.5,14.3,14.3,14.3,6.32,606570
2012-06-14,14.5,14.3,14.4,14.3,6.32,869930
2012-06-15,14.6,14.3,14.4,14.4,6.36,688370
2012-06-18,14.7,14.5,14.6,14.6,6.45,1348410
2012-06-19,14.6,14.4,14.5,14.4,6.36,15860180
2012-06-20,14.5,14.4,14.4,14.4,6.36,1000520
2012-06-21,14.6,14.3,14.4,14.4,6.36,897460
2012-06-22,14.4,14.2,14.4,14.3,6.32,1033550
2012-06-25,14.4,14.1,14.3,14.1,6.23,1396050
2012-06-26,14.2,13.9,14.1,14.1,6.23,1113560
2012-06-27,14.2,14.0,14.0,14.0,6.19,935260
2012-06-28,14.1,13.9,13.9,13.9,6.14,587950
2012-06-29,14.0,13.9,14.0,14.0,6.19,527300
2012-07-02,14.0,13.8,14.0,13.8,6.1,411320
2012-07-03,13.8,13.5,13.7,13.7,6.06,684000
2012-07-04,13.8,13.5,13.7,13.5,5.97,469580
2012-07-05,13.5,13.3,13.4,13.5,5.97,659740
2012-07-06,13.7,13.4,13.4,13.6,6.01,547100
2012-07-09,13.6,13.1,13.5,13.1,5.79,495120
2012-07-10,13.2,13.0,13.0,13.0,5.75,311900
2012-07-11,13.1,13.0,13.1,13.0,5.75,286883
2012-07-12,13.2,13.0,13.0,13.2,5.83,174340
2012-07-13,13.8,13.2,13.2,13.8,6.1,1836480
2012-07-16,14.1,13.8,13.9,14.0,6.19,2039960
2012-07-17,14.4,14.0,14.0,14.3,6.32,1214720
2012-07-18,14.4,14.1,14.3,14.2,6.28,746460
2012-07-19,14.5,14.0,14.2,14.5,6.41,1036800
2012-07-20,14.7,14.3,14.5,14.3,6.32,1167570
2012-07-23,14.4,14.1,14.3,14.1,6.23,757940
2012-07-24,14.1,13.7,14.0,13.8,6.1,977000
2012-07-25,13.9,13.7,13.7,13.8,6.1,991480
2012-07-26,14.0,13.8,13.8,13.9,6.14,386960
2012-07-27,14.1,13.9,13.9,14.1,6.23,1181950
2012-07-30,14.1,13.9,14.0,14.1,6.23,372670
2012-07-31,14.2,14.0,14.0,14.0,6.19,341290
2012-08-01,14.0,13.8,14.0,13.8,6.1,445630
2012-08-02,14.0,13.8,13.8,13.8,6.1,348530
2012-08-03,14.0,13.8,13.8,13.9,6.14,501940
2012-08-06,14.2,13.9,14.0,14.1,6.23,1092280
2012-08-07,14.1,13.9,13.9,14.0,6.19,494380
2012-08-08,14.1,13.9,14.0,14.0,6.19,715510
2012-08-09,14.2,14.0,14.0,14.0,6.19,641570
2012-08-10,14.2,14.0,14.0,14.0,6.19,704773
2012-08-13,14.3,13.9,14.0,14.3,6.32,1031280
2012-08-14,15.0,14.3,14.3,14.7,6.5,22578090
