Attributes,high,low,open,close,adjust,volume
Symbols,MSN,MSN,MSN,MSN,MSN,MSN
date,,,,,,
2010-01-04,35.9,35.0,35.0,35.9,22.57,182850
2010-01-05,37.6,37.4,37.6,37.6,23.64,310230
2010-01-06,39.0,36.5,36.5,39.0,24.52,181180
2010-01-07,39.0,38.0,39.0,38.0,23.89,52800
2010-01-08,38.4,36.6,37.5,36.6,23.01,104480
2010-01-11,36.5,35.0,35.5,35.3,22.19,65870
2010-01-12,35.3,33.6,35.3,33.6,21.12,132000
2010-01-13,35.0,33.3,33.3,34.0,21.37,77110
2010-01-14,35.5,34.0,34.0,34.9,21.94,96900
2010-01-15,35.4,34.9,35.4,35.0,22.0,120080
2010-01-18,35.1,34.0,35.0,34.9,21.94,137520
2010-01-19,35.0,34.9,34.9,35.0,22.0,44690
2010-01-20,35.3,34.8,34.9,35.0,22.0,167340
2010-01-21,35.1,34.8,34.9,35.0,22.0,180850
2010-01-22,35.1,34.9,35.0,35.1,22.06,76030
2010-01-25,35.1,34.9,35.0,35.0,22.0,233860
2010-01-26,35.5,34.7,34.7,35.1,22.06,13200
2010-01-27,35.1,34.9,35.0,35.0,22.0,137310
2010-01-28,36.7,35.9,36.4,36.7,23.07,155980
2010-01-29,37.9,36.0,37.9,36.8,23.13,48200
2010-02-01,37.0,36.5,36.8,36.9,23.2,83010
2010-02-02,37.1,35.5,35.5,36.8,23.13,69500
2010-02-03,37.0,36.5,37.0,36.9,23.2,32010
2010-02-04,37.2,36.0,36.0,36.9,23.2,33270
2010-02-05,37.0,35.1,35.1,36.7,23.07,57580
2010-02-08,36.8,35.5,36.7,36.7,23.07,49710
2010-02-09,36.8,35.8,35.8,36.7,23.07,27680
2010-02-10,37.0,35.7,35.7,35.9,22.57,61160
2010-02-11,37.0,36.0,36.9,36.0,22.63,33250
2010-02-12,37.4,37.2,37.4,37.3,23.45,10750
2010-02-22,38.9,38.0,38.9,38.3,24.08,60330
2010-02-23,38.8,37.5,38.7,38.8,24.39,142490
2010-02-24,38.8,38.0,38.8,38.8,24.39,191360
2010-02-25,38.8,38.0,38.0,38.8,24.39,188170
2010-02-26,40.7,38.2,38.8,40.7,25.58,263710
2010-03-01,42.7,40.7,42.4,42.7,26.84,396170
2010-03-02,44.7,43.5,44.7,44.2,27.78,197760
2010-03-03,44.4,43.2,44.2,43.8,27.53,21370
2010-03-04,43.8,42.0,42.0,43.0,27.03,91150
2010-03-05,43.0,41.2,43.0,41.2,25.9,64510
2010-03-08,41.5,39.7,39.7,41.0,25.77,47160
2010-03-09,42.3,39.8,39.8,40.6,25.52,21150
2010-03-10,41.0,39.1,40.0,40.5,25.46,76300
2010-03-11,41.8,40.5,41.7,40.8,25.65,35790
2010-03-12,41.8,41.4,41.7,41.6,26.15,106040
2010-03-15,42.0,41.2,42.0,41.2,25.9,8960
2010-03-16,41.5,39.2,39.9,39.2,24.64,58660
2010-03-17,40.0,38.0,40.0,38.0,23.89,14360
2010-03-18,39.7,38.0,39.0,39.7,24.96,8590
2010-03-19,40.5,39.0,39.0,40.0,25.14,7480
2010-03-22,40.4,38.0,40.4,38.0,23.89,203640
2010-03-23,39.4,38.0,39.0,38.1,23.95,43490
2010-03-24,39.4,38.1,38.1,38.9,24.45,6980
2010-03-25,39.2,37.5,37.6,37.5,23.57,19530
2010-03-26,38.1,37.2,37.5,37.4,23.51,13020
2010-03-29,38.3,35.8,35.8,37.8,23.76,25990
2010-03-30,38.4,37.0,37.8,37.2,23.38,15870
2010-03-31,37.8,36.7,36.7,36.7,23.07,15030
2010-04-01,37.5,36.4,36.4,37.0,23.26,3026550
2010-04-02,38.3,37.0,37.0,38.3,24.08,31910
2010-04-05,39.0,38.2,38.3,38.3,24.08,26930
2010-04-06,38.7,37.9,37.9,38.4,24.14,8010
2010-04-07,38.4,37.8,38.1,38.0,23.89,21320
2010-04-08,38.5,37.8,38.5,37.8,23.76,7010
2010-04-09,38.4,37.5,37.6,37.8,23.76,29780
2010-04-12,39.6,39.6,39.6,39.6,24.89,44900
2010-04-13,41.5,41.0,41.5,41.5,26.09,325740
2010-04-14,41.0,39.5,40.5,40.0,25.14,16540
2010-04-15,40.5,39.0,40.5,40.0,25.14,8510
2010-04-16,40.0,39.0,39.5,40.0,25.14,21040
2010-04-19,39.9,38.2,38.8,38.2,24.01,21940
2010-04-20,39.4,38.2,38.2,38.5,24.2,30550
2010-04-21,40.4,38.5,39.0,40.4,25.4,90920
2010-04-22,40.9,39.0,39.5,39.0,24.52,33050
2010-04-26,40.0,39.0,39.1,39.1,24.58,36740
2010-04-27,39.5,39.0,39.1,39.4,24.77,52640
2010-04-28,39.5,39.4,39.4,39.4,24.77,15880
2010-04-29,41.3,39.5,39.5,41.3,25.96,298170
2010-05-04,43.3,43.0,43.3,43.3,27.22,205660
2010-05-05,45.4,43.4,45.4,45.4,28.54,425580
2010-05-06,47.0,45.5,45.5,47.0,29.54,179890
2010-05-07,47.0,44.8,47.0,46.1,28.98,292210
2010-05-10,46.9,44.5,46.9,45.4,28.54,173900
2010-05-11,44.8,43.2,44.0,43.5,27.34,237130
2010-05-12,43.5,41.4,43.5,41.4,26.02,204140
2010-05-13,43.0,40.0,41.4,40.0,25.14,161370
2010-05-14,42.0,42.0,42.0,42.0,26.4,85600
2010-05-17,44.1,44.1,44.1,44.1,27.72,110470
2010-05-18,46.3,42.5,46.2,46.3,29.1,168910
2010-05-19,48.6,46.4,47.7,48.6,30.55,179090
2010-05-20,51.0,47.6,47.6,50.0,31.43,291150
2010-05-21,50.0,47.5,47.5,49.8,31.3,243850
2010-05-24,49.5,47.4,47.4,47.4,29.8,80620
2010-05-25,47.5,45.1,45.1,47.5,29.86,120830
2010-05-26,49.0,45.6,49.0,48.0,30.17,51380
2010-05-27,48.1,47.9,48.1,48.1,30.24,67630
2010-05-28,50.5,47.0,47.0,50.5,31.74,63210
2010-05-31,53.0,50.0,50.5,52.5,33.0,110920
2010-06-01,53.0,52.5,53.0,52.5,33.0,4840
2010-06-02,55.0,50.5,50.5,54.5,34.26,44820
2010-06-03,55.0,54.0,54.5,54.5,34.26,108620
2010-06-04,54.5,52.0,54.5,53.0,33.32,64380
2010-06-07,53.0,50.5,50.5,50.5,31.74,94640
2010-06-08,51.0,48.6,50.5,50.5,31.74,96820
2010-06-09,51.0,49.0,50.5,49.5,31.12,135640
2010-06-10,49.5,48.2,48.2,49.5,31.12,19060
2010-06-11,50.5,48.6,50.0,48.6,30.55,21500
2010-06-14,51.0,48.0,48.0,51.0,32.06,56540
2010-06-15,52.5,51.0,52.5,51.0,32.06,18470
2010-06-16,52.5,50.0,52.5,51.0,32.06,5620
2010-06-17,51.5,50.5,51.5,51.5,32.37,127810
2010-06-18,52.5,51.0,52.5,52.5,33.0,99320
2010-06-21,53.0,51.0,51.0,52.5,33.0,50820
2010-06-22,53.0,51.5,51.5,52.5,33.0,9450
2010-06-23,53.0,50.0,50.0,52.5,33.0,15750
2010-06-24,52.5,51.0,52.5,51.0,32.06,12830
2010-06-25,52.0,49.0,49.0,51.0,32.06,9860
2010-06-28,51.5,49.0,51.5,50.0,31.43,1214150
2010-06-29,51.5,50.0,51.0,51.0,32.06,34200
2010-06-30,51.5,50.5,51.0,51.0,32.06,82550
2010-07-01,51.0,49.5,49.5,51.0,32.06,61400
2010-07-02,52.0,51.0,51.0,51.0,32.06,219080
2010-07-05,52.0,50.5,52.0,50.5,31.74,3850
2010-07-06,52.0,49.5,52.0,51.0,32.06,53090
2010-07-07,52.0,50.0,50.0,51.0,32.06,31160
2010-07-08,52.0,51.0,51.5,52.0,32.69,60740
2010-07-09,52.0,51.5,52.0,52.0,32.69,340
2010-07-12,52.0,51.0,51.0,52.0,32.69,145510
2010-07-13,52.0,50.5,50.5,50.5,31.74,1110
2010-07-14,52.0,50.5,50.5,51.0,32.06,32640
2010-07-15,51.5,50.5,50.5,51.5,32.37,25410
2010-07-16,51.5,51.5,51.5,51.5,32.37,1410
2010-07-19,52.0,49.5,50.0,51.5,32.37,27350
2010-07-20,52.0,50.0,51.5,51.5,32.37,47770
2010-07-21,52.5,50.5,52.0,52.5,33.0,76480
2010-07-22,53.0,50.0,52.5,52.5,33.0,7260
2010-07-23,53.0,50.5,53.0,50.5,31.74,24700
2010-07-26,52.5,50.0,52.5,50.0,31.43,69870
2010-07-27,52.0,50.0,50.0,50.5,31.74,55670
2010-07-28,52.0,50.0,52.0,50.0,31.43,56740
2010-07-29,51.0,49.1,49.1,51.0,32.06,17520
2010-07-30,52.5,50.5,50.5,52.0,32.69,51120
2010-08-02,53.0,51.0,52.5,52.5,33.0,48730
2010-08-03,53.5,51.5,53.5,52.5,33.0,3430
2010-08-04,52.5,51.5,52.0,52.5,33.0,62210
2010-08-05,53.0,51.5,51.5,52.0,32.69,2490
2010-08-06,52.5,51.0,52.5,52.0,32.69,14230
2010-08-09,52.5,51.0,51.0,51.5,32.37,5540
2010-08-10,51.5,50.0,51.0,51.0,32.06,23020
2010-08-11,52.0,50.0,50.0,50.5,31.74,15930
2010-08-12,51.0,48.2,51.0,48.2,30.3,4550
2010-08-13,50.5,46.3,46.3,49.8,31.3,102780
2010-08-16,51.5,50.0,51.5,51.0,32.06,25770
2010-08-17,52.0,49.5,50.0,51.5,32.37,62290
2010-08-18,51.5,49.0,51.5,51.0,32.06,1580
2010-08-19,51.0,49.4,49.4,50.5,31.74,3410
2010-08-20,50.5,48.1,50.5,48.6,30.55,10600
2010-08-23,49.0,47.6,49.0,48.6,30.55,60220
2010-08-24,49.0,46.3,48.6,49.0,30.8,54570
2010-08-25,47.2,46.6,47.0,47.0,29.54,137290
2010-08-26,47.4,44.7,47.4,46.0,28.92,201380
2010-08-27,46.0,44.6,46.0,45.0,28.29,100730
2010-08-30,47.2,43.0,46.0,45.0,28.29,184210
2010-08-31,46.0,44.0,45.0,45.0,28.29,325080
2010-09-01,47.2,45.0,45.0,46.5,29.23,2620
2010-09-06,48.0,46.8,47.5,48.0,30.17,28010
2010-09-07,49.4,46.5,49.4,48.0,30.17,25250
2010-09-08,49.0,45.6,45.6,49.0,30.8,8300
2010-09-09,49.8,47.5,47.5,49.0,30.8,3910
2010-09-10,49.5,48.0,49.0,49.0,30.8,44370
2010-09-13,51.0,47.8,49.0,49.0,30.8,2060
2010-09-14,49.6,47.5,49.6,49.4,31.05,480
2010-09-15,49.5,48.0,48.0,49.4,31.05,38160
2010-09-16,49.9,47.6,47.6,49.4,31.05,500
2010-09-17,49.5,47.5,49.4,49.5,31.12,76190
2010-09-20,51.0,48.1,50.0,48.6,30.55,2990
2010-09-21,49.9,48.5,49.9,49.5,31.12,20760
2010-09-22,49.9,49.0,49.9,49.5,31.12,4600
2010-09-23,49.8,48.5,49.2,49.4,31.05,16520
2010-09-24,49.8,49.2,49.8,49.4,31.05,1330
2010-09-27,49.7,48.0,48.0,49.4,31.05,8150
2010-09-28,49.9,48.5,48.5,49.9,31.37,34630
2010-09-29,50.5,49.5,49.9,49.5,31.12,13420
2010-09-30,49.7,48.2,49.7,49.5,31.12,5240
2010-10-01,51.0,49.5,49.6,51.0,32.06,25780
2010-10-04,52.0,49.0,52.0,50.5,31.74,33010
2010-10-05,51.0,49.0,49.0,50.5,31.74,15840
2010-10-06,51.5,49.5,51.0,51.5,32.37,57690
2010-10-07,54.0,49.5,49.5,52.5,33.0,28580
2010-10-08,55.0,50.5,50.5,54.0,33.94,86890
2010-10-11,55.5,53.0,55.5,54.5,34.26,29520
2010-10-12,55.0,54.0,54.5,54.0,33.94,49940
2010-10-13,54.5,53.0,53.0,54.5,34.26,9810
2010-10-14,54.5,53.5,53.5,53.5,33.63,10830
2010-10-15,54.0,53.0,53.5,53.0,33.32,93260
2010-10-18,55.5,53.0,54.5,55.5,34.89,72110
2010-10-19,57.5,54.0,57.5,56.0,35.2,147770
2010-10-20,56.5,54.5,56.5,56.0,35.2,30230
2010-10-21,56.0,54.0,55.0,56.0,35.2,37120
2010-10-22,56.5,54.0,56.5,55.0,34.57,22270
2010-10-25,56.5,54.5,56.0,56.5,35.52,40340
