Attributes,high,low,open,close,adjust,volume
Symbols,NVL,NVL,NVL,NVL,NVL,NVL
date,,,,,,
2016-12-28,60.0,60.0,60.0,60.0,44.99,7232660
2016-12-29,61.6,57.9,60.5,60.1,45.06,6167540
2016-12-30,60.1,58.4,60.0,60.1,45.06,2391160
2017-01-03,60.0,59.0,59.0,59.0,44.24,540260
2017-01-04,59.5,59.0,59.0,59.4,44.54,1056370
2017-01-05,59.4,59.0,59.3,59.1,44.31,637040
2017-01-06,59.2,58.8,59.0,59.2,44.39,892677
2017-01-09,59.3,58.7,59.1,59.3,44.46,2410630
2017-01-10,59.2,58.9,59.2,59.0,44.24,2102560
2017-01-11,59.1,58.7,58.9,59.1,44.31,2477670
2017-01-12,59.1,58.7,59.0,58.8,44.09,904360
2017-01-13,59.0,58.5,58.8,59.0,44.24,967870
2017-01-16,59.2,58.7,58.9,59.2,44.39,1332640
2017-01-17,59.2,58.8,59.1,58.8,44.09,1127570
2017-01-18,59.0,58.7,58.7,58.9,44.16,1179580
2017-01-19,59.0,58.0,58.8,58.1,43.56,1888300
2017-01-20,58.5,57.9,58.1,58.2,43.64,975810
2017-01-23,58.4,57.8,58.2,57.8,43.34,1087390
2017-01-24,58.2,57.6,57.8,57.9,43.41,1201640
2017-01-25,60.6,58.0,58.0,60.6,45.44,1636490
2017-02-02,60.9,60.4,60.7,60.9,45.66,1363250
2017-02-03,60.9,60.3,60.8,60.9,45.66,1185700
2017-02-06,60.8,59.9,60.8,59.9,44.91,1119780
2017-02-07,59.8,59.2,59.7,59.5,44.61,1226190
2017-02-08,60.0,59.1,59.5,59.1,44.31,1262530
2017-02-09,59.7,58.8,59.1,58.8,44.09,1679120
2017-02-10,59.6,58.8,59.0,58.8,44.09,1606250
2017-02-13,59.5,58.9,58.9,59.2,44.39,1257830
2017-02-14,59.6,59.2,59.2,59.2,44.39,1291960
2017-02-15,60.0,59.2,59.2,59.5,44.61,1404110
2017-02-16,60.6,59.6,59.8,60.3,45.21,1493510
2017-02-17,61.4,60.3,60.3,60.8,45.59,1384350
2017-02-20,63.5,61.0,61.0,63.1,47.31,1026640
2017-02-21,67.0,63.1,63.5,66.0,49.49,876160
2017-02-22,68.0,66.0,66.1,66.2,49.64,866880
2017-02-23,66.6,64.9,66.1,65.9,49.41,1538930
2017-02-24,65.9,64.5,65.9,65.3,48.96,1235090
2017-02-27,66.9,65.1,66.5,66.5,49.86,1041880
2017-02-28,69.5,66.5,66.5,67.0,50.24,1508740
2017-03-01,68.8,67.0,67.0,68.8,51.59,1218430
2017-03-02,69.5,68.7,68.8,68.8,51.59,1299640
2017-03-03,69.0,67.8,68.8,68.9,51.66,1600650
2017-03-06,69.0,68.3,68.8,68.9,51.66,1429730
2017-03-07,70.0,68.3,68.8,68.6,51.44,1003380
2017-03-08,68.6,66.5,68.6,68.0,50.99,1049060
2017-03-09,68.1,67.5,68.0,68.0,50.99,1511710
2017-03-10,68.7,67.9,68.0,68.0,50.99,1068090
2017-03-13,72.7,70.0,72.7,72.7,54.51,4768140
2017-03-14,75.5,72.6,72.7,75.5,56.61,2405370
2017-03-15,77.0,73.1,75.8,73.3,54.96,938030
2017-03-16,73.3,72.6,73.0,72.6,54.44,4246460
2017-03-17,72.0,67.6,71.7,67.6,50.69,4205150
2017-03-20,70.0,67.8,67.8,68.8,51.59,2660770
2017-03-21,69.1,68.5,68.8,68.7,51.51,2304520
2017-03-22,68.6,67.6,68.6,67.6,50.69,2724220
2017-03-23,67.8,66.4,67.6,66.8,50.09,1563610
2017-03-24,69.3,66.8,66.8,69.0,51.74,2176880
2017-03-27,69.3,68.7,69.0,69.1,51.81,1312310
2017-03-28,69.3,68.3,69.1,68.5,51.36,956850
2017-03-29,69.0,68.2,68.5,68.5,51.36,1247550
2017-03-30,68.9,68.4,68.5,68.7,51.51,1720350
2017-03-31,69.5,68.7,68.8,69.2,51.89,1513980
2017-04-03,70.0,68.9,69.2,69.5,52.11,755190
2017-04-04,70.7,69.5,69.5,70.4,52.79,1758030
2017-04-05,71.0,70.0,70.7,70.4,52.79,1703140
2017-04-07,70.5,69.8,70.4,70.4,52.79,6672000
2017-04-10,70.9,70.3,70.5,70.5,52.86,1299710
2017-04-11,70.9,70.5,70.5,70.7,53.01,1291060
2017-04-12,70.9,70.3,70.8,70.7,53.01,1385270
2017-04-13,70.8,70.4,70.7,70.5,52.86,1352580
2017-04-14,70.6,69.7,70.6,70.0,52.49,1307240
