Attributes,high,low,open,close,adjust,volume
Symbols,PLX,PLX,PLX,PLX,PLX,PLX
date,,,,,,
2017-04-21,51.8,46.0,51.8,48.9,39.77,4820970
2017-04-24,49.5,48.0,48.9,48.4,39.36,2711302
2017-04-25,48.4,45.05,48.1,45.15,36.72,2553550
2017-04-26,44.5,43.1,43.1,44.1,35.86,2123790
2017-04-27,45.9,44.1,44.1,45.9,37.33,875430
2017-04-28,47.0,46.1,46.1,46.65,37.94,861910
2017-05-03,46.8,46.0,46.65,46.75,38.02,591490
2017-05-04,47.5,46.7,46.75,47.5,38.63,3047740
2017-05-05,47.5,47.0,47.1,47.1,38.3,1274310
2017-05-08,47.5,46.6,47.0,47.5,38.63,1414880
2017-05-09,47.5,46.9,47.5,46.9,38.14,864620
2017-05-10,47.4,46.9,46.9,47.1,38.3,2706150
2017-05-11,49.7,47.1,47.1,48.6,39.52,3351200
2017-05-12,48.9,48.4,48.6,48.6,39.52,1272460
2017-05-15,49.2,48.0,48.25,48.7,39.6,2429190
2017-05-16,52.0,48.7,49.1,51.1,41.56,3627190
2017-05-17,52.0,50.5,51.0,51.0,41.47,1642560
2017-05-18,53.0,50.8,50.8,53.0,43.1,3077950
2017-05-19,56.7,53.3,53.8,56.7,46.11,4545030
2017-05-22,60.6,59.0,59.8,60.6,49.28,3062670
2017-05-23,64.5,60.6,61.0,60.6,49.28,2839240
2017-05-24,60.7,57.5,60.6,59.0,47.98,1789900
2017-05-25,60.1,58.6,59.0,59.0,47.98,704100
2017-05-26,58.9,57.6,58.2,58.1,47.25,1237030
2017-05-29,60.5,58.0,58.0,60.1,48.87,967250
2017-05-30,62.1,60.1,60.1,61.0,49.61,1067000
2017-05-31,61.7,60.4,61.5,61.2,49.77,714650
2017-06-01,61.8,61.2,61.2,61.2,49.77,522880
2017-06-02,61.2,59.7,60.7,59.7,48.55,1244790
2017-06-05,61.8,59.2,59.7,61.1,49.69,703100
2017-06-06,61.5,60.8,61.1,61.5,50.01,554760
2017-06-07,61.8,61.0,61.4,61.1,49.69,626820
2017-06-08,61.3,60.8,61.1,61.1,49.69,325680
2017-06-09,63.4,61.0,61.0,62.6,50.91,1104760
2017-06-12,64.5,62.3,62.6,63.0,51.23,830860
2017-06-13,63.7,62.7,63.2,63.0,51.23,422580
2017-06-14,63.0,61.9,62.8,63.0,51.23,875170
2017-06-15,63.3,62.1,62.5,62.8,51.07,646160
2017-06-16,63.0,62.3,62.4,62.4,50.74,656580
2017-06-19,63.8,62.3,62.3,63.8,51.88,797760
2017-06-20,65.4,63.9,64.0,65.4,53.18,1506260
2017-06-21,67.0,64.4,65.5,66.9,54.4,980190
2017-06-22,69.8,67.5,67.6,69.5,56.52,1321960
2017-06-23,72.0,69.6,69.7,71.4,58.06,2025360
