Attributes,high,low,open,close,adjust,volume
Symbols,PNJ,PNJ,PNJ,PNJ,PNJ,PNJ
date,,,,,,
2010-01-04,61.5,59.0,60.0,61.0,8.62,114520
2010-01-05,64.0,63.0,64.0,64.0,9.05,498720
2010-01-06,66.0,62.5,62.5,64.5,9.12,112030
2010-01-07,64.5,63.0,63.0,63.0,8.91,84210
2010-01-08,63.5,60.0,63.5,60.0,8.48,216560
2010-01-11,61.5,59.5,61.5,60.0,8.48,141830
2010-01-12,60.5,57.5,59.5,57.5,8.13,187220
2010-01-13,59.0,56.0,58.5,57.5,8.13,144410
2010-01-14,59.5,58.5,59.5,58.5,8.27,82900
2010-01-15,59.0,57.5,59.0,58.0,8.2,45490
2010-01-18,58.0,56.0,58.0,56.0,7.92,53650
2010-01-19,58.5,56.0,57.5,58.5,8.27,131950
2010-01-20,58.5,57.0,58.5,57.0,8.06,31180
2010-01-21,58.0,55.0,56.5,55.0,7.78,98870
2010-01-22,56.5,53.5,56.0,54.5,7.71,99740
2010-01-25,56.5,54.5,56.5,56.5,7.99,62040
2010-01-26,58.5,57.0,57.0,58.5,8.27,58340
2010-01-27,57.5,56.5,57.5,56.5,7.99,50960
2010-01-28,56.5,55.5,56.0,55.5,7.85,190936
2010-01-29,56.5,54.5,54.5,55.0,7.78,51740
2010-02-01,55.5,54.5,55.5,54.5,7.71,56220
2010-02-02,55.5,55.0,55.5,55.0,7.78,40850
2010-02-03,57.0,55.5,56.0,57.0,8.06,34150
2010-02-04,57.5,56.5,56.5,57.0,8.06,43580
2010-02-05,56.0,55.0,55.5,55.5,7.85,78500
2010-02-08,56.5,55.0,55.0,56.0,7.92,27330
2010-02-09,56.0,55.0,56.0,55.0,7.78,50380
2010-02-10,56.5,55.5,56.0,56.0,7.92,11170
2010-02-11,56.5,55.0,55.0,56.5,7.99,18210
2010-02-12,57.5,57.0,57.5,57.0,8.06,17850
2010-02-22,57.5,57.0,57.0,57.0,8.06,21940
2010-02-23,56.5,55.0,56.5,55.0,7.78,36860
2010-02-24,55.0,53.5,54.0,53.5,7.56,78440
2010-02-25,54.5,53.5,53.5,54.0,7.63,46560
2010-02-26,54.5,53.0,54.0,53.0,7.49,76240
2010-03-01,55.0,53.0,53.0,55.0,7.78,50000
2010-03-02,55.5,54.0,55.5,54.0,7.63,33140
2010-03-03,54.5,54.0,54.0,54.5,7.71,41050
2010-03-04,56.5,54.5,54.5,54.5,7.71,122200
2010-03-05,55.0,54.5,55.0,55.0,7.78,73590
2010-03-08,56.0,55.0,55.5,55.5,7.85,68060
2010-03-09,57.0,55.5,56.0,57.0,8.06,183740
2010-03-10,57.0,56.0,56.5,56.5,7.99,55930
2010-03-11,56.5,56.0,56.5,56.0,7.92,53730
2010-03-12,57.0,56.0,56.5,57.0,8.06,123540
2010-03-15,58.0,57.0,58.0,57.0,8.06,89890
2010-03-16,57.0,55.0,57.0,56.0,7.92,64200
2010-03-17,56.0,54.5,56.0,54.5,7.71,85800
2010-03-18,55.5,54.5,54.5,55.0,7.78,59700
2010-03-19,55.5,54.0,55.5,54.0,7.63,161150
2010-03-22,56.5,56.5,56.5,56.5,7.99,103830
2010-03-23,59.0,57.0,58.0,59.0,8.34,623330
2010-03-24,59.5,57.0,59.5,58.0,8.2,184340
2010-03-25,58.0,56.0,57.5,57.5,8.13,117710
2010-03-26,57.5,55.5,56.5,57.5,8.13,173340
2010-03-29,58.5,56.5,57.0,58.0,8.2,254430
2010-03-30,58.5,57.0,57.0,57.5,8.13,163560
2010-03-31,58.5,57.0,57.5,58.0,8.2,124280
2010-04-01,59.0,57.5,58.0,58.5,8.27,95420
2010-04-02,59.0,58.0,59.0,58.5,8.27,91810
2010-04-05,61.0,58.5,59.0,61.0,8.62,329860
