Attributes,high,low,open,close,adjust,volume
Symbols,POW,POW,POW,POW,POW,POW
date,,,,,,
2018-03-06,18.3,16.8,17.5,17.8,17.26,14922100
2018-03-07,18.2,16.5,18.2,16.8,16.29,10982076
2018-03-08,17.5,16.7,17.2,17.2,16.68,9639144
2018-03-09,17.6,17.1,17.1,17.5,16.97,5800486
2018-03-12,17.7,17.2,17.7,17.3,16.78,4668745
2018-03-13,17.4,17.1,17.3,17.2,16.68,14779169
2018-03-14,17.3,16.9,17.2,17.0,16.49,4470422
2018-03-15,17.1,16.6,17.1,16.7,16.2,3914865
2018-03-16,17.2,16.7,16.7,17.1,16.58,3923430
2018-03-19,17.3,16.8,17.2,17.0,16.49,2987660
2018-03-20,17.0,16.7,17.0,16.7,16.2,2669883
2018-03-21,17.0,16.7,17.0,16.7,16.2,1929052
2018-03-22,16.8,16.0,16.8,16.3,15.81,3136060
2018-03-23,16.2,15.6,16.0,16.1,15.61,3366449
2018-03-26,16.0,15.6,16.0,15.7,15.23,1932826
2018-03-27,15.8,15.6,15.7,15.6,15.13,1055477
2018-03-28,15.7,15.5,15.6,15.6,15.13,1753196
2018-03-29,16.6,15.6,15.7,16.2,15.71,2103906
2018-03-30,16.7,16.2,16.3,16.6,16.1,2354364
2018-04-02,16.8,16.4,16.6,16.6,16.1,2577644
2018-04-03,16.6,16.0,16.6,16.2,15.71,2257070
2018-04-04,16.9,16.2,16.5,16.4,15.9,2402101
2018-04-05,16.6,16.1,16.5,16.2,15.71,1725227
2018-04-06,16.3,15.9,16.2,16.1,15.61,1731257
2018-04-09,16.1,15.7,16.1,16.0,15.52,1832995
2018-04-10,16.1,15.7,15.9,15.9,15.42,1485078
2018-04-11,16.0,15.3,15.9,15.6,15.13,2053300
2018-04-12,15.7,15.5,15.6,15.7,15.23,977010
2018-04-13,15.7,15.3,15.6,15.6,15.13,1503780
2018-04-16,15.9,15.3,15.7,15.5,15.03,1698800
2018-04-17,15.6,15.3,15.5,15.6,15.13,770496
2018-04-18,15.6,15.0,15.6,15.1,14.64,1683810
2018-04-19,15.2,14.5,15.2,14.6,14.16,2236680
2018-04-20,14.7,14.2,14.5,14.6,14.16,1468117
2018-04-23,14.8,13.4,14.7,14.2,13.77,859630
2018-04-24,14.3,13.7,14.2,13.8,13.38,1109190
2018-04-26,14.5,13.5,14.4,13.6,13.19,6053175
2018-04-27,13.8,13.4,13.8,13.6,13.19,1300812
2018-05-03,13.6,12.9,13.6,13.3,12.9,1928969
2018-05-04,13.5,13.2,13.2,13.4,13.0,976473
2018-05-07,15.1,13.6,13.8,14.4,13.97,1944203
2018-05-08,14.6,14.2,14.6,14.4,13.97,1537398
