Attributes,high,low,open,close,adjust,volume
Symbols,REE,REE,REE,REE,REE,REE
date,,,,,,
2010-01-04,46.7,45.1,45.9,46.7,9.79,1014070
2010-01-05,49.0,48.0,49.0,48.6,10.19,1841700
2010-01-06,49.5,47.9,48.0,48.0,10.06,1022600
2010-01-07,48.5,47.5,48.0,47.7,10.0,1116850
2010-01-08,49.5,46.5,49.4,46.5,9.75,1114880
2010-01-11,47.1,45.6,46.7,45.8,9.6,794260
2010-01-12,46.2,43.6,45.5,43.6,9.14,875920
2010-01-13,45.7,41.5,43.6,45.7,9.58,1011910
2010-01-14,47.0,45.5,47.0,45.6,9.56,437160
2010-01-15,45.6,44.0,45.0,44.1,9.24,575480
2010-01-18,43.5,42.0,43.5,42.0,8.8,933030
2010-01-19,43.8,42.0,42.4,43.2,9.06,572750
2010-01-20,43.4,42.0,43.3,42.0,8.8,399060
2010-01-21,42.3,40.0,41.0,40.0,8.38,880170
2010-01-22,40.7,39.5,39.5,40.0,8.38,525170
2010-01-25,41.0,39.7,39.8,40.6,8.51,440230
2010-01-26,42.6,41.5,41.5,42.6,8.93,436190
2010-01-27,44.5,43.0,44.0,43.4,9.1,1807750
2010-01-28,43.6,42.0,43.2,42.2,8.85,358780
2010-01-29,43.0,41.5,41.6,42.3,8.87,326810
2010-02-01,43.2,42.1,42.5,43.2,9.06,315200
2010-02-02,43.6,42.9,43.5,43.1,9.03,510260
2010-02-03,43.9,43.1,43.5,43.7,9.16,506410
2010-02-04,45.8,44.0,44.0,45.8,9.6,1662690
2010-02-05,45.7,43.9,44.2,44.2,9.26,841470
2010-02-08,44.4,43.5,44.2,44.1,9.24,381870
2010-02-09,43.9,43.2,43.6,43.2,9.06,242760
2010-02-10,44.0,43.4,43.6,43.6,9.14,235320
2010-02-11,44.9,43.5,43.5,44.9,9.41,418110
2010-02-12,45.5,44.8,44.8,45.1,9.45,442270
2010-02-22,46.0,45.2,45.6,45.7,9.58,752360
2010-02-23,45.7,44.1,45.7,44.2,9.26,638510
2010-02-24,44.6,43.8,44.0,44.6,9.35,503970
2010-02-25,45.6,44.5,45.3,44.6,9.35,573990
2010-02-26,45.0,44.4,44.6,44.8,9.39,496020
2010-03-01,45.8,45.0,45.2,45.1,9.45,398530
2010-03-02,45.4,44.5,45.1,44.5,9.33,400860
2010-03-03,45.8,44.7,44.8,45.6,9.56,691070
2010-03-04,46.8,45.9,46.3,45.9,9.62,1133570
2010-03-05,48.1,45.7,46.0,48.1,10.08,2057560
2010-03-08,50.0,48.2,48.5,50.0,10.48,1440060
2010-03-09,50.0,48.9,49.0,49.5,10.38,821270
2010-03-10,49.5,48.5,49.0,48.8,10.23,1513670
2010-03-11,49.0,48.2,48.7,48.5,10.17,989050
2010-03-12,50.5,48.1,48.6,50.0,10.48,1477040
2010-03-15,51.0,49.5,50.0,49.5,10.38,997180
2010-03-16,49.4,47.3,49.2,48.0,10.06,1301830
2010-03-17,50.0,49.1,49.2,50.0,10.48,3530980
2010-03-18,52.5,52.5,52.5,52.5,11.0,714240
2010-03-19,55.0,53.5,54.5,54.5,11.42,6673050
2010-03-22,54.5,52.5,54.0,53.0,11.11,1739440
2010-03-23,53.5,51.5,52.5,52.0,10.9,1752290
2010-03-24,53.0,51.5,53.0,53.0,11.11,1497810
2010-03-25,52.5,51.0,52.5,51.5,10.8,1922820
2010-03-26,52.0,50.5,52.0,52.0,10.9,1303060
2010-03-29,52.0,50.5,52.0,51.0,10.69,1169110
2010-03-30,51.5,50.5,51.0,51.0,10.69,1294030
2010-03-31,51.5,50.0,51.0,50.0,10.48,1082560
