Attributes,high,low,open,close,adjust,volume
Symbols,ROS,ROS,ROS,ROS,ROS,ROS
date,,,,,,
2016-09-01,12.6,8.4,8.4,12.6,9.55,153000
2016-09-05,13.4,13.4,13.4,13.4,10.15,341000
2016-09-06,14.3,14.2,14.3,14.3,10.83,865900
2016-09-07,15.3,15.3,15.3,15.3,11.59,736700
2016-09-08,16.3,16.3,16.3,16.3,12.35,1534310
2016-09-09,17.4,17.4,17.4,17.4,13.18,1292310
2016-09-12,18.6,18.6,18.6,18.6,14.09,1015850
2016-09-13,19.9,19.8,19.9,19.9,15.08,1189770
2016-09-14,21.25,21.2,21.25,21.25,16.1,825640
2016-09-15,22.7,21.9,22.7,22.7,17.2,1626210
2016-09-16,24.25,24.2,24.25,24.25,18.37,672750
2016-09-19,25.9,25.85,25.9,25.9,19.62,805780
2016-09-20,27.0,24.1,25.9,25.9,19.62,1371480
2016-09-21,26.0,24.1,25.9,25.9,19.62,742590
2016-09-22,25.9,24.35,24.6,24.6,18.64,20867480
2016-09-23,26.3,23.1,23.1,25.0,18.94,40545290
2016-09-26,26.3,25.0,26.0,26.1,19.77,40687395
2016-09-27,27.9,26.1,26.1,27.9,21.14,576120
2016-09-28,29.85,29.8,29.85,29.85,22.61,671210
2016-09-29,31.9,30.25,30.25,31.9,24.17,1147630
2016-09-30,34.1,34.0,34.1,34.1,25.83,471070
2016-10-03,36.45,36.4,36.45,36.45,27.61,705760
2016-10-04,39.0,38.95,39.0,39.0,29.54,779620
2016-10-05,41.7,39.5,41.65,41.7,31.59,1194000
2016-10-06,44.6,38.95,41.7,44.6,33.79,1059300
2016-10-07,46.0,41.65,44.1,44.45,33.67,1260330
2016-10-10,45.2,41.8,42.1,45.2,34.24,1346990
2016-10-11,48.35,48.3,48.3,48.35,36.63,1084980
2016-10-12,51.7,50.4,51.6,51.7,39.17,731430
2016-10-13,51.8,48.1,51.7,50.1,37.95,1550830
2016-10-14,53.6,50.1,50.1,53.6,40.6,936580
2016-10-17,57.3,53.5,53.6,57.3,43.41,666140
2016-10-18,57.0,53.8,57.0,55.5,42.04,871330
2016-10-19,59.3,55.0,57.0,59.3,44.92,1331150
2016-10-20,63.4,59.3,59.3,63.4,48.03,870930
2016-10-21,67.8,59.4,63.0,67.8,51.36,1120160
2016-10-24,72.0,64.4,64.9,67.5,51.13,1696690
2016-10-25,72.2,68.0,68.0,72.2,54.7,952020
2016-10-26,74.1,69.3,72.0,74.0,56.06,1536650
2016-10-27,79.1,68.9,73.0,79.1,59.92,3125110
2016-10-28,84.6,80.1,80.1,84.6,64.09,1212810
2016-10-31,89.7,81.0,86.3,86.3,65.38,1890620
2016-11-01,87.0,80.3,84.0,85.0,64.39,2116350
2016-11-02,90.9,86.0,86.4,90.9,68.86,1844690
2016-11-03,94.2,85.6,91.0,94.2,71.36,1585900
2016-11-04,94.0,87.7,91.0,90.0,68.18,2209790
2016-11-07,96.3,92.0,92.0,96.2,72.88,1646560
2016-11-08,102.0,94.1,97.9,100.1,75.83,1627200
2016-11-09,100.3,93.1,100.2,95.0,71.97,2175670
2016-11-10,101.6,96.0,97.5,101.6,76.97,1695570
2016-11-11,108.7,97.0,102.5,108.7,82.35,2325570
2016-11-14,116.3,105.0,106.0,116.2,88.03,2731660
2016-11-15,120.0,108.1,116.2,120.0,90.91,2757830
2016-11-16,119.4,111.6,118.0,113.0,85.6,2614360
2016-11-17,120.9,111.2,111.2,120.9,91.59,1934620
2016-11-18,124.0,112.5,119.0,124.0,93.94,3250440
2016-11-21,124.0,115.4,116.0,118.0,89.39,2831890
2016-11-22,126.0,118.1,118.1,125.2,94.85,2410130
2016-11-23,126.5,116.5,121.9,126.4,95.75,3946760
2016-11-24,126.4,117.6,126.4,118.0,89.39,2918630
2016-11-25,126.0,109.8,118.1,126.0,95.45,4141750
2016-11-28,127.0,117.2,120.1,127.0,96.21,3807880
2016-11-29,126.0,118.2,122.1,118.5,89.77,3385420
2016-11-30,125.0,119.0,119.0,125.0,94.69,2147480
2016-12-01,123.0,116.3,122.2,121.0,91.66,3580890
2016-12-02,125.0,112.6,121.1,124.1,94.01,4459750
2016-12-05,121.0,115.5,117.0,118.8,90.0,2547280
2016-12-06,119.1,110.5,119.0,111.1,84.16,3211160
2016-12-07,118.7,103.8,111.0,116.9,88.56,2479740
2016-12-08,117.0,108.8,116.9,111.2,84.24,2242810
2016-12-09,113.7,103.6,111.2,111.2,84.24,2641770
2016-12-12,111.6,103.5,111.1,108.0,81.82,3199240
2016-12-13,108.0,100.5,101.0,100.8,76.36,3068330
2016-12-14,103.6,100.2,100.2,103.2,78.18,2173540
2016-12-15,105.0,103.0,103.2,104.0,78.79,2303800
2016-12-16,105.2,103.8,104.0,105.1,79.62,2259220
2016-12-19,106.8,105.1,105.1,106.6,80.76,2246680
2016-12-20,107.6,106.8,106.9,107.5,81.44,2643300
2016-12-21,108.7,107.5,108.0,108.6,82.27,2687660
2016-12-22,109.5,108.6,109.0,109.4,82.88,2342000
2016-12-23,110.3,109.4,109.8,110.2,83.48,2731040
2016-12-26,111.0,110.0,110.2,110.9,84.01,1655680
2016-12-27,111.9,111.0,111.0,111.8,84.69,1643780
2016-12-28,112.8,111.8,111.9,112.7,85.38,1417690
2016-12-29,113.7,112.8,113.1,113.6,86.06,1598690
2016-12-30,114.8,113.7,113.7,114.7,86.89,2175860
2017-01-03,115.9,114.8,115.8,115.8,87.72,1738230
2017-01-04,116.6,115.7,116.1,116.5,88.25,1881210
2017-01-05,117.5,116.5,116.8,117.4,88.94,1577030
2017-01-06,118.4,117.5,117.5,118.3,89.62,1601860
2017-01-09,118.4,117.8,118.3,118.3,89.62,2374110
2017-01-10,119.1,118.3,118.3,119.0,90.15,1601430
2017-01-11,120.1,119.0,119.1,120.0,90.91,1731550
2017-01-12,120.9,120.0,120.2,120.8,91.51,1604210
2017-01-13,121.9,120.9,120.9,121.8,92.27,1642010
2017-01-16,122.8,121.8,122.0,122.7,92.95,2007790
2017-01-17,123.8,122.8,122.9,123.7,93.71,1567500
2017-01-18,124.7,123.7,123.9,124.6,94.39,1582950
2017-01-19,125.6,124.7,124.8,125.5,95.07,2058800
2017-01-20,126.6,125.6,125.6,126.5,95.83,1728760
2017-01-23,127.6,126.6,126.7,127.5,96.59,1599570
2017-01-24,128.5,127.6,127.6,128.4,97.27,1413390
2017-01-25,129.6,128.5,128.5,129.5,98.1,1812690
2017-02-02,130.5,129.6,129.6,130.4,98.78,1514630
2017-02-03,131.6,130.5,130.5,131.5,99.62,1887620
2017-02-06,132.5,131.6,131.6,132.4,100.3,2155880
2017-02-07,133.5,132.5,132.6,133.4,101.06,2165770
2017-02-08,134.4,133.5,133.5,134.3,101.74,1765780
2017-02-09,135.5,134.3,134.4,135.4,102.57,2348410
2017-02-10,136.5,135.5,135.6,136.4,103.33,2736470
2017-02-13,137.4,136.5,137.0,137.3,104.01,2377350
2017-02-14,138.6,137.3,138.0,138.5,104.92,2625520
2017-02-15,139.5,138.5,138.6,139.4,105.6,2649600
2017-02-16,140.5,139.4,139.6,140.4,106.36,2581460
2017-02-17,141.6,140.4,140.6,141.5,107.19,3018760
2017-02-20,142.6,141.5,141.8,142.5,107.95,2862130
2017-02-21,143.6,142.6,142.6,143.5,108.71,2867010
2017-02-22,144.7,143.6,143.8,144.6,109.54,3026400
2017-02-23,145.7,144.7,144.7,145.6,110.3,3076690
2017-02-24,146.8,145.6,145.7,146.7,111.13,3217740
2017-02-27,147.9,146.7,147.8,147.8,111.97,2794150
2017-02-28,149.0,147.8,148.1,148.9,112.8,3070460
2017-03-01,150.3,148.9,149.1,150.1,113.71,3552720
2017-03-02,151.5,150.1,150.4,151.4,114.69,2965200
2017-03-03,152.8,151.4,151.5,152.7,115.68,3657580
2017-03-06,163.3,154.8,160.0,163.3,123.71,4125110
2017-03-07,168.1,165.1,167.1,168.0,127.27,4151370
2017-03-08,167.1,164.0,164.1,167.0,126.51,4485740
2017-03-09,169.1,167.0,167.5,169.0,128.03,4088180
2017-03-10,171.3,169.1,171.2,171.2,129.69,3768730
2017-03-13,173.4,171.2,171.3,173.3,131.28,3815330
2017-03-14,175.6,173.3,173.9,175.5,132.95,4014000
2017-03-15,177.9,175.5,175.9,177.8,134.69,4080830
2017-03-16,175.0,168.0,168.0,172.1,130.37,5630310
2017-03-17,173.7,160.1,172.2,160.1,121.28,6050990
2017-03-20,153.0,150.0,150.0,151.5,114.77,5890690
2017-03-21,152.8,151.5,151.6,152.7,115.68,3623560
2017-03-22,154.1,152.7,153.0,154.0,116.66,3871610
2017-03-23,155.3,154.0,154.1,155.2,117.57,3461580
2017-03-24,156.6,155.3,155.3,156.5,118.56,3566000
2017-03-27,158.6,156.7,157.0,158.5,120.07,4612550
2017-03-28,160.4,158.7,158.9,160.3,121.44,2848730
2017-03-29,160.2,158.2,158.2,160.1,121.28,4501470
2017-03-30,162.2,160.2,160.3,162.1,122.8,3934070
2017-03-31,164.2,162.2,162.3,164.1,124.31,3406900
2017-04-03,166.3,164.3,165.0,166.2,125.91,5284980
2017-04-04,166.3,163.9,164.0,166.2,125.91,4822790
2017-04-05,167.8,166.3,166.3,167.7,127.04,3276480
2017-04-07,169.4,167.8,168.1,169.3,128.25,4476390
2017-04-10,169.2,166.8,168.7,169.1,128.1,6106090
2017-04-11,170.6,169.1,169.2,170.5,129.16,3175170
2017-04-12,172.1,170.5,170.6,172.0,130.3,4777120
2017-04-13,172.1,169.1,169.2,172.0,130.3,7403790
2017-04-14,173.1,170.0,170.1,173.0,131.06,4523690
2017-04-17,174.1,166.0,171.6,166.1,125.83,7549060
2017-04-18,161.1,158.1,160.0,161.0,121.97,7519520
2017-04-19,161.6,159.0,161.1,161.5,122.34,4374690
2017-04-20,162.6,160.0,160.6,162.5,123.1,4494390
2017-04-21,163.1,160.1,162.5,163.0,123.48,8609850
2017-04-24,163.1,161.1,161.2,163.0,123.48,4891750
2017-04-25,164.1,161.6,163.0,164.0,124.24,4905490
2017-04-26,163.6,160.1,163.0,160.1,121.28,7113930
2017-04-27,161.1,158.1,160.0,161.0,121.97,4728130
2017-04-28,162.1,160.1,161.0,162.0,122.72,4132570
2017-05-03,160.6,157.1,160.1,160.5,121.59,7406020
2017-05-04,161.1,158.1,158.2,161.0,121.97,5271510
2017-05-05,161.6,158.6,159.0,161.5,122.34,4990660
2017-05-08,161.0,156.1,161.0,160.1,121.28,9292440
2017-05-09,160.3,156.2,160.1,160.2,121.36,5295610
2017-05-10,160.4,156.3,158.0,160.3,121.44,4716680
2017-05-11,160.5,156.4,156.7,160.4,121.51,9781190
2017-05-12,162.0,156.5,158.0,162.0,122.72,6069320
2017-05-15,160.2,156.1,157.3,160.1,121.28,5919840
2017-05-16,160.4,156.1,156.3,160.3,121.44,9423280
2017-05-17,160.7,157.1,160.3,160.6,121.66,6699990
2017-05-18,157.2,153.1,157.0,157.1,119.01,6889590
2017-05-19,154.6,150.1,153.1,154.5,117.04,9341320
2017-05-22,153.0,143.7,153.0,143.7,108.86,4552700
2017-05-23,137.0,133.7,133.7,133.7,101.28,4074780
2017-05-24,126.1,124.4,124.4,126.0,95.45,6188420
2017-05-25,127.6,126.0,126.1,127.5,96.59,5253030
2017-05-26,129.1,127.5,128.0,129.0,97.72,5372130
2017-05-29,130.1,128.5,129.0,130.0,98.48,5159520
2017-05-30,131.1,129.5,130.0,131.0,99.24,4733210
2017-05-31,132.1,130.5,130.6,132.0,100.0,5303740
2017-06-01,132.1,130.0,131.8,132.0,100.0,4895340
2017-06-02,132.0,122.8,131.1,123.5,93.56,6449910
2017-06-05,121.1,118.1,118.5,121.0,91.66,6851770
2017-06-06,121.8,121.0,121.1,121.5,92.04,3169070
2017-06-07,121.9,121.5,121.5,121.8,92.27,3857220
2017-06-08,113.3,113.3,113.3,113.3,85.83,97490
2017-06-09,105.5,105.4,105.4,105.4,79.85,2628420
2017-06-12,112.7,112.6,112.7,112.7,85.38,1072080
2017-06-13,120.5,116.0,120.0,120.5,91.29,4825990
2017-06-14,124.0,112.1,120.5,112.1,84.92,3122850
2017-06-15,104.5,104.3,104.3,104.3,79.01,2040980
2017-06-16,98.0,97.0,97.0,97.0,73.48,4062060
2017-06-19,90.3,90.3,90.3,90.3,68.41,1997890
2017-06-20,90.2,84.0,84.0,84.3,63.86,4108380
2017-06-21,88.0,78.4,78.4,85.0,64.39,1600030
2017-06-22,87.5,85.2,87.5,85.3,64.62,1268970
2017-06-23,86.1,85.3,85.3,86.0,65.15,1762330
2017-06-26,87.0,85.7,86.0,86.5,65.53,2286540
2017-06-27,87.1,86.5,87.0,87.0,65.91,2268010
2017-06-28,87.6,87.0,87.0,87.5,66.29,2259510
2017-06-29,88.2,87.5,87.9,88.0,66.66,2069730
2017-06-30,88.6,88.1,88.4,88.5,67.04,1759310
2017-07-03,89.1,88.6,88.6,89.0,67.42,2202300
2017-07-04,82.8,80.9,82.8,81.5,67.91,2557630
2017-07-05,82.1,81.6,81.6,82.0,68.33,2134240
2017-07-06,82.6,82.1,82.3,82.5,68.75,2002760
2017-07-07,83.1,82.6,83.0,83.0,69.16,2644130
2017-07-10,83.6,83.1,83.1,83.5,69.58,2924590
2017-07-11,84.1,83.6,83.6,84.0,70.0,2376560
2017-07-12,84.6,84.1,84.3,84.5,70.41,2216020
2017-07-13,85.1,84.6,84.6,85.0,70.83,2002460
2017-07-14,85.6,85.1,85.2,85.5,71.25,2134600
2017-07-17,86.3,85.8,85.8,86.2,71.83,3102050
2017-07-18,87.1,86.5,86.5,87.0,72.5,2561330
2017-07-19,87.7,87.1,87.7,87.5,72.91,2548580
2017-07-20,88.1,87.6,87.6,88.0,73.33,2310580
2017-07-21,88.6,88.1,88.1,88.5,73.75,2390070
2017-07-24,89.1,88.6,88.6,89.0,74.16,2840890
2017-07-25,89.6,89.1,89.1,89.5,74.58,2402410
2017-07-26,90.1,89.6,89.9,90.0,75.0,2881560
2017-07-27,90.6,90.1,90.1,90.5,75.41,2863690
2017-07-28,91.1,90.6,90.9,91.0,75.83,2505620
2017-07-31,91.6,91.1,91.1,91.5,76.25,2310510
2017-08-01,92.1,91.6,91.6,92.0,76.66,2116560
2017-08-02,92.6,92.1,92.3,92.5,77.08,2645090
2017-08-03,93.2,92.6,92.7,93.0,77.5,2437760
2017-08-04,93.6,93.1,93.1,93.5,77.91,2658490
2017-08-07,94.1,93.6,93.6,94.0,78.33,2270410
2017-08-08,94.6,94.1,94.5,94.5,78.75,2269970
2017-08-09,95.1,94.6,94.7,95.0,79.16,3626210
2017-08-10,91.0,90.0,90.0,90.5,75.41,3491010
2017-08-11,91.1,90.6,90.7,91.0,75.83,2856030
2017-08-14,91.6,91.1,91.1,91.5,76.25,2151170
2017-08-15,92.1,91.6,91.7,92.0,76.66,2022680
2017-08-16,92.6,92.1,92.1,92.5,77.08,2369550
2017-08-17,93.1,92.6,92.6,93.0,77.5,2196940
2017-08-18,93.5,93.1,93.1,93.5,77.91,2382220
2017-08-21,94.1,93.6,93.7,94.0,78.33,3450380
2017-08-22,94.6,94.1,94.1,94.6,78.83,2494260
2017-08-23,95.3,94.7,94.7,95.3,79.41,2332030
2017-08-24,96.6,95.4,95.4,96.5,80.41,2364320
2017-08-25,98.1,96.6,97.0,98.0,81.66,2793180
2017-08-28,104.8,98.1,98.7,104.8,87.33,4773500
2017-08-29,106.1,104.9,106.0,106.0,88.33,3166570
2017-08-30,109.0,106.1,106.2,109.0,90.83,2679840
2017-08-31,111.1,109.1,109.4,111.0,92.5,4976650
2017-09-01,113.1,111.1,112.0,113.0,94.16,3651680
2017-09-05,114.9,113.1,113.3,114.8,95.66,3534560
2017-09-06,116.9,114.9,115.0,116.8,97.33,5061330
2017-09-07,118.4,116.9,117.1,118.3,98.58,4118250
2017-09-08,119.4,118.4,119.1,119.3,99.41,3018400
2017-09-11,120.6,119.4,119.6,120.5,100.41,4027810
2017-09-12,120.8,112.4,120.6,114.0,95.0,5409030
2017-09-13,115.1,114.1,114.1,115.0,95.83,4035270
2017-09-14,116.2,115.1,115.2,116.1,96.75,4099560
