Attributes,high,low,open,close,adjust,volume
Symbols,SSI,SSI,SSI,SSI,SSI,SSI
date,,,,,,
2010-01-04,88.5,87.5,87.5,88.5,18.5,801320
2010-01-05,92.5,92.0,92.5,92.5,19.34,2028560
2010-01-06,97.0,92.5,92.5,95.0,19.86,3649690
2010-01-07,96.0,92.5,95.5,92.5,19.34,3266860
2010-01-08,95.5,91.0,95.0,91.0,19.03,3613050
2010-01-11,92.0,89.5,92.0,90.5,18.92,1897590
2010-01-12,91.0,86.0,90.0,86.0,17.98,2405510
2010-01-13,90.0,82.5,86.0,90.0,18.82,2591590
2010-01-14,92.5,89.5,92.5,90.0,18.82,2062360
2010-01-15,90.5,87.0,88.5,88.0,18.4,1490140
2010-01-18,87.0,84.0,86.5,84.0,17.56,2633960
2010-01-19,87.0,84.0,84.5,86.0,17.98,1723640
2010-01-20,87.0,83.5,87.0,84.0,17.56,2116930
2010-01-21,84.5,80.5,82.5,82.0,17.14,1999820
2010-01-22,83.0,80.0,81.5,83.0,17.35,1223440
2010-01-25,83.5,82.0,83.0,82.5,17.25,1303410
2010-01-26,86.5,84.5,85.0,86.5,18.09,2135480
2010-01-27,87.0,83.5,85.5,83.5,17.46,1270600
2010-01-28,83.5,82.0,83.0,82.0,17.14,1001950
2010-01-29,83.0,80.5,82.0,82.5,17.25,1103600
2010-02-01,83.5,82.0,83.0,83.5,17.46,1190650
2010-02-02,84.5,83.0,84.5,83.0,17.35,829790
2010-02-03,84.0,83.0,83.5,84.0,17.56,936360
2010-02-04,88.0,84.0,84.0,87.0,18.19,1533090
2010-02-05,87.0,84.5,85.0,84.5,17.67,2198910
2010-02-08,85.0,83.5,84.5,85.0,17.77,729220
2010-02-09,84.5,83.0,84.0,84.0,17.56,990600
2010-02-10,85.0,84.0,85.0,84.5,17.67,851550
2010-02-11,85.5,84.0,85.0,85.5,17.88,1184530
2010-02-12,86.5,85.5,86.0,86.0,17.98,1248460
2010-02-22,87.0,86.0,86.5,86.0,17.98,666490
2010-02-23,85.0,83.5,84.5,83.5,17.46,969590
2010-02-24,85.0,83.0,83.5,85.0,17.77,1693720
2010-02-25,86.5,85.0,85.5,85.5,17.88,1492010
2010-02-26,86.0,85.0,85.0,86.0,17.98,992610
2010-03-01,86.5,85.5,86.5,85.5,17.88,1295710
2010-03-02,87.0,85.0,85.5,85.5,17.88,2470640
2010-03-03,87.0,85.5,86.0,87.0,18.19,2502130
2010-03-04,89.5,87.5,88.0,88.0,18.4,2424870
2010-03-05,89.0,87.5,88.5,89.0,18.61,1768790
2010-03-08,92.5,90.5,90.5,92.0,19.23,3352020
2010-03-09,93.0,91.5,92.0,92.5,19.34,2626740
2010-03-10,92.5,91.5,92.0,91.5,19.13,1982730
2010-03-11,92.5,90.5,92.0,91.0,19.03,1901090
2010-03-12,91.5,90.5,91.5,91.5,19.13,1912500
2010-03-15,92.5,90.5,92.0,91.0,19.03,1511710
2010-03-16,91.5,88.0,91.5,89.0,18.61,3235630
2010-03-17,90.0,88.0,90.0,88.0,18.4,1971440
2010-03-18,91.0,88.5,90.0,90.5,18.92,4145800
2010-03-19,90.5,89.0,90.5,89.0,18.61,1888980
2010-03-22,89.0,87.5,89.0,87.5,18.29,2476240
2010-03-23,88.0,87.0,87.0,87.0,18.19,1832050
2010-03-24,88.0,87.0,87.5,87.5,18.29,3700690
2010-03-25,45.9,45.9,45.9,45.9,19.19,736350
2010-03-26,47.7,46.0,47.6,46.3,19.36,7166360
2010-03-29,46.3,45.0,46.3,45.0,18.82,2415310
2010-03-30,44.9,43.5,44.6,43.5,18.19,1808000
2010-03-31,44.0,43.2,43.2,43.2,18.06,1642860
2010-04-01,44.0,42.7,43.0,43.7,18.27,1745340
2010-04-02,44.5,43.5,43.9,43.9,18.36,1613440
2010-04-05,44.7,44.1,44.3,44.2,18.48,1016450
2010-04-06,44.5,43.6,44.2,43.6,18.23,1436030
2010-04-07,43.8,43.2,43.6,43.4,18.15,1074560
2010-04-08,43.9,43.3,43.6,43.3,18.11,1443720
2010-04-09,43.9,43.2,43.5,43.2,18.06,1148570
2010-04-12,43.9,43.2,43.7,43.3,18.11,1230620
2010-04-13,43.9,43.4,43.5,43.4,18.15,1308540
2010-04-14,43.5,43.1,43.4,43.2,18.06,943970
2010-04-15,43.5,43.2,43.5,43.2,18.06,1163180
2010-04-16,43.5,43.1,43.4,43.2,18.06,1040730
2010-04-19,43.2,42.7,43.0,42.7,17.86,1370450
2010-04-20,42.8,42.2,42.5,42.2,17.65,1857710
2010-04-21,42.6,42.0,42.3,42.1,17.6,1092260
2010-04-22,44.2,42.5,42.6,44.2,18.48,3578070
2010-04-26,46.1,44.3,44.5,45.1,18.86,3776230
2010-04-27,44.9,44.2,44.8,44.5,18.61,1624520
2010-04-28,44.4,44.0,44.3,44.3,18.52,1220450
2010-04-29,44.8,43.6,44.5,43.6,18.23,1627280
2010-05-04,44.7,43.7,44.1,44.2,18.48,2313870
2010-05-05,44.2,43.6,43.9,43.7,18.27,1615620
2010-05-06,43.9,43.1,43.7,43.1,18.02,1837870
2010-05-07,42.9,42.0,42.5,42.5,17.77,1863700
2010-05-10,42.2,41.2,42.0,41.2,17.23,3553840
2010-05-11,41.6,40.8,41.5,41.0,17.14,3984740
2010-05-12,40.5,39.5,40.4,39.5,16.52,3347140
2010-05-13,40.3,39.1,40.0,39.4,16.48,2886420
2010-05-14,39.9,39.1,39.4,39.1,16.35,2710760
2010-05-17,39.0,37.5,39.0,37.5,15.68,3419060
2010-05-18,37.8,36.9,37.5,37.2,15.56,2423470
2010-05-19,36.8,35.5,36.7,35.5,15.05,2973440
2010-05-20,37.2,34.4,34.4,37.2,15.77,3737750
2010-05-21,36.8,35.4,36.0,35.4,15.0,5137490
2010-05-24,37.1,35.7,36.5,37.1,15.72,2928080
2010-05-25,37.5,36.4,37.0,36.9,15.64,2246230
2010-05-26,37.2,36.7,37.2,36.8,15.6,1924840
2010-05-27,37.0,36.1,36.5,37.0,15.68,1933020
2010-05-28,38.5,37.2,37.6,38.1,16.15,3195440
2010-05-31,37.9,37.0,37.8,37.5,15.89,2027690
2010-06-01,37.5,36.9,37.3,37.3,15.81,1478340
2010-06-02,37.2,36.6,36.9,37.0,15.68,1816030
2010-06-03,37.6,37.0,37.5,37.0,15.68,1411600
2010-06-04,37.2,36.7,37.0,36.8,15.6,1101700
2010-06-07,36.2,35.6,35.7,35.9,15.22,2920540
2010-06-08,35.9,35.5,35.7,35.7,15.13,1832620
2010-06-09,36.2,35.6,36.0,35.6,15.09,1041580
2010-06-10,35.8,35.5,35.6,35.7,15.13,919700
2010-06-11,36.4,35.9,36.0,35.9,15.22,1803400
2010-06-14,36.2,35.9,36.1,35.9,15.22,1298430
2010-06-15,36.0,35.6,35.7,35.6,15.09,935280
2010-06-16,36.5,35.7,36.0,36.0,15.26,1580910
2010-06-17,36.0,35.8,36.0,35.8,15.17,1380310
2010-06-18,35.9,35.7,35.8,35.8,15.17,951630
2010-06-21,36.1,35.8,36.0,36.0,15.26,847910
2010-06-22,36.0,35.6,35.8,35.7,15.13,1070150
2010-06-23,35.8,35.5,35.5,35.6,15.09,1025350
2010-06-24,35.8,35.6,35.6,35.7,15.13,1104260
2010-06-25,35.5,35.0,35.4,35.0,14.83,1275160
2010-06-28,35.2,34.8,35.0,34.9,14.79,937340
2010-06-29,35.2,34.8,35.0,34.9,14.79,1698540
2010-06-30,34.7,34.0,34.0,34.4,14.58,1023460
2010-07-01,34.4,34.1,34.3,34.3,14.54,794280
2010-07-02,34.6,33.9,34.5,34.0,14.41,1091670
2010-07-05,34.0,33.7,34.0,33.7,14.28,1111350
2010-07-06,33.5,33.0,33.5,33.0,13.99,1332470
2010-07-07,33.4,32.9,33.0,32.9,13.94,901810
2010-07-08,33.7,33.0,33.6,33.0,13.99,693000
2010-07-09,33.2,32.9,33.1,32.9,13.94,801140
2010-07-12,33.1,32.7,33.0,33.1,14.03,1768150
2010-07-13,34.7,33.4,33.7,34.7,14.71,1606550
2010-07-14,36.0,35.1,35.7,35.1,14.88,2324050
2010-07-15,35.2,34.5,35.1,34.5,14.62,910480
2010-07-16,34.6,34.0,34.3,34.4,14.58,704330
2010-07-19,34.2,33.8,34.2,33.8,14.33,879110
2010-07-20,34.0,33.7,33.8,33.7,14.28,756530
2010-07-21,33.7,33.3,33.6,33.5,14.2,915860
2010-07-22,33.7,33.3,33.6,33.3,14.11,854690
2010-07-23,33.5,33.1,33.4,33.2,14.07,956150
2010-07-26,33.2,32.8,33.0,32.9,13.94,969660
2010-07-27,33.4,32.9,33.0,33.0,13.99,1207250
2010-07-28,33.0,32.5,32.8,32.6,13.82,894990
2010-07-29,32.9,32.5,32.6,32.7,13.86,1065190
2010-07-30,33.3,32.7,32.7,32.8,13.9,974020
2010-08-02,32.8,32.3,32.6,32.3,13.69,730790
2010-08-03,32.7,32.2,32.3,32.2,13.65,1171240
2010-08-04,32.0,31.5,32.0,31.6,13.39,1003920
2010-08-05,32.0,31.3,32.0,31.5,13.35,720630
2010-08-06,31.5,31.2,31.5,31.2,13.22,804400
2010-08-09,31.1,29.9,31.1,29.9,12.67,1044090
2010-08-10,30.1,28.6,30.0,29.1,12.33,1772750
2010-08-11,29.8,28.9,29.8,29.1,12.33,973360
2010-08-12,28.7,27.7,28.7,27.7,11.74,1647550
2010-08-13,28.3,27.0,27.1,28.3,11.99,1410960
2010-08-16,29.7,28.6,29.0,29.7,12.59,1692050
2010-08-17,29.8,28.7,29.3,29.3,12.42,1055110
2010-08-18,29.3,28.4,29.3,28.5,12.08,880930
2010-08-19,28.6,27.8,28.4,28.0,11.87,743150
2010-08-20,28.5,27.6,28.0,28.5,12.08,794060
2010-08-23,28.1,27.8,28.0,27.8,11.78,605300
2010-08-24,27.4,26.6,27.2,26.6,11.27,1485500
2010-08-25,26.0,25.3,25.7,25.3,10.72,1894670
2010-08-26,26.0,25.0,26.0,25.5,10.81,1011870
2010-08-27,25.7,24.9,25.3,25.5,10.81,860760
2010-08-30,26.7,26.4,26.5,26.7,11.32,506930
2010-08-31,28.0,27.1,27.1,28.0,11.87,3391470
2010-09-01,28.5,27.6,28.0,28.5,12.08,1365780
2010-09-06,29.9,28.8,29.0,29.9,12.67,3284240
2010-09-07,30.5,29.0,29.5,29.2,12.38,2180100
2010-09-08,29.0,28.1,28.2,28.5,12.08,1803930
2010-09-09,29.4,28.5,29.0,29.0,12.29,1657610
2010-09-10,29.1,27.6,29.0,27.6,11.7,2298520
2010-09-13,27.8,26.6,27.4,26.8,11.36,1479520
2010-09-14,27.5,26.8,27.5,27.3,11.57,1061940
2010-09-15,27.4,26.8,27.4,27.0,11.44,1110770
2010-09-16,27.3,26.9,27.0,27.1,11.49,850560
2010-09-17,28.4,27.3,27.4,28.4,12.04,1895850
2010-09-20,29.2,28.2,29.1,28.2,11.95,1197540
2010-09-21,28.3,27.9,28.0,28.0,11.87,873090
2010-09-22,28.2,27.7,28.0,27.8,11.78,648040
2010-09-23,27.8,26.9,27.6,27.3,11.57,1382200
2010-09-24,27.7,27.3,27.3,27.6,11.7,967770
2010-09-27,27.9,27.5,27.9,27.5,11.66,867110
2010-09-28,28.0,27.4,28.0,27.4,11.61,927160
2010-09-29,27.5,27.0,27.5,27.0,11.44,867510
2010-09-30,27.0,26.8,26.9,26.9,11.4,676740
2010-10-01,27.1,26.6,27.0,26.6,11.27,646680
2010-10-04,26.7,25.7,26.7,25.7,10.89,1078390
2010-10-05,26.7,25.1,25.1,26.7,11.32,1161680
2010-10-06,27.2,26.5,26.7,27.0,11.44,946690
2010-10-07,27.3,26.5,26.5,26.6,11.27,958280
2010-10-08,26.8,26.3,26.6,26.4,11.19,532190
2010-10-11,26.5,26.2,26.4,26.2,11.1,478430
2010-10-12,26.2,25.7,26.1,25.8,10.93,740090
