Attributes,high,low,open,close,adjust,volume
Symbols,VCB,VCB,VCB,VCB,VCB,VCB
date,,,,,,
2010-01-04,49.3,47.0,47.0,49.3,17.24,598640
2010-01-05,51.5,49.3,51.0,49.8,17.42,935140
2010-01-06,49.8,48.0,48.1,48.0,16.79,479840
2010-01-07,48.1,47.0,48.0,47.0,16.44,207490
2010-01-08,47.8,46.9,47.6,47.0,16.44,351610
2010-01-11,47.5,44.8,47.5,47.0,16.44,432620
2010-01-12,47.0,45.5,46.5,45.5,15.91,269580
2010-01-13,47.0,43.5,43.5,47.0,16.44,469510
2010-01-14,47.2,46.0,47.0,46.4,16.23,129590
2010-01-15,45.9,45.3,45.5,45.3,15.84,213500
2010-01-18,45.0,43.5,45.0,43.5,15.21,332360
2010-01-19,44.7,43.8,44.0,44.7,15.63,208770
2010-01-20,45.4,43.8,45.4,43.8,15.32,154590
2010-01-21,44.0,43.0,43.8,43.0,15.04,441690
2010-01-22,43.5,42.2,43.0,42.5,14.86,331220
2010-01-25,42.6,42.3,42.3,42.5,14.86,161220
2010-01-26,43.7,42.6,43.5,42.8,14.97,279270
2010-01-27,43.5,42.7,43.1,42.8,14.97,168830
2010-01-28,43.0,42.3,42.5,42.3,14.79,134440
2010-01-29,42.3,42.0,42.3,42.0,14.69,162850
2010-02-01,42.4,41.8,42.0,41.8,14.62,108370
2010-02-02,43.0,42.0,43.0,42.3,14.79,260860
2010-02-03,43.5,42.8,43.0,43.5,15.21,454020
2010-02-04,44.5,43.4,43.5,44.5,15.56,341670
2010-02-05,44.0,43.5,44.0,43.7,15.28,220730
2010-02-08,43.7,42.9,42.9,43.7,15.28,146740
2010-02-09,43.4,42.6,43.2,42.6,14.9,200320
2010-02-10,43.8,43.0,43.0,43.5,15.21,77640
2010-02-11,44.5,43.6,43.6,44.5,15.56,229520
2010-02-12,45.1,44.4,45.0,44.5,15.56,191060
2010-02-22,45.7,45.0,45.0,45.2,15.81,282530
2010-02-23,45.2,44.6,45.2,45.2,15.81,473230
2010-02-24,46.5,44.8,45.3,46.5,16.26,708110
2010-02-25,47.0,45.8,46.5,47.0,16.44,764780
2010-02-26,49.0,46.7,46.8,49.0,17.14,896140
2010-03-01,50.0,49.0,49.0,49.8,17.42,569580
2010-03-02,48.9,47.4,48.6,47.4,16.58,438130
2010-03-03,48.0,47.0,47.5,47.8,16.72,220550
2010-03-04,48.0,47.1,48.0,47.1,16.47,180180
2010-03-05,47.5,46.9,46.9,46.9,16.4,131760
2010-03-08,47.4,46.5,46.9,46.9,16.4,349730
2010-03-09,48.0,46.9,46.9,48.0,16.79,505880
2010-03-10,48.1,47.7,47.8,47.9,17.18,268350
2010-03-11,48.2,47.5,48.2,47.5,17.04,90870
2010-03-12,47.8,47.1,47.8,47.5,17.04,200050
2010-03-15,47.6,47.0,47.5,47.0,16.86,335920
