Attributes,high,low,open,close,adjust,volume
Symbols,VIC,VIC,VIC,VIC,VIC,VIC
date,,,,,,
2010-01-04,98.0,94.0,94.0,98.0,9.86,28450
2010-01-05,102.0,99.0,102.0,99.5,10.01,81630
2010-01-06,100.0,96.0,96.0,97.5,9.81,26740
2010-01-07,97.5,94.0,97.5,97.5,9.81,30400
2010-01-08,99.0,95.0,96.5,97.0,9.76,30710
2010-01-11,97.5,94.0,95.0,97.0,9.76,28680
2010-01-12,97.5,94.0,95.0,96.0,9.66,25460
2010-01-13,97.5,92.5,92.5,97.5,9.81,20390
2010-01-14,97.5,96.0,97.5,97.5,9.81,44660
2010-01-15,97.0,95.0,95.0,97.0,9.76,66940
2010-01-18,96.0,93.0,95.0,95.5,9.61,33990
2010-01-19,97.0,92.5,92.5,96.0,9.66,39960
2010-01-20,96.5,94.0,96.0,96.0,9.66,87363
2010-01-21,96.0,92.5,92.5,96.0,9.66,26680
2010-01-22,96.5,92.0,95.0,96.5,9.71,70700
2010-01-25,96.0,94.5,94.5,96.0,9.66,13630
2010-01-26,96.5,95.0,96.0,96.0,9.66,35750
2010-01-27,97.0,95.0,97.0,96.0,9.66,32600
2010-01-28,97.5,91.5,97.5,96.5,9.71,23600
2010-01-29,95.0,93.0,95.0,95.0,9.56,18870
2010-02-01,95.0,93.5,93.5,95.0,9.56,36180
2010-02-02,98.0,94.5,95.0,96.5,9.71,30660
2010-02-03,99.0,94.5,94.5,98.0,9.86,96530
2010-02-04,101.0,97.0,97.0,99.5,10.01,163390
2010-02-05,99.0,95.0,97.0,96.0,9.66,139900
2010-02-08,97.0,93.0,94.0,96.0,9.66,94980
2010-02-09,95.0,93.0,93.0,95.0,9.56,103160
2010-02-10,96.0,93.5,95.0,96.0,9.66,74660
2010-02-11,97.0,96.0,96.5,97.0,9.76,45850
2010-02-12,98.5,97.0,97.0,98.0,9.86,89470
2010-02-22,99.0,96.5,98.0,99.0,9.96,71740
2010-02-23,99.0,94.5,98.0,97.5,9.81,84430
2010-02-24,97.5,93.5,94.0,94.5,9.51,175340
2010-02-25,98.0,93.0,97.0,93.0,9.36,249890
2010-02-26,92.0,89.0,92.0,89.5,9.01,337300
2010-03-01,93.0,89.5,89.5,90.0,9.06,155190
2010-03-02,90.0,88.5,89.0,89.0,8.96,128120
2010-03-03,91.5,89.0,90.0,89.0,8.96,119700
2010-03-04,91.5,90.0,90.5,91.0,9.16,65980
2010-03-05,91.0,89.0,90.5,90.0,9.06,108370
2010-03-08,92.0,89.5,91.0,90.0,9.06,95640
2010-03-09,90.5,89.5,90.0,90.5,9.11,105060
2010-03-10,91.0,90.0,90.5,90.0,9.06,90660
2010-03-11,90.0,89.0,89.0,89.0,8.96,95590
2010-03-12,92.0,90.0,90.0,91.0,9.16,101600
2010-03-15,92.5,91.0,91.0,92.0,9.26,113160
2010-03-16,92.5,90.0,91.5,90.0,9.06,98240
2010-03-17,90.0,89.0,90.0,89.0,8.96,102440
2010-03-18,90.0,88.0,90.0,89.0,8.96,120250
2010-03-19,89.0,87.5,89.0,88.0,8.85,163290
2010-03-22,89.5,87.0,88.0,88.0,8.85,52690
2010-03-23,89.0,87.0,88.0,88.5,8.91,57060
2010-03-24,89.5,88.0,88.5,89.0,8.96,58040
2010-03-25,90.0,87.0,87.5,89.0,8.96,297320
2010-03-26,90.0,88.5,89.5,89.5,9.01,130170
