Attributes,high,low,open,close,adjust,volume
Symbols,VPB,VPB,VPB,VPB,VPB,VPB
date,,,,,,
2017-08-17,39.0,33.0,39.0,39.0,24.1,58299310
2017-08-18,38.5,37.2,38.0,37.2,22.99,1348450
2017-08-21,36.8,35.5,35.8,35.85,22.16,1802590
2017-08-22,36.0,34.8,34.8,36.0,22.25,2531870
2017-08-23,36.8,35.75,36.0,36.2,22.37,520790
2017-08-24,36.35,35.8,36.35,36.25,22.4,1289627
2017-08-25,36.3,35.8,35.9,36.3,22.43,615370
2017-08-28,36.3,35.9,36.0,36.3,22.43,761670
2017-08-29,36.3,35.95,36.1,36.3,22.43,990000
2017-08-30,36.3,36.0,36.3,36.3,22.43,830100
2017-08-31,36.3,36.1,36.1,36.3,22.43,1196380
2017-09-01,36.3,36.1,36.1,36.3,22.43,978060
2017-09-05,36.4,36.05,36.05,36.4,22.5,1449290
2017-09-06,38.2,36.3,36.4,38.15,23.58,1921010
2017-09-07,39.3,38.2,38.2,38.55,23.82,900290
2017-09-08,38.5,38.15,38.5,38.2,23.61,339640
2017-09-11,38.1,36.9,38.0,37.0,22.87,715570
2017-09-12,37.5,36.4,37.0,37.35,23.08,330150
2017-09-13,37.6,37.1,37.35,37.5,23.18,312470
2017-09-14,37.6,37.3,37.5,37.45,23.14,268880
2017-09-15,37.6,37.35,37.45,37.4,23.11,352480
2017-09-18,37.5,37.25,37.4,37.3,23.05,323580
2017-09-19,37.3,36.9,37.3,36.95,22.84,820020
2017-09-20,37.3,36.85,36.95,36.9,22.8,789670
2017-09-21,36.95,36.75,36.9,36.9,22.8,535570
2017-09-22,36.9,36.5,36.9,36.7,22.68,1288830
2017-09-25,36.85,36.65,36.7,36.65,22.65,4504360
2017-09-26,36.9,36.6,36.9,36.6,22.62,718370
2017-09-27,37.45,36.6,36.6,37.25,23.02,1473820
2017-09-28,37.8,37.2,37.3,37.25,23.02,1738590
2017-09-29,37.75,37.25,37.25,37.5,23.18,752340
2017-10-02,37.6,37.0,37.5,37.25,23.02,634350
2017-10-03,37.3,36.75,37.2,36.9,22.8,659660
2017-10-04,37.0,36.75,36.9,36.9,22.8,477470
2017-10-05,37.15,36.85,37.1,36.85,22.77,219990
2017-10-06,37.2,36.8,37.05,37.2,22.99,409110
2017-10-09,37.6,37.25,37.6,37.45,23.14,4936770
2017-10-10,38.2,37.35,37.45,38.0,23.48,869010
2017-10-11,39.5,38.15,38.2,39.5,24.41,3495690
2017-10-12,40.8,39.3,39.55,40.05,24.75,2545902
2017-10-13,41.05,39.9,39.9,40.2,24.84,1322500
2017-10-16,41.2,40.2,40.2,40.7,25.15,2217910
2017-10-17,41.5,40.7,40.7,41.2,25.46,4612170
2017-10-18,42.1,41.3,42.0,41.3,25.52,2654380
2017-10-19,41.7,40.8,41.2,41.1,25.4,1057180
2017-10-20,41.6,41.1,41.1,41.3,25.52,1480860
2017-10-23,41.9,40.7,40.8,40.8,25.21,1498490
2017-10-24,40.95,40.45,40.95,40.7,25.15,826280
2017-10-25,41.15,40.3,40.7,41.0,25.34,1275530
2017-10-26,41.3,40.5,41.0,40.7,25.15,757830
2017-10-27,41.0,40.55,40.6,40.85,25.25,738890
2017-10-30,41.8,40.85,40.85,41.1,25.4,1960480
2017-10-31,41.3,40.6,41.1,40.65,25.12,6027260
2017-11-01,40.9,40.15,40.6,40.3,24.91,994020
2017-11-02,40.6,37.6,40.2,37.7,23.3,2483020
2017-11-03,40.2,37.8,37.8,40.2,24.84,1257280
2017-11-06,40.2,39.5,40.2,39.9,24.66,3054523
2017-11-07,39.8,39.4,39.8,39.5,24.41,579800
2017-11-08,40.3,39.15,39.5,40.2,24.84,826220
2017-11-09,40.3,39.5,40.3,39.7,24.53,1680118
2017-11-10,39.7,39.5,39.65,39.55,24.44,1853430
2017-11-13,39.6,38.6,39.6,38.7,23.92,734400
2017-11-14,39.4,38.7,38.7,39.05,24.13,777620
2017-11-15,39.45,38.8,39.3,39.3,24.29,775820
2017-11-16,40.4,39.05,39.3,39.5,24.41,916660
2017-11-17,40.0,39.45,39.8,39.5,24.41,561660
2017-11-20,39.6,39.05,39.6,39.1,24.16,665260
2017-11-21,39.35,38.75,39.0,38.95,24.07,1003180
2017-11-22,40.2,38.9,39.0,39.6,24.47,1542070
2017-11-23,40.9,39.1,40.0,40.0,24.72,1865520
2017-11-24,40.6,39.7,40.25,40.0,24.72,939760
2017-11-27,40.0,39.75,40.0,39.8,24.6,865430
2017-11-28,40.35,39.7,39.8,39.8,24.6,1532570
2017-11-29,40.45,39.8,39.8,40.1,24.78,1922690
2017-11-30,41.25,40.3,40.4,41.15,25.43,4526350
2017-12-01,41.6,41.1,41.6,41.15,25.43,3263090
2017-12-04,42.3,41.2,41.2,41.5,25.65,2934270
2017-12-05,41.95,40.7,41.7,41.05,25.37,3035500
2017-12-06,41.1,40.1,41.05,40.5,25.03,1964010
2017-12-07,40.6,39.6,40.5,39.6,24.47,1763680
2017-12-08,40.0,39.4,39.6,39.5,24.41,1305820
2017-12-11,39.45,38.55,39.0,38.55,23.82,1320400
2017-12-12,39.5,36.0,38.8,38.7,23.92,2982180
2017-12-13,38.75,37.9,38.7,37.9,23.42,1222590
2017-12-14,38.6,38.0,38.0,38.4,23.73,809430
2017-12-15,38.85,38.2,38.4,38.2,23.61,738630
2017-12-18,39.3,38.4,38.5,39.0,24.1,1339150
2017-12-19,39.45,38.5,39.45,39.2,24.23,1250790
2017-12-20,40.5,39.2,39.2,40.35,24.94,1343011
2017-12-21,40.9,40.35,40.4,40.45,25.0,5587340
2017-12-22,40.4,39.85,40.3,40.4,24.97,863870
2017-12-25,40.4,39.8,40.4,39.9,24.66,4935861
2017-12-26,40.1,39.7,40.0,39.8,24.6,702040
2017-12-27,40.3,39.9,40.0,39.9,24.66,5096400
2017-12-28,40.8,40.2,40.2,40.5,25.03,1336360
2017-12-29,41.3,40.6,40.8,41.0,25.34,2168440
2018-01-02,43.85,41.05,41.05,43.3,26.76,6973030
2018-01-03,44.4,43.2,43.9,43.35,26.79,4143590
2018-01-04,45.0,43.35,43.4,44.9,27.75,3177720
2018-01-05,44.9,43.5,44.9,44.4,27.44,3109260
2018-01-08,46.5,44.0,44.4,46.45,28.71,2758530
2018-01-09,47.95,45.0,47.0,47.9,29.6,4873410
2018-01-10,48.55,47.4,48.05,48.0,29.66,4715390
2018-01-11,48.75,47.25,47.35,48.75,30.13,3013750
2018-01-12,49.0,46.8,49.0,47.1,29.11,6034390
2018-01-15,48.4,46.9,47.2,48.0,29.66,2870090
2018-01-16,47.95,46.6,47.8,47.5,29.36,7223700
2018-01-17,48.3,46.85,47.65,47.0,29.05,5574920
2018-01-18,48.0,46.5,46.8,48.0,29.66,3113930
2018-01-19,50.1,48.0,48.0,48.2,29.79,15106160
2018-01-22,49.6,48.2,48.2,49.25,30.44,3221950
2018-01-25,52.6,49.6,50.0,52.4,32.38,11508030
2018-01-26,53.4,51.8,52.5,52.0,32.14,13006470
2018-01-29,54.0,51.9,52.6,52.1,32.2,5001720
2018-01-30,52.9,50.8,51.6,52.9,32.69,9174880
2018-01-31,54.1,52.9,53.0,53.3,32.94,3571550
2018-02-01,53.5,51.8,53.5,52.2,32.26,4257500
2018-02-02,54.2,51.8,52.3,54.2,33.5,2920900
2018-02-05,54.1,50.8,53.6,51.5,31.83,4065630
2018-02-06,51.5,47.9,49.4,49.4,30.53,13057118
2018-02-07,52.8,51.4,52.0,52.4,32.38,5853500
2018-02-08,52.6,51.5,52.1,52.0,32.14,3065350
2018-02-09,52.9,49.0,49.0,52.5,32.45,8106068
2018-02-12,55.2,53.0,53.3,55.2,34.11,6359690
2018-02-13,56.9,55.5,56.9,56.5,34.92,2429320
2018-02-21,59.1,57.2,57.5,58.4,36.09,3556230
2018-02-22,58.7,56.5,58.0,57.1,35.29,5013996
2018-02-23,58.5,56.8,57.4,58.5,36.15,3203950
2018-02-26,59.3,57.8,59.0,57.9,35.78,4344350
2018-02-27,59.2,57.8,58.4,58.9,36.4,3264320
2018-02-28,60.4,58.4,58.9,59.6,36.83,3332900
2018-03-01,59.9,58.6,59.0,59.2,36.59,3000810
2018-03-02,62.0,58.3,58.5,61.9,38.25,6312090
2018-03-05,63.1,58.5,62.5,58.5,36.15,4159210
2018-03-06,61.8,59.3,60.1,61.8,38.19,4130200
2018-03-07,63.5,60.9,63.4,62.0,38.32,7713080
2018-03-08,65.1,62.0,62.5,65.1,40.23,5518750
2018-03-09,66.0,63.0,66.0,63.9,39.49,8920060
2018-03-12,64.0,61.8,62.9,62.9,38.87,8347940
2018-03-13,64.2,61.6,62.8,64.2,39.68,7354400
2018-03-14,65.1,63.5,64.5,64.5,39.86,3295440
2018-03-15,64.5,63.2,63.9,63.8,39.43,7500270
2018-03-16,64.9,63.0,64.3,64.3,39.74,6869440
2018-03-19,65.3,63.3,63.4,63.4,39.18,6381910
2018-03-20,66.3,63.6,63.7,65.4,40.42,6801930
2018-03-21,66.5,64.8,66.0,65.0,40.17,4111635
2018-03-22,66.0,64.1,65.2,65.2,40.29,3276470
2018-03-23,64.5,63.1,63.2,63.7,39.37,7717563
2018-03-26,64.9,63.3,63.3,64.3,39.74,2977790
2018-03-27,66.0,64.6,65.0,64.9,40.11,5278977
2018-03-28,65.1,64.1,64.1,64.9,40.11,1854780
2018-03-29,65.9,64.9,64.9,65.2,40.29,3422420
2018-03-30,65.4,64.4,65.2,64.5,39.86,2552674
2018-04-02,68.3,64.3,64.5,68.0,42.02,10171050
2018-04-03,68.9,67.7,68.0,68.3,42.21,5313650
2018-04-04,69.0,67.8,68.5,68.1,42.09,2948989
2018-04-05,68.2,66.8,68.2,67.5,41.72,4652940
2018-04-06,68.4,67.3,67.6,68.1,42.09,3686299
2018-04-09,69.7,67.8,68.0,69.3,42.83,3604100
2018-04-10,70.0,67.6,69.5,68.3,42.21,5493590
2018-04-11,68.7,65.5,68.3,66.1,40.85,5107690
2018-04-12,66.5,65.1,66.0,66.4,41.04,2662940
2018-04-13,67.0,64.1,66.8,64.1,39.61,3630260
2018-04-16,65.3,62.9,64.1,63.9,39.49,13097620
2018-04-17,65.1,63.8,64.2,65.1,40.23,3251450
2018-04-18,65.6,63.8,65.6,63.8,39.43,3359730
2018-04-19,63.7,60.8,63.6,60.8,37.57,4151140
2018-04-20,61.3,59.0,60.8,61.2,37.82,11950950
2018-04-23,61.8,57.0,57.0,57.0,35.23,9528180
2018-04-24,57.9,53.6,55.0,57.0,35.23,5596780
2018-04-26,57.1,53.1,56.8,53.1,32.82,5990920
2018-04-27,54.9,49.7,51.6,53.5,33.06,4397700
2018-05-02,54.8,50.7,51.3,51.3,31.7,3034880
2018-05-03,52.0,48.6,50.5,51.7,31.95,3797020
2018-05-04,53.5,51.9,52.5,52.4,32.38,6843750
2018-05-07,55.9,52.7,53.0,55.9,34.55,2016800
2018-05-08,56.0,54.5,55.7,54.5,33.68,4699960
2018-05-09,55.2,53.1,54.1,53.1,32.82,7620970
2018-05-10,53.7,50.0,53.1,50.0,30.9,2582650
2018-05-11,52.0,48.9,49.6,51.7,31.95,2866580
2018-05-14,52.3,48.1,52.3,49.9,30.84,8485080
2018-05-15,51.0,49.0,50.0,50.2,31.02,3425560
2018-05-16,50.3,48.3,49.8,48.3,29.85,2416270
2018-05-17,48.3,45.05,48.3,45.8,28.3,5470850
2018-05-18,48.0,45.0,46.5,46.55,28.77,3376340
2018-05-21,48.1,46.5,47.3,47.0,29.05,1969320
2018-05-22,47.0,44.0,47.0,45.0,27.81,2953000
2018-05-23,45.5,43.2,45.0,45.1,27.87,2732570
2018-05-24,45.5,43.65,45.5,44.1,27.25,1839710
2018-05-25,44.2,41.5,44.0,41.7,25.77,3225170
2018-05-28,41.2,38.8,41.0,38.8,23.98,2775150
