Attributes,high,low,open,close,adjust,volume
Symbols,VRE,VRE,VRE,VRE,VRE,VRE
date,,,,,,
2017-11-06,40.55,40.55,40.55,40.55,32.15,800
2017-11-07,40.55,40.55,40.55,40.55,32.15,414939570
2017-11-08,40.55,40.55,40.55,40.55,32.15,0
2017-11-09,40.55,40.55,40.55,40.55,32.15,0
2017-11-10,43.35,43.35,43.35,43.35,34.37,2136030
2017-11-13,46.35,46.35,46.35,46.35,36.75,2487202
2017-11-14,49.55,46.35,49.55,47.0,37.27,18284500
2017-11-15,47.0,43.8,44.5,44.5,35.28,7115260
2017-11-16,44.5,42.75,44.5,44.0,34.89,6171490
2017-11-17,45.5,43.3,44.0,44.6,35.36,11272390
2017-11-20,47.7,45.0,45.6,47.7,37.82,3326670
2017-11-21,51.0,49.0,49.9,51.0,40.44,8512730
2017-11-22,54.0,50.4,51.5,51.6,40.91,7455670
2017-11-23,52.8,50.5,51.6,52.0,41.23,2316540
2017-11-24,52.1,50.5,51.5,50.6,40.12,2593820
2017-11-27,52.0,49.0,50.6,51.1,40.52,3472040
2017-11-28,51.9,49.5,51.9,49.8,39.49,3449900
2017-11-29,50.2,48.85,49.5,49.4,39.17,1595900
2017-11-30,49.0,47.85,49.0,49.0,38.85,3235960
2017-12-01,49.9,48.5,49.2,49.5,39.25,1408140
2017-12-04,50.0,48.85,49.9,49.5,39.25,2104010
2017-12-05,50.0,47.9,50.0,48.0,38.06,2480030
2017-12-06,48.5,46.7,48.0,47.1,37.34,1834150
2017-12-07,47.9,46.0,47.7,46.0,36.47,1067350
2017-12-08,47.65,44.4,46.0,47.0,37.27,1658790
2017-12-11,46.5,45.0,45.0,45.0,35.68,980090
2017-12-12,46.1,43.1,45.2,46.0,36.47,1598220
2017-12-13,46.1,45.4,46.0,45.85,36.35,883220
2017-12-14,45.8,44.9,45.7,45.2,35.84,1488710
2017-12-15,46.4,45.1,45.1,45.9,36.39,1761240
2017-12-18,46.9,45.9,46.6,46.3,36.71,2501120
2017-12-19,46.95,45.4,46.65,46.3,36.71,1297970
2017-12-20,46.2,45.6,45.7,45.8,36.31,1580200
2017-12-21,48.3,45.8,46.0,48.2,38.22,3946650
2017-12-22,48.85,47.8,48.2,47.8,37.9,1567780
2017-12-25,48.0,47.0,47.8,47.0,37.27,1056580
2017-12-26,48.45,46.8,47.2,48.0,38.06,2055640
2017-12-27,48.2,47.35,47.8,47.45,37.62,1223520
2017-12-28,47.7,46.9,47.7,46.9,37.19,1540680
2017-12-29,47.75,46.2,46.8,47.15,37.38,2825760
2018-01-02,47.7,47.1,47.1,47.35,37.54,1157790
2018-01-03,48.45,47.4,47.5,47.4,37.58,1913590
2018-01-04,48.0,46.9,47.85,47.2,37.42,1935370
2018-01-05,47.5,46.95,47.2,47.0,37.27,2164520
2018-01-08,47.15,46.2,47.0,46.4,36.79,1908070
2018-01-09,47.3,46.4,46.5,47.0,37.27,2185080
2018-01-10,50.2,47.0,47.0,49.8,39.49,3068830
2018-01-11,52.2,49.0,49.7,51.9,41.15,2786340
2018-01-12,55.5,52.1,52.2,55.0,43.61,4607910
2018-01-15,55.6,53.7,55.0,54.6,43.29,4999020
2018-01-16,54.9,53.8,54.9,53.9,42.74,3440360
2018-01-17,57.3,54.0,54.3,55.0,43.61,5077330
2018-01-18,58.8,54.5,54.6,57.5,45.59,3399350
2018-01-19,61.5,58.5,58.7,61.0,48.37,3426360
2018-01-22,61.0,58.5,60.1,59.5,47.18,6289050
2018-01-25,61.4,56.0,59.0,56.0,44.4,7792180
2018-01-26,58.5,55.0,57.0,55.0,43.61,6619400
2018-01-29,57.9,54.9,56.9,55.0,43.61,4390910
2018-01-30,56.3,54.5,55.0,55.2,43.77,3073500
2018-01-31,58.7,55.4,55.9,55.4,43.93,6251570
2018-02-01,55.5,53.0,55.5,55.0,43.61,3912850
2018-02-02,55.1,54.4,54.9,55.1,43.69,2234890
2018-02-05,54.5,51.3,54.0,51.3,40.67,3420830
2018-02-06,51.0,47.75,47.75,47.75,37.86,103571240
2018-02-07,51.0,49.1,50.4,51.0,40.44,3212830
2018-02-08,51.5,49.0,50.0,49.0,38.85,1664120
2018-02-09,47.75,45.6,45.8,47.75,37.86,13975790
2018-02-12,48.45,45.5,47.9,47.75,37.86,3845820
2018-02-13,48.2,47.7,47.9,48.05,38.1,6765980
2018-02-21,50.0,48.7,50.0,49.5,39.25,3674820
2018-02-22,49.9,49.0,49.0,49.9,39.56,4575630
2018-02-23,51.6,49.8,50.0,51.6,40.91,3430070
2018-02-26,55.2,52.7,54.0,55.0,43.61,5932060
2018-02-27,56.8,53.8,55.2,54.9,43.53,5097420
2018-02-28,55.9,53.8,54.0,53.8,42.66,5672210
2018-03-01,55.5,54.0,54.5,55.4,43.93,3196120
2018-03-02,55.5,54.4,54.4,55.2,43.77,3044310
2018-03-05,56.4,51.4,55.9,51.4,40.75,4715530
2018-03-06,54.9,52.1,52.9,54.9,43.53,4049780
2018-03-07,56.1,54.0,55.5,54.6,43.29,3347760
2018-03-08,56.0,54.5,55.0,55.7,44.16,4586890
2018-03-09,57.0,55.0,56.2,55.7,44.16,4150630
2018-03-12,57.6,55.8,55.8,55.8,44.24,10464220
2018-03-13,56.0,54.9,56.0,55.8,44.24,7024640
2018-03-14,56.2,53.3,55.9,53.5,42.42,4665300
2018-03-15,54.5,51.5,53.2,53.0,42.02,6265540
2018-03-16,54.1,52.2,52.2,52.2,41.39,33350840
2018-03-19,53.6,52.2,53.0,53.0,42.02,2395990
2018-03-20,53.3,52.5,53.0,52.8,41.86,1510830
2018-03-21,52.9,50.7,52.8,51.5,40.83,4016320
2018-03-22,52.5,51.5,51.5,51.8,41.07,1562140
2018-03-23,50.8,49.2,50.2,49.9,39.56,2521210
2018-03-26,50.0,48.5,49.5,48.6,38.53,2399520
2018-03-27,50.9,49.5,50.0,50.3,39.88,1948160
2018-03-28,51.5,50.3,50.7,50.8,40.28,1398700
2018-03-29,51.4,49.6,51.4,51.0,40.44,3154240
2018-03-30,51.4,50.3,50.8,51.2,40.6,4682610
2018-04-02,51.4,49.85,51.2,49.9,39.56,2306810
2018-04-03,50.4,48.9,50.0,49.9,39.56,2238180
2018-04-04,50.3,49.3,50.0,49.5,39.25,5262560
2018-04-05,50.0,49.2,49.5,49.2,39.01,1323240
2018-04-06,52.6,49.0,49.0,52.5,41.63,3842930
2018-04-09,54.3,53.1,53.5,53.5,42.42,5999420
2018-04-10,54.0,52.6,53.5,53.0,42.02,2853710
2018-04-11,53.0,51.0,53.0,51.0,40.44,9018600
2018-04-12,52.5,50.7,51.0,51.8,41.07,2250890
2018-04-13,52.4,50.8,52.3,50.8,40.28,1443370
2018-04-16,51.2,49.9,50.2,50.7,40.2,665980
2018-04-17,51.0,49.95,50.7,50.0,39.64,1233470
2018-04-18,50.5,48.0,50.2,48.0,38.06,2055070
2018-04-19,48.9,46.8,48.2,46.8,37.11,2585560
2018-04-20,48.0,46.5,46.8,48.0,38.06,1434640
