<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FPT,20201216,57.2000,57.5000,57.0000,57.1000,1995530
FPT,20201215,57.5000,57.6000,56.6000,56.7000,2666900
FPT,20201214,57.0000,58.0000,56.9000,57.2000,1443760
FPT,20201211,56.6000,57.0000,56.3000,57.0000,1750270
FPT,20201210,57.0000,57.7000,56.5000,56.5000,2112490
FPT,20201209,56.3000,57.8000,56.2000,57.5000,3001820
FPT,20201208,55.7000,56.6000,55.5000,56.2000,2297110
FPT,20201207,55.7000,56.0000,55.5000,55.7000,1455180
FPT,20201204,55.4000,55.9000,55.4000,55.7000,1380920
FPT,20201203,55.5000,55.7000,55.1000,55.6000,1627980
FPT,20201202,55.0000,55.7000,55.0000,55.6000,2108200
FPT,20201201,55.2000,55.4000,54.8000,55.2000,3427370
FPT,20201130,56.7000,56.7000,55.4000,55.4000,2761700
FPT,20201127,55.9000,56.2000,55.6000,56.2000,1986420
FPT,20201126,55.5000,56.0000,54.8000,55.7000,1635130
FPT,20201125,56.3000,56.3000,55.2000,55.2000,1835630
FPT,20201124,55.9000,56.5000,55.0000,55.6000,3003940
FPT,20201123,55.2000,56.2000,54.6000,55.9000,2824640
FPT,20201120,55.1000,55.9000,55.0000,55.2000,1837360
FPT,20201119,54.3000,56.0000,54.0000,55.1000,4980430
FPT,20201118,54.3000,54.3000,53.7000,54.0000,1757160
FPT,20201117,53.6000,54.1000,53.0000,54.0000,2515530
FPT,20201116,54.0000,54.4000,53.0000,53.3000,3713690
FPT,20201113,53.8000,53.8000,53.5000,53.8000,1318170
FPT,20201112,53.0000,53.5000,52.9000,53.5000,1234540
FPT,20201111,53.4000,53.4000,52.7000,53.0000,1668230
FPT,20201110,54.0000,54.0000,53.0000,53.0000,1739340
FPT,20201109,52.8000,53.4000,52.7000,53.4000,2011650
FPT,20201106,52.4000,52.8000,52.1000,52.4000,987260
FPT,20201105,52.7000,53.4000,52.0000,52.0000,1305860
FPT,20201104,53.0000,53.3000,52.5000,53.0000,1369690
FPT,20201103,51.9000,52.9000,51.7000,52.8000,2562890
FPT,20201102,51.5000,51.7000,51.2000,51.7000,866110
FPT,20201030,51.4000,51.5000,50.5000,51.5000,1469970
FPT,20201029,50.4000,51.3000,50.2000,50.9000,2719690
FPT,20201028,52.0000,52.4000,50.7000,50.7000,3596230
FPT,20201027,52.9000,53.2000,52.1000,52.1000,3188810
FPT,20201026,53.9000,54.5000,52.8000,52.8000,3852510
FPT,20201023,54.2000,54.5000,53.5000,53.9000,2646310
FPT,20201022,52.8000,54.0000,52.6000,54.0000,2346540
FPT,20201021,53.2000,54.5000,52.8000,52.8000,3305010
FPT,20201020,53.1000,53.3000,52.5000,53.2000,1886160
FPT,20201019,53.6000,53.8000,53.0000,53.3000,2333670
FPT,20201016,51.2000,53.9000,50.9000,53.2000,5769540
FPT,20201015,51.2000,51.4000,50.7000,51.2000,1925370
FPT,20201014,50.8000,51.4000,50.4000,51.0000,2409760
FPT,20201013,50.9000,51.0000,50.5000,50.7000,1222200
FPT,20201012,50.9000,51.4000,50.6000,50.9000,1550680
FPT,20201009,51.0000,51.2000,50.8000,50.8000,1173500
FPT,20201008,50.5000,51.5000,50.3000,51.1000,3062690
FPT,20201007,50.2000,50.7000,50.2000,50.4000,1493710
FPT,20201006,50.8000,50.9000,50.3000,50.5000,1520290
FPT,20201005,50.4000,50.8000,49.9000,50.5000,1498360
FPT,20201002,50.8000,51.1000,49.0000,50.3000,1947940
FPT,20201001,50.2000,50.8000,50.2000,50.8000,905510
FPT,20200930,50.2000,50.4000,49.7500,50.0000,2500310
FPT,20200929,51.4000,51.4000,50.2000,50.2000,1900490
FPT,20200928,50.9000,51.3000,50.6000,51.1000,1312300
FPT,20200925,50.7000,50.8000,50.0000,50.8000,1205550
FPT,20200924,50.7000,51.0000,50.2000,50.5000,1728380
FPT,20200923,51.3000,51.5000,50.8000,51.1000,1797680
FPT,20200922,50.8000,51.3000,50.6000,51.3000,1630570
FPT,20200921,51.3000,51.7000,51.2000,51.2000,1530250
FPT,20200918,50.1000,51.4000,50.0000,51.2000,3306720
FPT,20200917,50.3000,50.5000,49.9000,50.0000,1563010
FPT,20200916,50.0000,50.8000,50.0000,50.5000,1918130
FPT,20200915,49.5000,50.0000,49.3000,50.0000,1906730
FPT,20200914,49.2500,49.5000,49.1000,49.3000,1127400
FPT,20200911,49.0000,49.2000,48.8500,49.1500,872160
FPT,20200910,49.5000,49.8000,49.1000,49.2000,1005950
FPT,20200909,48.6500,49.5000,48.6000,49.2000,1490820
FPT,20200908,48.7500,49.5000,48.5000,49.5000,1628870
FPT,20200907,49.9500,50.0000,48.5000,48.5000,2270970
FPT,20200904,49.5000,50.0000,49.5000,50.0000,1538510
FPT,20200903,50.4000,50.5000,49.9000,50.4000,2281510
FPT,20200901,49.5000,50.5000,49.3500,49.9000,1757410
FPT,20200831,49.9000,50.3000,49.3500,49.5000,1940640
FPT,20200828,50.2000,51.1000,49.9000,49.9000,4009380
FPT,20200827,48.2500,50.1000,48.2500,49.8500,3724990
FPT,20200826,48.8000,48.8500,48.2000,48.4000,1328990
FPT,20200825,48.6000,48.9500,48.5500,48.8500,3304670
FPT,20200824,47.9500,48.6000,47.8500,48.4500,3540210
FPT,20200821,47.2500,47.5000,47.2000,47.4000,1260210
FPT,20200820,46.9000,47.4500,46.8500,47.0500,1824430
FPT,20200819,46.9000,47.0500,46.6500,46.8500,877190
FPT,20200818,47.0000,47.1500,46.8000,46.8500,625200
FPT,20200817,47.0000,47.0000,46.5000,47.0000,1048820
FPT,20200814,47.0923,47.1902,46.4559,46.7985,1633770
FPT,20200813,46.7006,46.9454,46.5048,46.9454,1709100
FPT,20200812,46.1132,46.5048,45.9174,46.5048,1233230
FPT,20200811,46.4559,46.4559,46.0153,46.0153,1209690
FPT,20200810,46.3580,46.7985,46.1132,46.2111,1160370
FPT,20200807,45.8195,46.7985,45.8195,46.1132,1283690
FPT,20200806,46.0153,46.2601,45.7216,45.8195,1153660
FPT,20200805,45.5257,46.1621,45.2810,46.0153,1328520
FPT,20200804,45.5257,45.8194,45.2320,45.5747,1051310
FPT,20200803,43.5677,44.9384,43.5677,44.9383,1392200
FPT,20200731,43.0781,44.2530,43.0781,43.5677,1106250
FPT,20200730,43.6656,44.2040,43.6656,44.2040,612240
FPT,20200729,43.4697,43.9593,42.8823,43.6166,1554200
FPT,20200728,43.4697,44.8404,43.2250,44.7425,1953510
FPT,20200727,44.0572,44.9383,42.6865,42.7844,3274350
FPT,20200724,46.4069,46.5538,44.4488,44.9383,3170540
FPT,20200723,46.4069,46.7496,46.1132,46.7496,918630
FPT,20200722,46.9943,46.9943,46.3090,46.4069,817890
FPT,20200721,46.5048,46.9454,46.2600,46.7985,940230
FPT,20200720,46.4069,47.1901,46.3579,46.4069,2049680
FPT,20200717,47.4839,47.4839,47.0923,47.0922,1313100
FPT,20200716,47.5328,47.7287,47.3860,47.5818,1060530
FPT,20200715,47.6797,47.9244,47.3859,47.5818,1516540
FPT,20200714,47.2880,47.8265,47.2880,47.5328,1549540
FPT,20200713,46.9943,47.9244,46.7495,47.6307,2662490
FPT,20200710,47.0922,47.2391,46.5048,46.7985,1164310
FPT,20200709,46.8964,47.3859,46.7985,47.3370,2298900
FPT,20200708,46.3089,46.8964,46.3089,46.7006,1472610
FPT,20200707,46.0153,46.8965,46.0153,46.4558,2739150
FPT,20200706,45.5258,45.9663,45.3300,45.8195,1089910
FPT,20200703,45.5258,45.5258,45.1341,45.2810,529760
FPT,20200702,45.3299,45.3299,44.9872,45.1831,539160
FPT,20200701,45.0363,45.3300,44.8405,45.2320,866660
FPT,20200630,45.1831,45.4279,44.4488,44.6936,1594210
FPT,20200629,45.6236,45.6236,44.8894,45.0852,1281220
FPT,20200626,45.8195,46.1622,45.7216,45.8684,602880
FPT,20200625,45.6726,46.1132,45.6237,45.8195,730810
FPT,20200624,46.8964,46.9453,46.0642,46.2111,607000
FPT,20200623,45.9663,47.3860,45.7705,46.5537,1693730
FPT,20200622,46.0153,46.0153,45.8684,46.0153,787180
FPT,20200619,45.6237,46.0153,45.6237,46.0153,745470
FPT,20200618,45.3299,45.7216,45.1831,45.6237,822980
FPT,20200617,45.7216,45.7706,45.2810,45.3789,788630
FPT,20200616,45.6236,45.8194,45.3299,45.6237,1100730
FPT,20200615,46.9943,46.9943,44.9383,45.0362,1207500
FPT,20200612,44.0572,46.0152,44.0572,46.0153,3145450
FPT,20200611,47.7776,47.7776,45.0363,45.0362,4278060
FPT,20200610,47.9734,47.9734,47.3859,47.7776,1307540
FPT,20200609,48.5608,48.6097,47.8754,47.9244,1491540
FPT,20200608,48.3161,48.9525,47.9734,48.3160,4113250
FPT,20200605,47.3859,47.6796,47.1411,47.6797,1236200
FPT,20200604,47.8755,47.8755,47.3859,47.3859,1260060
FPT,20200603,46.9943,47.9244,46.8964,47.6307,1893060
FPT,20200602,47.2880,47.4838,46.9943,46.9943,1456730
FPT,20200601,46.9944,47.3370,46.9944,47.2880,1298150
FPT,20200529,46.9943,47.0922,46.5048,46.9454,1346170
FPT,20200528,47.1901,47.5817,46.9943,46.9943,1194380
FPT,20200527,47.8755,48.3650,46.9944,46.9943,2098580
FPT,20200526,47.4839,47.7776,47.3370,47.7776,1615680
FPT,20200525,47.4839,47.5818,46.7985,47.4349,2033000
FPT,20200522,47.9734,47.9734,47.4349,47.4349,1731720
FPT,20200521,47.8755,48.2671,47.8265,48.2671,2007060
FPT,20200520,47.9733,47.9733,47.5328,47.8755,1245380
FPT,20200519,48.1692,48.6587,47.5818,48.2181,2879030
FPT,20200518,46.5048,47.3370,46.4069,47.3370,2000950
