,date,high,low,open,close,adjust,volume
0,20160104,20.8,20.2,20.2,20.2,17.97,1019270
1,20160105,20.4,20.0,20.2,20.1,17.88,1144280
2,20160106,20.3,20.0,20.0,20.2,17.97,1013200
3,20160107,20.2,19.0,20.1,19.3,17.17,2583350
4,20160108,19.3,18.3,19.3,18.8,16.72,1217770
5,20160111,19.3,18.9,19.0,19.0,16.9,980550
6,20160112,19.3,19.0,19.0,19.3,17.17,615630
7,20160113,19.5,18.9,19.4,19.0,16.9,528540
8,20160114,18.9,18.4,18.8,18.5,16.46,1223000
9,20160115,18.8,17.8,18.5,17.8,15.84,1334000
10,20160118,17.4,16.6,17.4,16.6,14.77,3664530
11,20160119,17.2,16.6,16.6,17.1,15.21,1606710
12,20160120,17.1,16.8,17.1,16.9,15.03,760120
13,20160121,16.9,15.8,16.8,15.8,14.06,2999730
14,20160122,15.9,14.7,15.8,15.0,13.34,5376560
15,20160125,16.0,15.5,15.6,16.0,14.23,1964520
16,20160126,16.8,15.5,16.3,16.5,14.68,2678070
17,20160127,17.3,16.4,16.5,17.2,15.3,2314620
18,20160128,17.5,16.5,17.5,16.5,14.68,1853090
19,20160129,16.9,16.4,16.5,16.8,14.95,1764470
20,20160201,16.9,16.3,16.5,16.3,14.5,1626710
21,20160202,16.8,16.0,16.3,16.2,14.41,824540
22,20160203,16.4,16.0,16.1,16.4,14.59,718690
23,20160204,16.6,16.2,16.5,16.2,14.41,1099370
24,20160205,16.4,16.1,16.2,16.4,14.59,490750
25,20160215,16.5,16.1,16.3,16.4,14.59,452890
26,20160216,16.5,16.2,16.5,16.3,14.5,781240
27,20160217,16.3,16.0,16.3,16.0,14.23,1511740
28,20160218,16.4,16.1,16.2,16.1,14.32,1277910
29,20160219,16.7,16.1,16.2,16.5,14.68,1647780
30,20160222,17.2,16.6,16.7,17.2,15.3,2247920
31,20160223,17.4,16.9,17.3,17.0,15.12,1871900
32,20160224,18.1,16.8,16.9,18.1,16.1,5780650
33,20160225,19.0,18.1,18.6,18.3,16.28,3364500
34,20160226,18.7,18.2,18.5,18.4,16.37,1813600
35,20160229,18.3,17.7,18.2,17.7,15.75,2484180
36,20160301,18.1,17.7,17.7,17.7,15.75,2117845
37,20160302,18.3,17.9,18.0,18.3,16.28,1811300
38,20160303,18.4,18.0,18.2,18.2,16.19,1644450
39,20160304,18.3,18.1,18.2,18.1,16.1,1180200
40,20160307,18.2,17.9,18.2,17.9,15.92,1713710
41,20160308,18.0,17.7,17.9,17.8,15.84,1485440
42,20160309,17.9,17.3,17.8,17.4,15.48,1236990
43,20160310,17.7,17.4,17.6,17.7,15.75,951910
44,20160311,18.0,17.7,17.9,17.7,15.75,1299460
45,20160314,17.9,17.6,17.8,17.7,15.75,968310
46,20160315,17.7,17.4,17.7,17.5,15.57,1208710
47,20160316,17.8,17.4,17.5,17.7,15.75,1398670
48,20160317,17.9,17.7,17.7,17.7,15.75,970590
49,20160318,17.7,17.3,17.7,17.6,15.66,954300
50,20160321,17.9,17.6,17.7,17.6,15.66,1464080
51,20160322,17.6,17.3,17.6,17.3,15.39,1313850
52,20160323,17.6,17.3,17.3,17.6,15.66,994300
53,20160324,17.5,17.2,17.5,17.2,15.3,943010
54,20160325,17.3,16.9,17.2,17.3,15.39,1473220
55,20160328,17.4,17.1,17.4,17.2,15.3,580320
56,20160329,17.2,16.9,17.0,16.9,15.03,797840
57,20160330,17.0,16.7,16.9,16.9,15.03,824140
58,20160331,17.2,16.7,17.1,16.7,14.86,1219430
59,20160401,17.0,16.6,16.8,16.6,14.77,1187420
60,20160404,17.0,16.5,16.6,16.5,14.68,911490
61,20160405,16.7,16.5,16.5,16.6,14.77,437370
62,20160406,16.9,16.6,16.6,16.9,15.03,1197530
63,20160407,17.0,16.8,17.0,16.9,15.03,452990
64,20160408,16.9,16.8,16.9,16.8,14.95,259830
65,20160411,16.9,16.5,16.8,16.7,14.86,1312000
66,20160412,16.6,16.1,16.5,16.2,14.41,1533930
67,20160413,16.1,15.5,15.8,15.8,14.06,2085010
68,20160414,16.3,15.7,15.8,15.9,14.14,1642570
69,20160415,16.2,15.9,16.2,16.0,14.23,701360
70,20160419,15.9,15.6,15.9,15.6,13.88,1099770
71,20160420,15.9,15.6,15.7,15.7,13.97,1067790
72,20160421,15.9,15.6,15.8,15.9,14.14,854710
