,date,high,low,open,close,adjust,volume
0,2016-01-04,18.6,18.1,18.3,18.3,16.69,1709750
1,2016-01-05,18.3,18.0,18.1,18.1,16.51,379920
2,2016-01-06,18.4,18.1,18.1,18.3,16.69,544940
3,2016-01-07,18.4,17.8,18.1,18.1,16.51,1592360
4,2016-01-08,18.0,17.7,18.0,17.7,16.14,992590
5,2016-01-11,17.9,17.6,17.7,17.7,16.14,667790
6,2016-01-12,17.9,17.6,17.7,17.8,16.23,710621
7,2016-01-13,18.0,17.7,17.9,17.7,16.14,458080
8,2016-01-14,17.7,17.3,17.7,17.7,16.14,853540
9,2016-01-15,17.8,17.4,17.7,17.6,16.05,648830
10,2016-01-18,17.2,16.4,17.2,16.8,15.32,1397320
11,2016-01-19,17.4,16.7,16.7,17.4,15.87,1027250
12,2016-01-20,17.3,16.9,17.3,16.9,15.41,608350
13,2016-01-21,17.0,16.3,16.8,16.4,14.96,1144260
14,2016-01-22,16.5,15.8,16.4,16.1,14.68,1244970
15,2016-01-25,17.2,16.5,16.5,17.2,15.69,879160
16,2016-01-26,17.4,16.8,17.0,17.4,15.87,974540
17,2016-01-27,17.8,17.4,17.4,17.5,15.96,390160
18,2016-01-28,17.6,17.2,17.5,17.2,15.69,168290
19,2016-01-29,17.3,17.0,17.2,17.2,15.69,220720
20,2016-02-01,17.6,17.1,17.6,17.1,15.59,325280
21,2016-02-02,17.4,17.0,17.1,17.1,15.59,163090
22,2016-02-03,17.1,16.7,16.9,17.0,15.5,182840
23,2016-02-04,17.2,17.0,17.2,17.2,15.69,242050
24,2016-02-05,17.3,17.2,17.2,17.2,15.69,223150
25,2016-02-15,17.3,16.9,16.9,17.2,15.69,153830
26,2016-02-16,17.3,17.1,17.2,17.1,15.59,228880
27,2016-02-17,17.2,17.0,17.1,17.1,15.59,264310
28,2016-02-18,17.4,17.0,17.1,17.4,15.87,462570
29,2016-02-19,17.4,17.2,17.3,17.2,15.69,764980
30,2016-02-22,17.4,17.0,17.3,17.2,15.69,798720
31,2016-02-23,17.4,17.1,17.3,17.1,15.59,547820
32,2016-02-24,18.2,17.0,17.0,18.2,16.6,3102090
33,2016-02-25,18.5,18.0,18.4,18.4,16.78,1745900
34,2016-02-26,18.4,18.2,18.3,18.3,16.69,391080
35,2016-02-29,18.2,17.8,18.2,17.8,16.23,927670
36,2016-03-01,18.0,17.6,17.8,17.6,16.05,795250
37,2016-03-02,18.0,17.7,17.7,17.9,16.32,600340
38,2016-03-03,18.1,17.8,18.0,18.0,16.41,908900
39,2016-03-04,18.1,17.8,18.0,17.8,16.23,988840
40,2016-03-07,18.0,17.7,17.8,17.8,16.23,738230
41,2016-03-08,17.9,17.5,17.7,17.7,16.14,1285670
42,2016-03-09,17.8,17.4,17.7,17.4,15.87,848880
43,2016-03-10,17.6,17.4,17.5,17.5,15.96,337750
44,2016-03-11,17.7,17.4,17.6,17.4,15.87,599880
45,2016-03-14,17.6,17.3,17.6,17.4,15.87,556200
46,2016-03-15,17.4,17.1,17.4,17.3,15.78,749470
47,2016-03-16,17.5,17.2,17.3,17.3,15.78,661310
48,2016-03-17,17.6,17.3,17.4,17.4,15.87,948590
49,2016-03-18,17.5,17.3,17.4,17.3,15.78,210600
50,2016-03-21,17.7,17.3,17.4,17.3,15.78,633320
51,2016-03-22,17.4,17.1,17.2,17.1,15.59,478150
52,2016-03-23,17.3,17.1,17.1,17.2,15.69,501040
53,2016-03-24,17.3,16.9,17.3,16.9,15.41,733750
54,2016-03-25,17.0,16.6,16.9,16.9,15.41,1753890
55,2016-03-28,17.1,16.8,17.1,16.9,15.41,260810
56,2016-03-29,16.9,16.6,16.9,16.6,15.14,681710
57,2016-03-30,16.7,16.5,16.7,16.7,15.23,693910
58,2016-03-31,16.7,16.3,16.7,16.4,14.96,1673010
59,2016-04-01,16.5,16.2,16.4,16.3,14.86,499970
60,2016-04-04,16.5,16.2,16.3,16.5,15.05,555740
61,2016-04-05,16.6,16.3,16.4,16.4,14.96,316480
62,2016-04-06,16.7,16.3,16.4,16.7,15.23,1125710
63,2016-04-07,16.8,16.5,16.8,16.7,15.23,1054690
64,2016-04-08,16.8,16.6,16.8,16.7,15.23,785640
65,2016-04-11,16.8,16.4,16.8,16.5,15.05,1829920
66,2016-04-12,16.6,16.1,16.5,16.2,14.77,1469180
67,2016-04-13,16.3,16.0,16.2,16.2,14.77,889370
68,2016-04-14,16.4,16.1,16.2,16.1,14.68,479910
69,2016-04-15,16.3,16.1,16.1,16.2,14.77,1575310
70,2016-04-19,16.3,15.9,16.3,16.0,14.59,593650
71,2016-04-20,16.1,15.8,16.0,16.0,14.59,809560
72,2016-04-21,16.1,15.9,16.1,16.0,14.59,436360
73,2016-04-22,17.1,15.9,16.0,16.8,15.32,2636290
74,2016-04-25,17.4,17.0,17.0,17.1,15.59,3069940
75,2016-04-26,17.2,16.8,17.1,16.9,15.41,644470
76,2016-04-27,17.0,16.5,17.0,16.5,15.05,1759290
77,2016-04-28,16.5,16.1,16.4,16.2,14.77,1137280
78,2016-04-29,16.9,16.1,16.1,16.6,15.14,1345320
79,2016-05-04,16.7,16.3,16.6,16.4,14.96,865300
80,2016-05-05,16.9,16.4,16.6,16.7,15.23,1517550
81,2016-05-06,17.4,16.7,16.7,17.3,15.78,3576280
82,2016-05-09,17.8,17.2,17.5,17.3,15.78,2398820
83,2016-05-10,17.6,17.0,17.1,17.4,15.87,1709950
84,2016-05-11,18.0,17.3,17.5,18.0,16.41,3463790
85,2016-05-12,18.2,17.6,18.2,17.7,16.14,1282940
86,2016-05-13,18.1,17.5,17.7,17.7,16.14,1600710
87,2016-05-16,17.7,17.4,17.7,17.5,15.96,894230
88,2016-05-17,18.0,17.6,17.7,18.0,16.41,1847570
89,2016-05-18,18.2,17.8,17.9,17.9,16.32,1645270
90,2016-05-19,18.0,17.7,17.9,17.7,16.14,555110
91,2016-05-20,17.8,17.4,17.7,17.5,15.96,774760
92,2016-05-23,17.6,17.1,17.6,17.1,15.59,938770
93,2016-05-24,17.3,17.0,17.1,17.3,15.78,1147300
94,2016-05-25,17.5,17.3,17.3,17.3,15.78,1056090
95,2016-05-26,17.3,16.9,17.2,17.1,15.59,1542950
96,2016-05-27,17.5,17.0,17.1,17.4,15.87,928400
97,2016-05-30,17.7,17.3,17.4,17.6,16.05,614250
98,2016-05-31,17.9,17.6,17.6,17.8,16.23,1127520
99,2016-06-01,18.0,17.7,17.8,17.8,16.23,1117640
100,2016-06-02,17.9,17.7,17.8,17.9,16.32,386210
101,2016-06-03,17.9,17.7,17.9,17.8,16.23,580270
102,2016-06-06,17.8,17.4,17.7,17.6,16.05,802850
103,2016-06-07,17.6,17.4,17.6,17.4,15.87,717390
104,2016-06-08,17.7,17.5,17.5,17.6,16.05,493650
105,2016-06-09,17.9,17.5,17.6,17.8,16.23,890310
106,2016-06-10,17.9,17.6,17.6,17.8,16.23,1063080
107,2016-06-13,17.8,17.5,17.8,17.6,16.05,584150
108,2016-06-14,17.5,17.2,17.5,17.4,15.87,976830
109,2016-06-15,17.5,17.2,17.4,17.4,15.87,497500
110,2016-06-16,17.5,17.2,17.3,17.2,15.69,538580
111,2016-06-17,17.3,16.9,17.3,16.9,15.41,632060
112,2016-06-20,17.1,16.9,17.0,17.0,15.5,429240
113,2016-06-21,17.2,16.9,17.1,17.0,15.5,281970
114,2016-06-22,17.2,16.8,17.2,16.9,15.41,513610
115,2016-06-23,17.2,16.9,17.0,17.2,15.69,479790
116,2016-06-24,17.2,16.0,17.1,16.7,15.23,1093710
117,2016-06-27,16.7,16.4,16.4,16.7,15.23,334300
118,2016-06-28,16.7,16.5,16.6,16.5,15.05,182440
119,2016-06-29,17.1,16.7,16.7,16.9,15.41,513620
120,2016-06-30,17.1,16.8,17.0,16.8,15.32,398700
121,2016-07-01,17.1,16.8,16.8,17.0,15.5,269590
122,2016-07-04,17.2,16.9,17.1,17.1,15.59,660750
123,2016-07-05,17.6,17.1,17.1,17.4,15.87,1197750
124,2016-07-06,17.4,17.1,17.4,17.2,15.69,649650
125,2016-07-07,17.3,17.0,17.2,17.3,15.78,337740
