,date,high,low,open,close,adjust,volume
0,20160104,11.3,11.1,11.2,11.2,11.2,96690
1,20160105,11.3,11.1,11.1,11.2,11.2,210670
2,20160106,11.3,11.0,11.0,11.2,11.2,266410
3,20160107,11.2,11.0,11.1,11.1,11.1,211040
4,20160108,11.0,10.9,11.0,10.9,10.9,299920
5,20160111,11.3,10.8,10.9,10.9,10.9,169790
6,20160112,11.3,10.9,11.2,11.3,11.3,213870
7,20160113,12.0,11.1,11.3,12.0,12.0,529620
8,20160114,11.6,11.3,11.3,11.3,11.3,11722790
9,20160115,11.5,11.2,11.3,11.2,11.2,486390
10,20160118,11.1,10.7,11.0,10.9,10.9,126730
11,20160119,10.9,10.7,10.9,10.9,10.9,90680
12,20160120,10.9,10.7,10.9,10.8,10.8,72100
13,20160121,10.8,10.5,10.7,10.7,10.7,315020
14,20160122,10.6,10.1,10.6,10.3,10.3,546840
15,20160125,10.3,10.0,10.3,10.1,10.1,1255470
16,20160126,10.7,10.1,10.2,10.5,10.5,340650
17,20160127,10.6,10.3,10.6,10.3,10.3,378090
18,20160128,10.4,10.1,10.3,10.1,10.1,650662
19,20160129,10.5,10.1,10.2,10.5,10.5,859360
20,20160201,10.5,10.3,10.5,10.3,10.3,215690
21,20160202,10.5,10.2,10.3,10.5,10.5,260470
22,20160203,10.6,10.2,10.3,10.6,10.6,363590
23,20160204,10.7,10.6,10.6,10.7,10.7,367460
24,20160205,10.8,10.7,10.7,10.8,10.8,56420
25,20160215,10.8,10.3,10.8,10.3,10.3,86790
26,20160216,10.4,10.2,10.3,10.2,10.2,299270
27,20160217,10.3,10.1,10.3,10.1,10.1,327200
28,20160218,10.6,10.0,10.1,10.5,10.5,417110
29,20160219,10.5,10.2,10.3,10.5,10.5,652960
30,20160222,10.5,10.3,10.4,10.3,10.3,1106820
31,20160223,10.4,10.3,10.3,10.3,10.3,642860
32,20160224,10.6,10.2,10.2,10.4,10.4,1202880
33,20160225,10.6,10.3,10.5,10.3,10.3,283380
34,20160226,10.6,10.5,10.6,10.5,10.5,153680
35,20160229,10.5,10.4,10.5,10.4,10.4,886030
36,20160301,10.6,10.4,10.4,10.6,10.6,304740
37,20160302,10.6,10.5,10.6,10.5,10.5,162340
38,20160303,10.6,10.5,10.6,10.6,10.6,88940
39,20160304,10.6,10.4,10.5,10.4,10.4,362270
40,20160307,10.6,10.4,10.4,10.4,10.4,70430
41,20160308,10.6,10.4,10.4,10.6,10.6,340920
42,20160309,10.6,10.4,10.6,10.6,10.6,92450
43,20160310,10.6,10.4,10.4,10.6,10.6,61280
44,20160311,10.6,10.3,10.6,10.3,10.3,340500
45,20160314,10.5,10.3,10.3,10.4,10.4,246580
46,20160315,10.5,10.3,10.3,10.4,10.4,973994
47,20160316,10.4,10.3,10.4,10.3,10.3,33800
48,20160317,10.6,10.3,10.5,10.5,10.5,6191600
49,20160318,10.5,10.4,10.4,10.4,10.4,8069300
50,20160321,10.5,10.3,10.4,10.3,10.3,266390
51,20160322,10.3,10.2,10.3,10.3,10.3,128690
