,date,high,low,open,close,adjust,volume
0,2016-01-04,48.5,47.8,47.8,47.8,20.06,700210
1,2016-01-05,48.0,47.7,47.8,47.8,20.06,734050
2,2016-01-06,48.1,47.8,47.8,47.9,20.1,446810
3,2016-01-07,47.9,47.0,47.9,47.0,19.72,1981030
4,2016-01-08,46.9,46.0,46.8,46.3,19.43,1773760
5,2016-01-11,46.3,45.9,46.3,45.9,19.26,805440
6,2016-01-12,46.9,45.7,46.0,46.9,19.68,642160
7,2016-01-13,47.3,46.3,47.0,46.4,19.47,542910
8,2016-01-14,46.4,46.0,46.1,46.2,19.39,569720
9,2016-01-15,46.5,46.0,46.2,46.1,19.34,710250
10,2016-01-18,45.7,44.3,45.7,44.9,18.84,2285130
11,2016-01-19,45.3,44.7,44.9,45.1,18.92,873480
12,2016-01-20,45.5,44.9,45.1,44.9,18.84,681980
13,2016-01-21,45.1,44.6,44.8,44.9,18.84,647810
14,2016-01-22,45.1,44.3,45.0,44.8,18.8,742750
15,2016-01-25,47.1,45.0,45.5,47.1,19.76,3837041
16,2016-01-26,46.6,45.9,46.5,45.9,19.26,1561130
17,2016-01-27,46.5,46.2,46.5,46.3,19.43,536620
18,2016-01-28,46.4,45.8,46.3,46.0,19.3,557030
19,2016-01-29,46.5,45.9,46.3,46.4,19.47,496970
20,2016-02-01,46.9,46.0,46.5,46.6,19.55,604110
21,2016-02-02,46.7,46.2,46.3,46.2,19.39,204210
22,2016-02-03,46.9,46.2,46.4,46.6,19.55,661500
23,2016-02-04,46.9,46.5,46.9,46.5,19.51,282030
24,2016-02-05,47.0,46.5,46.7,46.9,19.68,383780
25,2016-02-15,46.8,46.3,46.7,46.7,19.6,342070
26,2016-02-16,47.5,46.7,47.0,47.3,19.85,346480
27,2016-02-17,48.2,47.5,47.5,47.5,19.93,739440
28,2016-02-18,48.3,47.6,47.7,48.1,20.18,837190
29,2016-02-19,48.0,47.6,48.0,47.7,20.02,530400
30,2016-02-22,48.2,47.7,47.7,48.2,20.23,538820
31,2016-02-23,48.5,47.8,48.5,47.8,20.06,747180
32,2016-02-24,48.0,47.6,47.7,47.8,20.06,655980
33,2016-02-25,48.3,47.6,48.0,47.6,19.97,733070
34,2016-02-26,47.8,47.4,47.8,47.7,20.02,498930
35,2016-02-29,47.9,47.6,47.9,47.8,20.06,516250
36,2016-03-01,48.9,47.6,47.8,48.2,20.23,1285810
37,2016-03-02,48.8,48.3,48.4,48.7,20.44,811910
38,2016-03-03,49.3,48.8,48.8,48.8,20.48,831440
39,2016-03-04,49.3,48.6,48.6,49.0,20.56,1103930
40,2016-03-07,49.4,48.6,48.6,48.6,20.39,731820
41,2016-03-08,48.7,48.0,48.6,48.0,20.14,1138510
42,2016-03-09,48.2,47.8,47.8,48.0,20.14,426000
43,2016-03-10,48.3,47.9,48.0,48.2,20.23,314327
44,2016-03-11,48.9,48.4,48.4,48.5,20.35,752610
45,2016-03-14,49.4,48.7,49.0,48.7,20.44,1331740
46,2016-03-15,49.1,48.5,48.9,48.5,20.35,545350
47,2016-03-16,48.7,48.4,48.5,48.5,20.35,492970
48,2016-03-17,48.9,48.5,48.5,48.5,20.35,848700
49,2016-03-18,49.9,49.0,49.0,49.3,20.69,2637440
