,date,high,low,open,close,adjust,volume
0,20160104,37.0,36.2,36.2,36.2,27.46,222580
1,20160105,36.5,36.0,36.2,36.1,27.39,233890
2,20160106,36.4,36.1,36.1,36.3,27.54,105380
3,20160107,36.0,34.5,36.0,34.5,26.17,759190
4,20160108,35.1,34.4,34.6,35.0,26.55,332300
5,20160111,35.3,34.8,35.0,35.0,26.55,384170
6,20160112,34.8,34.1,34.1,34.7,26.32,488400
7,20160113,35.7,34.7,34.7,35.0,26.55,523070
8,20160114,35.0,34.3,35.0,34.4,26.1,505400
9,20160115,34.9,34.3,34.6,34.3,26.02,214240
10,20160118,33.9,31.9,32.9,31.9,24.2,1238200
11,20160119,32.5,31.8,32.0,31.9,24.2,514120
12,20160120,31.9,30.7,31.9,30.7,23.29,873730
13,20160121,30.7,29.8,30.1,30.0,22.76,1009530
14,20160122,32.1,30.2,30.4,32.0,24.28,1189260
15,20160125,34.2,33.8,33.8,34.2,25.95,753540
16,20160126,36.5,33.0,33.1,35.5,26.93,1059720
17,20160127,37.2,36.2,36.5,36.5,27.69,967500
18,20160128,37.6,36.3,37.0,36.7,27.84,1009030
19,20160129,39.2,37.1,37.5,39.2,29.74,1288510
20,20160201,39.5,37.5,39.4,37.5,28.45,1125880
21,20160202,36.8,35.5,36.5,36.0,27.31,766710
22,20160203,38.2,34.6,34.9,38.2,28.98,869550
23,20160204,39.1,37.7,39.1,38.0,28.83,357750
24,20160205,38.0,37.5,38.0,38.0,28.83,288100
25,20160215,38.5,37.5,37.6,38.2,28.98,799110
26,20160216,40.0,38.3,38.7,40.0,30.35,1364980
27,20160217,39.9,39.0,39.8,39.4,29.89,765590
28,20160218,42.0,40.4,40.5,41.7,31.64,1427340
29,20160219,43.0,40.8,40.8,42.5,32.24,1219680
30,20160222,43.3,42.3,42.3,42.9,32.55,691380
31,20160223,45.0,43.2,43.2,43.3,32.85,1480380
32,20160224,43.4,42.0,43.1,42.8,32.47,1509510
33,20160225,43.8,41.8,43.8,41.8,31.71,686070
34,20160226,42.9,42.0,42.5,42.5,32.24,787790
35,20160229,43.3,42.6,42.8,42.7,32.39,612850
36,20160301,44.2,42.7,43.0,43.6,33.08,909320
37,20160302,44.5,43.8,44.0,44.1,33.46,779100
38,20160303,45.4,44.7,45.2,45.2,34.29,775150
39,20160304,46.4,44.8,45.0,46.3,35.12,1085350
40,20160307,49.5,47.7,49.4,49.4,37.48,1965600
41,20160308,51.5,48.0,50.0,48.2,36.57,1734860
42,20160309,48.3,47.1,47.1,47.4,35.96,978270
43,20160310,49.0,47.8,48.6,48.3,36.64,896680
44,20160311,48.4,47.7,48.3,48.1,36.49,926390
45,20160314,48.7,48.1,48.5,48.2,36.57,683390
46,20160315,47.7,46.3,47.5,46.5,35.28,1433850
47,20160316,47.2,46.4,46.6,46.9,35.58,609350
48,20160317,47.7,46.9,46.9,46.9,37.16,1231580
49,20160318,47.6,46.2,47.6,46.2,36.61,739470
50,20160321,46.2,45.0,46.0,45.0,35.66,670640
51,20160322,46.5,44.6,45.7,45.5,36.05,1011840
52,20160323,46.5,45.4,45.5,46.4,36.77,612230
53,20160324,46.0,45.1,45.8,45.1,35.74,855580
54,20160325,45.4,44.7,44.9,45.2,35.82,750070
55,20160328,45.5,45.0,45.3,45.2,35.82,273940
56,20160329,44.9,43.5,44.9,43.5,34.47,824770
57,20160330,43.8,42.8,43.3,43.0,34.07,607540
58,20160331,42.8,41.0,42.8,41.0,32.49,1016500
59,20160401,41.7,40.9,41.0,41.5,32.88,470820
60,20160404,41.5,40.2,40.2,40.4,32.01,697070
61,20160405,41.0,39.6,40.0,41.0,32.49,905570
62,20160406,43.0,41.8,42.1,43.0,34.07,844500
63,20160407,44.5,43.6,44.1,44.1,34.94,1021450
64,20160408,45.5,43.7,45.5,44.1,34.94,693050
