,date,high,low,open,close,adjust,volume
0,20180105,39.6,36.5,39.0,39.6,23.15,32205910
1,20180108,40.0,39.6,40.0,39.7,23.21,18641423
2,20180109,39.8,38.9,39.7,39.75,23.24,9988940
3,20180110,40.3,39.1,39.2,40.3,23.56,11836070
4,20180111,42.5,40.3,40.4,42.5,24.85,10984503
5,20180112,45.45,42.6,42.6,45.45,26.57,19714750
6,20180115,45.7,44.0,45.5,45.5,26.6,9359820
7,20180116,45.2,44.45,44.6,44.95,26.28,8728100
8,20180117,44.95,42.7,44.9,42.7,24.96,9089250
9,20180118,44.0,41.7,42.6,44.0,25.73,6371340
10,20180119,46.1,44.5,44.5,45.2,26.43,7158810
11,20180122,45.4,44.3,44.8,45.3,26.49,4402360
12,20180125,48.3,45.0,45.5,47.8,27.95,17668170
13,20180126,48.1,46.3,47.8,47.0,27.48,5677700
14,20180129,47.5,46.3,47.1,47.05,27.51,6592140
15,20180130,47.05,45.7,47.05,47.0,27.48,6141930
16,20180131,46.9,46.0,46.9,46.6,27.25,8881950
17,20180201,46.7,45.8,46.6,46.0,26.89,3928660
18,20180202,46.0,45.3,46.0,46.0,26.89,4567580
19,20180205,45.6,42.8,45.2,43.0,25.14,5583170
20,20180206,41.3,40.0,41.0,41.0,23.97,4306020
21,20180207,43.85,42.3,42.4,43.85,25.64,7038270
22,20180208,45.85,43.5,43.85,44.9,26.25,10358414
23,20180209,44.7,42.1,43.8,44.6,26.08,3954800
24,20180212,47.0,44.65,44.7,46.5,27.19,4744040
25,20180213,46.95,45.5,46.95,46.6,27.25,5264840
26,20180221,47.1,45.5,46.9,46.7,27.3,3467200
27,20180222,46.2,45.0,46.2,45.0,26.31,4643860
28,20180223,46.5,44.35,45.0,44.55,26.05,3075420
29,20180226,46.0,43.65,44.55,44.0,25.73,2378080
30,20180227,44.6,42.8,44.5,44.5,26.02,1579540
31,20180228,44.5,43.0,44.0,44.4,25.96,3241390
32,20180301,44.0,43.2,43.3,43.95,25.7,2739770
33,20180302,43.55,43.2,43.5,43.55,25.46,1808640
34,20180305,43.7,42.9,43.6,43.0,25.14,2578830
35,20180306,43.55,42.8,43.0,43.2,25.26,2679350
36,20180307,43.9,42.2,43.2,42.5,24.85,3050106
37,20180308,43.5,41.8,43.0,42.5,24.85,2182740
38,20180309,43.4,41.9,42.1,42.5,24.85,2418640
39,20180312,42.9,42.2,42.5,42.5,24.85,1427550
40,20180313,42.5,42.05,42.5,42.3,24.73,1687940
41,20180314,44.25,42.4,42.5,44.0,25.73,8874370
42,20180315,44.6,44.0,44.0,44.5,26.02,4347760
43,20180316,44.8,44.5,44.8,44.8,26.19,2863300
44,20180319,45.35,44.3,44.8,45.2,26.43,12907510
45,20180320,44.9,44.0,44.85,44.0,25.73,2666350
46,20180321,44.2,43.15,44.0,43.5,25.43,2119630
47,20180322,44.0,42.5,43.5,42.5,24.85,3181270
48,20180323,42.2,40.9,42.0,42.0,24.56,2122680
49,20180326,43.7,41.1,41.1,43.7,25.55,3848240
50,20180327,44.95,43.7,43.7,44.8,26.19,4513810
51,20180328,45.45,44.45,44.6,45.45,26.57,3904720
52,20180329,46.3,45.45,45.5,46.0,26.89,3603320
53,20180330,46.0,45.0,46.0,45.9,26.84,5258520
54,20180402,46.1,45.5,46.0,45.6,26.66,2317540
55,20180403,45.8,45.15,45.4,45.6,26.66,2115830
56,20180404,46.6,45.6,45.9,46.5,27.19,6063090
57,20180405,46.8,46.2,46.5,46.45,27.16,3364190
58,20180406,46.5,46.1,46.45,46.45,27.16,4075100
59,20180409,48.7,46.3,46.5,48.7,28.47,12562280
60,20180410,50.6,49.0,49.0,50.6,29.58,12015650
61,20180411,50.8,49.2,50.6,50.1,29.29,6500290
62,20180412,49.9,49.0,49.5,49.1,28.71,4425590
63,20180413,50.1,49.1,49.55,50.0,29.23,4239200
64,20180416,51.3,49.2,50.0,51.0,29.82,9666140
65,20180417,51.7,50.6,51.5,50.8,29.7,2262660
66,20180418,52.4,50.6,50.9,51.8,30.29,6958090
67,20180419,51.9,49.0,51.9,49.2,28.77,7752260
68,20180420,50.1,48.7,49.0,50.1,29.29,3055740
69,20180423,49.7,46.6,49.5,46.6,27.25,5902200
70,20180424,46.4,43.35,46.0,45.0,26.31,3223200
71,20180426,45.5,41.9,45.0,42.2,24.67,3573110
72,20180427,43.05,41.8,42.0,42.8,25.02,1706640
73,20180502,42.9,41.0,42.0,42.0,24.56,1500430
74,20180503,43.5,41.05,41.5,43.5,25.43,2500150
75,20180504,44.0,42.8,44.0,43.0,25.14,6276315
76,20180507,44.0,42.5,43.5,43.5,25.43,7241225
77,20180508,43.5,42.9,43.5,43.2,25.26,1157790
78,20180509,43.1,42.0,43.0,42.9,25.08,825060
79,20180510,42.9,40.0,42.9,40.0,23.39,961790
80,20180511,41.4,39.1,40.0,41.4,24.2,819170
81,20180514,42.0,40.3,41.5,40.5,23.68,550760
82,20180515,41.3,40.35,40.9,40.9,23.91,1647990
83,20180516,40.9,39.8,40.9,40.15,23.47,1042600
84,20180517,40.8,40.2,40.5,40.5,23.68,2101400
85,20180518,41.45,40.2,40.9,40.55,23.71,1552940
86,20180521,41.3,40.5,41.0,41.1,24.03,1746750
87,20180522,40.6,38.25,40.2,39.0,22.8,1406120
88,20180523,39.3,36.8,39.0,37.7,22.04,959240
89,20180524,38.3,35.1,38.0,35.5,20.76,2368050
90,20180525,35.7,34.3,35.5,35.25,20.61,3342400
91,20180528,35.0,32.8,35.0,32.8,19.18,3196050
92,20180529,35.05,33.45,34.0,35.05,20.49,4026540
93,20180530,37.4,34.9,36.0,36.7,21.46,4662960
94,20180531,39.1,36.2,36.2,39.0,22.8,1875240
95,20180601,41.65,38.8,39.5,41.2,24.09,3242760
96,20180604,43.0,40.6,41.1,43.0,25.14,2525110
97,20180605,44.0,42.7,43.0,43.2,25.26,2314580
98,20180606,43.5,42.8,43.2,43.2,25.26,1508780
99,20180607,44.8,42.9,43.1,44.6,26.08,1912020
100,20180608,44.65,43.2,44.5,43.4,25.37,1298150
101,20180611,42.8,41.9,42.5,41.9,24.5,2000560
102,20180612,41.5,39.0,41.5,40.9,23.91,2322470
103,20180613,42.0,40.9,40.9,41.0,23.97,377960
104,20180614,41.5,39.2,41.5,39.2,22.92,348610
105,20180615,39.6,38.2,39.2,39.1,22.86,1092080
106,20180618,39.5,36.4,38.5,36.8,21.52,1403380
107,20180619,37.4,34.6,34.6,36.8,21.52,3075220
108,20180620,36.9,33.1,33.1,36.3,22.0,1446640
109,20180621,36.8,36.0,36.5,36.5,22.12,406740
110,20180622,37.4,36.0,36.5,37.4,22.67,1144370
111,20180625,37.75,37.2,37.7,37.3,22.61,299190
112,20180626,36.85,36.0,36.0,36.8,22.3,427490
113,20180627,37.4,36.2,36.8,36.2,21.94,336910
114,20180628,36.1,34.5,35.9,34.6,20.97,757470
115,20180629,36.15,34.8,35.3,36.15,21.91,1314320
116,20180702,36.4,34.9,36.15,36.2,21.94,862020
117,20180703,36.5,34.4,36.3,34.7,21.03,2520580
118,20180704,34.9,33.6,34.0,34.3,20.79,1296750
119,20180705,34.9,32.5,34.7,32.8,19.88,2258510
120,20180706,35.0,31.6,32.8,35.0,21.21,3335130
121,20180709,35.6,34.9,35.1,35.2,21.33,1455590
122,20180710,36.05,34.9,35.0,35.1,21.27,598240
123,20180711,34.6,32.65,34.5,32.8,19.88,1553920
124,20180712,33.5,32.5,33.0,33.0,20.0,1495050
125,20180713,33.6,32.95,33.0,33.45,20.27,1692220
126,20180716,33.75,33.25,33.6,33.55,20.33,1286340
127,20180717,33.55,32.8,33.55,33.55,20.33,1614890
128,20180718,35.55,33.65,33.65,35.25,21.36,2167560
129,20180719,36.1,35.1,35.3,35.1,21.27,1856420
130,20180720,35.4,34.0,35.4,35.4,21.45,1708540
131,20180723,35.55,34.8,35.2,35.2,21.33,1436380
132,20180724,35.15,34.0,35.0,34.0,20.61,1170400
133,20180725,34.55,33.3,34.0,33.5,20.3,951530
134,20180726,33.55,32.5,33.5,32.8,19.88,1232550
135,20180727,33.6,33.0,33.6,33.4,20.24,804460
136,20180730,35.2,34.1,34.3,35.2,21.33,846700
137,20180731,35.85,34.4,35.2,35.6,21.58,1501400
