,date,high,low,open,close,adjust,volume
0,2016-01-04,29.3,28.8,28.8,28.8,6.81,404530
1,2016-01-05,28.9,28.5,28.7,28.5,6.74,628760
2,2016-01-06,29.0,28.5,28.5,29.0,6.86,900420
3,2016-01-07,28.7,28.1,28.6,28.2,6.67,1090130
4,2016-01-08,28.1,27.5,27.7,27.7,6.55,927980
5,2016-01-11,27.9,27.6,27.9,27.7,6.55,530320
6,2016-01-12,28.1,27.6,27.6,28.0,6.62,343540
7,2016-01-13,28.1,27.5,28.1,27.5,6.5,685150
8,2016-01-14,27.4,26.4,27.4,26.5,6.27,1479820
9,2016-01-15,26.6,25.3,26.5,25.5,6.03,2199370
10,2016-01-18,24.9,23.9,24.1,24.8,5.86,2898070
11,2016-01-19,25.5,24.8,24.9,25.2,5.96,2466700
12,2016-01-20,25.5,24.7,25.1,25.2,5.96,2334230
13,2016-01-21,25.5,24.8,24.8,25.5,6.03,2843490
14,2016-01-22,25.9,25.3,25.6,25.6,6.05,3055250
15,2016-01-25,27.3,26.0,26.0,27.2,6.43,1238860
16,2016-01-26,27.1,26.3,26.5,26.4,6.24,1434830
17,2016-01-27,27.0,26.6,26.7,26.8,6.34,1418350
18,2016-01-28,27.2,26.5,26.9,26.5,6.27,778140
19,2016-01-29,27.5,26.5,26.7,27.5,6.5,860030
20,2016-02-01,28.0,26.7,27.5,26.7,6.31,855840
21,2016-02-02,26.9,26.4,26.5,26.8,6.34,289590
22,2016-02-03,26.9,26.3,26.4,26.8,6.34,1432420
23,2016-02-04,27.1,26.9,26.9,27.0,6.39,177320
24,2016-02-05,27.2,26.8,27.0,27.0,6.39,155980
25,2016-02-15,27.0,26.0,27.0,26.4,6.24,1033620
26,2016-02-16,26.8,26.4,26.4,26.7,6.31,489920
27,2016-02-17,26.8,26.5,26.5,26.7,6.31,605330
28,2016-02-18,27.1,26.8,26.8,26.8,6.34,502930
29,2016-02-19,27.1,26.8,26.8,27.0,6.39,746980
30,2016-02-22,27.7,26.9,26.9,27.2,6.43,1091060
31,2016-02-23,27.9,27.2,27.9,27.2,6.43,807300
32,2016-02-24,27.3,26.8,27.2,27.2,6.43,702660
33,2016-02-25,27.9,27.2,27.3,27.3,6.46,941770
34,2016-02-26,28.4,27.3,27.4,28.4,6.72,1862030
35,2016-02-29,28.8,27.9,28.8,27.9,6.6,941320
36,2016-03-01,27.9,27.3,27.9,27.4,6.48,964040
37,2016-03-02,27.6,26.8,27.5,27.2,6.43,1616220
38,2016-03-03,27.5,27.0,27.0,27.0,6.39,737360
39,2016-03-04,27.7,26.9,27.1,27.5,6.5,758830
40,2016-03-07,28.1,27.5,27.8,27.8,6.57,2201530
41,2016-03-08,29.3,28.2,28.2,28.9,6.83,6767430
42,2016-03-09,29.5,28.5,29.0,28.5,6.74,2872170
43,2016-03-10,28.7,28.4,28.6,28.6,6.76,1245540
44,2016-03-11,29.1,28.5,28.7,28.8,6.81,2144310
45,2016-03-14,30.2,29.0,29.0,30.0,7.09,3870560
46,2016-03-15,30.5,29.7,30.2,30.0,7.09,2696450
47,2016-03-16,30.2,29.8,30.2,29.9,7.07,1634300
48,2016-03-17,30.4,29.9,30.0,30.0,7.09,2100490
49,2016-03-18,30.1,29.7,30.1,29.7,7.02,3793650
50,2016-03-21,30.3,29.8,29.9,29.8,7.05,1589420
51,2016-03-22,29.9,29.5,29.9,29.5,6.98,1602960
52,2016-03-23,29.7,29.1,29.3,29.3,6.93,1736220
53,2016-03-24,29.6,28.8,29.2,28.8,6.81,1824820
54,2016-03-25,29.2,28.7,28.8,29.0,6.86,1704310
55,2016-03-28,29.9,29.1,29.1,29.9,7.07,2837840
56,2016-03-29,30.4,29.8,30.0,29.8,7.05,2044410
57,2016-03-30,29.9,29.5,29.7,29.5,6.98,1618750
58,2016-03-31,30.2,29.4,29.5,29.5,6.98,2760570
59,2016-04-01,29.6,28.8,29.5,29.0,6.86,1523320
60,2016-04-04,29.5,28.9,29.0,29.2,6.91,986480
61,2016-04-05,29.4,29.1,29.2,29.3,6.93,778290
62,2016-04-06,30.2,29.3,29.3,30.2,7.14,1954970
63,2016-04-07,30.7,30.1,30.4,30.1,7.12,2701300
64,2016-04-08,31.1,30.0,30.1,30.8,7.28,7079970
65,2016-04-11,31.7,31.1,31.1,31.5,7.45,5377970
66,2016-04-12,31.8,31.4,31.5,31.7,7.5,2850420
67,2016-04-13,31.7,30.9,31.1,31.1,7.35,3106110
68,2016-04-14,31.8,31.1,31.1,31.4,7.43,2142460
