,date,high,low,open,close,adjust,volume
0,2016-01-04,21.7,21.4,21.5,21.5,9.0,94450
1,2016-01-05,21.5,21.3,21.4,21.5,9.0,35550
2,2016-01-06,21.5,21.3,21.5,21.5,9.0,33500
3,2016-01-07,21.5,21.2,21.5,21.3,8.91,47330
4,2016-01-08,21.3,21.0,21.3,21.2,8.87,71300
5,2016-01-11,21.2,21.1,21.2,21.1,8.83,100450
6,2016-01-12,20.9,19.8,20.9,20.9,8.75,258380
7,2016-01-13,21.0,20.8,20.9,21.0,8.79,98220
8,2016-01-14,21.0,20.6,21.0,20.8,8.71,155180
9,2016-01-15,20.9,20.5,20.8,20.5,8.58,153650
10,2016-01-18,20.4,20.0,20.4,20.2,8.45,108770
11,2016-01-19,20.4,20.3,20.3,20.3,8.5,49690
12,2016-01-20,20.3,20.1,20.3,20.2,8.45,45670
13,2016-01-21,20.2,20.0,20.1,20.1,8.41,103490
14,2016-01-22,20.2,19.9,20.1,20.1,8.41,164240
15,2016-01-25,20.3,20.1,20.1,20.2,8.45,108060
16,2016-01-26,20.3,20.0,20.0,20.1,8.41,956670
17,2016-01-27,21.3,20.2,20.2,21.1,8.83,279950
18,2016-01-28,21.4,21.0,21.1,21.0,8.79,301060
19,2016-01-29,21.1,20.8,21.0,21.0,8.79,122590
20,2016-02-01,21.0,20.7,20.9,20.7,8.66,157210
21,2016-02-02,20.8,20.6,20.7,20.6,8.62,136780
22,2016-02-03,20.7,20.6,20.6,20.7,8.66,99690
23,2016-02-04,20.9,20.7,20.7,20.8,8.71,73610
24,2016-02-05,21.0,20.8,20.9,21.0,8.79,64580
25,2016-02-15,21.0,20.8,20.9,21.0,8.79,41450
26,2016-02-16,21.0,20.9,21.0,21.0,8.79,47690
27,2016-02-17,21.1,20.9,20.9,21.0,8.79,101510
28,2016-02-18,21.6,21.0,21.0,21.4,8.96,305790
29,2016-02-19,21.5,21.4,21.4,21.5,9.0,201550
30,2016-02-22,21.5,21.4,21.5,21.5,9.0,82240
31,2016-02-23,21.5,21.3,21.3,21.4,8.96,181950
32,2016-02-24,21.4,21.2,21.4,21.2,8.87,145490
33,2016-02-25,21.3,21.1,21.2,21.1,8.83,126540
34,2016-02-26,21.4,21.1,21.1,21.3,8.91,128370
35,2016-02-29,21.3,21.1,21.3,21.1,8.83,64700
36,2016-03-01,21.2,21.0,21.1,21.0,8.79,87140
37,2016-03-02,21.2,20.9,21.1,21.0,8.79,225830
38,2016-03-03,21.1,20.9,21.0,21.0,8.79,150560
39,2016-03-04,21.2,21.0,21.0,21.0,8.79,62380
40,2016-03-07,21.1,21.0,21.0,21.0,8.79,97310
41,2016-03-08,21.2,21.0,21.1,21.1,8.83,212230
42,2016-03-09,21.9,21.2,21.2,21.6,9.04,434700
43,2016-03-10,22.8,21.7,21.7,22.6,9.46,7424620
44,2016-03-11,22.8,22.6,22.6,22.7,9.5,138260
45,2016-03-14,22.8,22.2,22.5,22.5,9.42,452420
46,2016-03-15,23.1,22.7,22.9,22.8,9.54,1280170
47,2016-03-16,24.0,22.8,22.8,24.0,10.04,481380
48,2016-03-17,24.2,24.0,24.1,24.1,10.09,544760
49,2016-03-18,24.0,23.6,23.8,23.8,9.96,93930
50,2016-03-21,23.8,23.3,23.8,23.3,9.75,149000
51,2016-03-22,23.5,22.6,23.2,23.1,9.67,360770
52,2016-03-23,23.4,22.9,22.9,23.4,9.79,414210
53,2016-03-24,23.4,23.0,23.4,23.2,9.71,96050
54,2016-03-25,23.2,22.9,23.2,23.0,9.63,165530
55,2016-03-28,23.2,23.0,23.0,23.1,9.67,595480
56,2016-03-29,23.2,22.9,23.2,23.0,9.63,239730
57,2016-03-30,23.0,22.7,23.0,22.9,9.58,172700
58,2016-03-31,22.9,22.8,22.9,22.9,9.58,114420
59,2016-04-01,22.9,22.7,22.9,22.9,9.58,113270
60,2016-04-04,23.3,22.9,22.9,23.1,9.67,226680
61,2016-04-05,23.3,23.1,23.2,23.1,9.67,78460
62,2016-04-06,23.1,23.0,23.1,23.0,9.63,74060
63,2016-04-07,23.3,23.0,23.0,23.3,9.75,82670
64,2016-04-08,23.2,22.9,23.2,23.2,9.71,88320
65,2016-04-11,24.2,23.2,23.2,23.8,9.96,648980
66,2016-04-12,24.0,23.7,23.9,23.8,9.96,158770
67,2016-04-13,24.2,23.7,24.1,24.1,10.09,614970
68,2016-04-14,24.0,23.7,23.8,23.7,9.92,190470
69,2016-04-15,23.8,23.5,23.6,23.5,9.84,158710
70,2016-04-19,23.4,22.6,23.2,23.0,9.63,227440
71,2016-04-20,23.1,22.6,22.8,22.9,9.58,162640
72,2016-04-21,23.1,22.7,22.7,23.0,9.63,97780
73,2016-04-22,23.1,22.9,23.0,23.0,9.63,161060
74,2016-04-25,23.1,22.9,23.0,23.0,9.63,84670
75,2016-04-26,23.1,22.8,22.8,23.0,9.63,69200
76,2016-04-27,23.0,22.7,23.0,22.8,9.54,96620
77,2016-04-28,22.9,22.7,22.9,22.8,9.54,66260
78,2016-04-29,22.9,22.8,22.8,22.9,9.58,66400
79,2016-05-04,23.0,22.9,22.9,23.0,9.63,466568
80,2016-05-05,23.0,22.7,22.9,22.9,9.58,83840
81,2016-05-06,22.9,22.7,22.9,22.9,9.58,66790
82,2016-05-09,22.9,22.5,22.8,22.7,9.5,149850
83,2016-05-10,22.7,22.4,22.6,22.7,9.5,111270
84,2016-05-11,23.0,22.5,22.7,23.0,9.63,77730
85,2016-05-12,23.1,22.7,22.9,23.0,9.63,148900
86,2016-05-13,23.0,22.8,22.9,23.0,9.63,87720
87,2016-05-16,23.0,22.8,23.0,23.0,9.63,64580
88,2016-05-17,23.1,22.9,23.0,23.0,9.63,75030
89,2016-05-18,23.0,22.9,22.9,22.9,9.58,37680
90,2016-05-19,23.0,22.8,23.0,22.9,9.58,47110
91,2016-05-20,22.9,22.7,22.9,22.9,9.58,46080
92,2016-05-23,23.0,22.6,22.9,22.6,9.46,57370
93,2016-05-24,22.8,22.6,22.6,22.7,9.5,75580
