,date,high,low,open,close,adjust,volume
0,20160104,14.4,14.0,14.1,14.1,8.54,532510
1,20160105,14.2,14.0,14.0,14.0,8.48,1249090
2,20160106,14.1,14.0,14.0,14.1,8.54,251050
3,20160107,14.1,13.9,14.1,13.9,8.42,601470
4,20160108,13.9,13.7,13.8,13.8,8.36,646260
5,20160111,13.9,13.7,13.8,13.7,8.3,420860
6,20160112,13.9,13.7,13.7,13.9,8.42,517350
7,20160113,14.0,13.8,13.9,13.8,8.36,379460
8,20160114,13.8,13.6,13.7,13.8,8.36,458130
9,20160115,13.8,13.6,13.7,13.7,8.3,184170
10,20160118,13.6,13.1,13.6,13.3,8.06,1449410
11,20160119,13.5,13.2,13.2,13.5,8.18,462500
12,20160120,13.6,13.4,13.5,13.4,8.12,698530
13,20160121,13.5,13.2,13.3,13.3,8.06,937480
14,20160122,13.6,13.2,13.3,13.6,8.24,1056680
15,20160125,14.2,13.7,13.7,14.2,8.6,2057470
16,20160126,14.2,13.9,14.2,14.1,8.54,3260550
17,20160127,14.3,14.1,14.2,14.2,8.6,1474934
18,20160128,14.6,14.3,14.3,14.5,8.78,2905770
19,20160129,14.5,14.3,14.5,14.4,8.72,7710630
20,20160201,14.5,14.3,14.5,14.4,8.72,1100900
21,20160202,14.4,14.2,14.3,14.4,8.72,1005280
22,20160203,14.4,14.3,14.3,14.3,8.66,3023310
23,20160204,14.6,14.3,14.4,14.5,8.78,687940
24,20160205,14.8,14.5,14.5,14.7,8.91,1556380
25,20160215,15.2,14.8,15.0,15.0,9.09,2988150
26,20160216,15.0,14.8,15.0,15.0,9.09,1509220
27,20160217,15.0,14.9,15.0,14.9,9.03,1666010
28,20160218,15.1,14.9,15.0,14.9,9.03,2649910
29,20160219,15.6,14.9,15.1,15.5,9.39,21320170
30,20160222,15.7,15.5,15.6,15.5,9.39,8789450
31,20160223,15.6,15.3,15.5,15.3,9.27,6181160
32,20160224,15.4,15.0,15.1,15.3,9.27,6150650
33,20160225,15.4,15.1,15.3,15.1,9.15,1948280
34,20160226,15.1,14.9,15.1,15.0,9.09,2332800
35,20160229,15.0,14.6,15.0,14.6,8.84,1841140
36,20160301,15.1,14.5,14.5,15.1,9.15,2895210
37,20160302,15.2,14.9,15.1,15.0,9.09,3284990
38,20160303,15.1,14.9,15.0,15.0,9.09,1442570
39,20160304,15.1,14.9,15.0,15.0,9.09,2484770
40,20160307,15.0,14.8,14.8,14.8,8.97,1340280
41,20160308,14.8,14.7,14.8,14.8,8.97,1083480
42,20160309,15.0,14.8,14.8,14.9,9.03,2912210
43,20160310,15.0,14.8,14.9,15.0,9.09,942020
44,20160311,15.0,14.8,15.0,14.9,9.03,521390
45,20160314,14.9,14.7,14.9,14.7,8.91,1047150
46,20160315,14.8,14.6,14.8,14.7,8.91,11892220
47,20160316,14.7,14.6,14.7,14.7,8.91,865420
48,20160317,14.8,14.6,14.8,14.8,8.97,1405990
49,20160318,14.8,14.7,14.7,14.8,8.97,178560
50,20160321,14.8,14.6,14.7,14.7,8.91,10660900
51,20160322,14.8,14.6,14.7,14.6,8.84,993030
52,20160323,14.7,14.6,14.7,14.6,8.84,964570
53,20160324,14.7,14.5,14.6,14.5,8.78,10093310
54,20160325,14.6,14.5,14.5,14.6,8.84,7092470
55,20160328,14.6,14.5,14.6,14.6,8.84,997270
56,20160329,14.6,14.5,14.6,14.5,8.78,9728070
57,20160330,14.6,14.3,14.5,14.4,8.72,1620520
58,20160331,14.5,14.3,14.4,14.3,8.66,1038750
59,20160401,14.3,14.0,14.3,14.1,8.54,961250
60,20160404,14.2,14.0,14.1,14.1,8.54,531810
61,20160405,14.3,14.1,14.1,14.2,8.6,1646100
62,20160406,14.5,14.2,14.2,14.5,8.78,1164720
63,20160407,14.6,14.3,14.4,14.5,8.78,752910
64,20160408,14.5,14.3,14.5,14.4,8.72,802720
65,20160411,14.5,14.3,14.4,14.5,8.78,362830
66,20160412,14.5,14.3,14.5,14.4,8.72,690290
67,20160413,14.4,14.2,14.4,14.4,8.72,646590
68,20160414,14.5,14.3,14.3,14.5,8.78,322470
69,20160415,14.5,14.3,14.4,14.3,8.66,944010
70,20160419,14.4,14.2,14.3,14.4,8.72,449390
71,20160420,14.5,14.3,14.4,14.5,8.78,666740
72,20160421,14.6,14.3,14.4,14.6,8.84,578270
73,20160422,15.0,14.5,14.6,14.9,9.03,1772530
74,20160425,15.0,14.7,14.8,14.9,9.03,1110890
75,20160426,15.0,14.7,14.7,14.9,9.03,806090
76,20160427,14.9,14.7,14.7,14.7,8.91,1021140
77,20160428,14.8,14.7,14.8,14.8,8.97,765550
78,20160429,15.1,14.9,14.9,15.1,9.15,2274370
79,20160504,15.1,14.9,15.1,15.1,9.15,1662640
80,20160505,15.1,15.0,15.0,15.1,9.15,1051560
81,20160506,15.3,15.0,15.1,15.3,9.27,2318380
82,20160509,15.4,15.1,15.3,15.3,9.27,1338960
83,20160510,15.3,14.9,14.9,15.2,9.21,536500
84,20160511,15.3,15.2,15.2,15.3,9.27,1009960
85,20160512,15.3,15.1,15.3,15.1,9.15,323970
86,20160513,15.2,15.1,15.1,15.1,9.15,305860
87,20160516,15.1,15.0,15.1,15.0,9.09,323540
88,20160517,15.1,15.0,15.0,15.0,9.09,903250
89,20160518,15.5,15.0,15.1,15.3,9.27,3482360
90,20160519,15.7,15.2,15.3,15.6,9.45,5671620
91,20160520,15.9,15.5,15.6,15.7,9.51,4827930
92,20160523,15.7,15.4,15.7,15.4,9.33,2249500
93,20160524,15.6,15.2,15.3,15.5,9.39,2236940
94,20160525,15.5,15.2,15.5,15.2,9.21,578150
95,20160526,15.3,15.2,15.2,15.3,9.27,769830
96,20160527,15.5,15.2,15.3,15.4,9.33,2244640
97,20160530,15.6,15.4,15.4,15.6,9.45,2200360
98,20160531,15.7,15.4,15.6,15.6,9.45,929600
99,20160601,15.7,15.5,15.7,15.6,9.45,3260700
100,20160602,15.6,15.5,15.5,15.6,9.45,2942460
101,20160603,15.6,15.4,15.6,15.4,9.33,377530
102,20160606,15.5,15.3,15.4,15.3,9.27,1163570
103,20160607,15.5,15.3,15.3,15.5,9.39,1630160
104,20160608,15.6,15.4,15.5,15.4,9.33,1536150
105,20160609,15.6,15.3,15.4,15.5,9.39,1437310
106,20160610,15.9,15.4,15.5,15.4,9.33,5102400
107,20160613,15.4,15.3,15.4,15.3,9.27,86100
108,20160614,15.4,15.3,15.3,15.3,9.27,86120
109,20160615,15.4,15.1,15.4,15.3,9.27,290950
110,20160616,15.4,15.2,15.4,15.2,9.21,248630
111,20160617,15.3,15.1,15.2,15.2,9.21,207250
112,20160620,15.3,15.1,15.3,15.1,9.15,73780
113,20160621,15.2,15.1,15.2,15.1,9.15,128320
114,20160622,15.2,15.0,15.2,15.0,9.09,258250
115,20160623,15.1,15.0,15.1,15.0,9.09,135800
116,20160624,15.2,14.3,15.2,14.9,9.03,1263300
117,20160627,14.9,14.6,14.6,14.9,9.03,298250
118,20160628,15.0,14.8,14.9,14.9,9.03,112680
119,20160629,15.1,15.0,15.0,15.0,9.09,270460
120,20160630,15.0,14.9,15.0,14.9,9.03,197840
121,20160701,15.0,14.8,14.9,15.0,9.09,266490
122,20160704,15.1,14.9,14.9,15.0,9.09,1493151
123,20160705,15.3,15.0,15.0,15.2,9.21,772190
124,20160706,15.2,15.1,15.1,15.1,9.15,172439
125,20160707,15.2,15.1,15.1,15.1,9.15,282910
126,20160708,15.3,15.1,15.3,15.1,9.15,244820
127,20160711,15.2,15.0,15.1,15.2,9.21,271860
128,20160712,15.2,15.0,15.2,15.0,9.09,605160
129,20160713,15.3,15.0,15.1,15.3,9.27,5152940
130,20160714,15.8,15.3,15.3,15.5,9.39,811590
131,20160715,15.6,15.3,15.4,15.5,9.39,248660
132,20160718,15.6,15.3,15.5,15.5,9.39,986030
