,date,high,low,open,close,adjust,volume
0,20160104,77.5,75.5,75.5,75.5,47.46,92620
1,20160105,75.5,73.0,75.5,75.0,47.14,243440
2,20160106,76.0,73.5,73.5,76.0,47.77,303590
3,20160107,78.5,74.0,74.5,77.5,48.72,375660
4,20160108,78.0,76.0,76.0,76.5,48.09,193650
5,20160111,76.5,75.0,76.0,76.0,47.77,659030
6,20160112,77.0,75.5,77.0,76.5,48.09,299130
7,20160113,76.5,75.0,76.5,75.0,47.14,252760
8,20160114,75.5,73.5,74.0,74.0,46.52,4843064
9,20160115,75.0,70.0,75.0,70.0,44.0,1426010
10,20160118,70.0,67.5,68.5,70.0,44.0,1385050
11,20160119,71.0,68.5,70.0,71.0,44.63,1156210
12,20160120,72.0,69.5,70.0,71.5,44.94,394140
13,20160121,73.5,71.5,71.5,71.5,44.94,168630
14,20160122,71.5,69.5,71.5,71.0,44.63,327780
15,20160125,74.0,71.5,72.5,74.0,46.52,103770
16,20160126,75.0,72.0,72.0,73.5,46.2,172360
17,20160127,74.5,72.5,72.5,73.5,46.2,377190
18,20160128,74.0,72.0,74.0,73.0,45.89,42820
19,20160129,73.0,72.0,72.5,72.5,45.57,388220
20,20160201,72.5,71.5,72.5,71.5,44.94,131410
21,20160202,74.5,70.5,72.0,70.5,44.32,1020050
22,20160203,72.5,70.5,72.0,72.0,45.26,98450
23,20160204,74.0,72.0,72.0,73.5,46.2,101460
24,20160205,74.0,72.5,73.5,73.5,46.2,23030
25,20160215,73.5,71.0,71.5,72.0,45.26,363790
26,20160216,72.5,71.5,71.5,72.0,45.26,135840
27,20160217,72.5,71.5,72.5,72.0,45.26,323500
28,20160218,73.0,71.5,71.5,72.0,45.26,638490
29,20160219,72.5,71.5,72.5,71.5,44.94,255950
30,20160222,75.5,71.5,71.5,74.5,46.83,378100
31,20160223,75.5,73.5,75.5,74.0,46.52,88940
32,20160224,74.0,73.5,74.0,73.5,46.2,28430
33,20160225,74.5,72.0,74.5,72.0,45.26,127080
34,20160226,74.0,71.5,73.0,74.0,46.52,272350
35,20160229,74.0,72.0,73.0,72.0,45.26,137790
36,20160301,72.5,72.0,72.0,72.0,45.26,170880
37,20160302,73.5,72.0,72.0,73.0,45.89,116760
38,20160303,75.5,73.5,74.5,74.5,46.83,1192210
39,20160304,75.5,74.0,75.5,74.5,46.83,160570
40,20160307,77.0,74.0,74.5,74.5,46.83,320530
41,20160308,75.5,74.5,75.0,75.0,47.14,138590
42,20160309,76.0,75.5,75.5,75.5,47.46,54060
43,20160310,75.5,74.0,75.5,74.5,46.83,153780
44,20160311,75.0,73.5,74.0,73.5,46.2,236980
45,20160314,75.0,74.0,74.0,75.0,47.14,45040719
46,20160315,75.0,73.0,75.0,73.5,46.2,254170
47,20160316,74.0,73.0,74.0,73.0,45.89,237120
48,20160317,74.0,72.0,72.5,72.5,45.57,1233720
49,20160318,72.5,71.5,72.5,71.5,44.94,1568150
50,20160321,72.5,70.0,72.0,70.0,44.0,485990
51,20160322,71.0,69.0,70.5,70.0,44.0,548375
52,20160323,72.5,70.0,70.0,72.0,45.26,545030
53,20160324,76.5,72.0,72.0,73.5,46.2,1122090
54,20160325,74.5,72.0,74.0,74.0,46.52,342700
55,20160328,74.5,73.5,74.0,74.5,46.83,959320
56,20160329,74.0,72.5,74.0,72.5,45.57,655020
57,20160330,73.5,72.0,72.0,72.5,45.57,514140
58,20160331,72.5,71.5,72.5,71.5,44.94,660860
59,20160401,72.0,70.5,71.0,71.0,44.63,331930
60,20160404,71.5,69.5,71.0,70.0,44.0,384220
61,20160405,71.0,69.5,70.0,70.5,44.32,399050
62,20160406,71.5,69.5,71.5,71.0,44.63,498160
63,20160407,71.5,70.0,71.5,71.0,44.63,208440
64,20160408,70.5,69.0,70.0,69.5,43.69,3599800
65,20160411,71.0,69.5,69.5,71.0,44.63,694480
66,20160412,71.0,70.0,71.0,70.0,44.0,1182620
67,20160413,70.5,69.0,69.0,69.0,43.37,239340
68,20160414,70.5,69.5,69.5,69.5,43.69,197410
69,20160415,70.0,69.0,70.0,69.5,43.69,223690
