,date,high,low,open,close,adjust,volume
0,20160104,80.5,78.0,79.0,79.0,27.55,396020
1,20160105,79.0,77.5,79.0,79.0,27.55,98210
2,20160106,79.0,78.0,78.5,78.5,27.38,226766
3,20160107,78.0,75.0,78.0,76.0,26.51,222750
4,20160108,76.0,73.0,75.5,75.0,26.16,97350
5,20160111,75.0,73.0,74.5,74.0,25.81,96610
6,20160112,75.0,73.0,73.0,75.0,26.16,72520
7,20160113,75.5,74.5,75.5,74.5,25.98,58300
8,20160114,74.0,72.5,73.5,73.5,25.63,377250
9,20160115,73.5,72.5,73.5,72.5,25.28,103340
10,20160118,72.0,67.5,72.0,69.0,24.06,222550
11,20160119,71.0,68.5,69.0,71.0,24.76,86980
12,20160120,71.0,69.5,71.0,70.0,24.41,119190
13,20160121,70.0,68.5,69.0,69.0,24.06,486125
14,20160122,70.0,67.0,69.0,68.0,23.72,94540
15,20160125,72.0,69.5,71.0,72.0,25.11,175000
16,20160126,71.5,70.0,71.0,71.0,24.76,184820
17,20160127,71.5,70.5,71.0,71.5,24.94,55080
18,20160128,71.5,70.0,71.5,70.0,24.41,32570
19,20160129,72.0,70.0,70.0,72.0,25.11,149010
20,20160201,72.5,71.0,71.0,72.0,25.11,105090
21,20160202,72.5,71.5,71.5,72.0,25.11,51310
22,20160203,72.0,71.0,71.0,72.0,25.11,38030
23,20160204,73.0,72.0,72.0,72.0,25.11,46320
24,20160205,73.5,72.0,72.0,73.5,25.63,41110
25,20160215,73.0,71.5,72.0,72.5,25.28,41340
26,20160216,72.5,71.5,72.5,72.5,25.28,299666
27,20160217,73.0,72.0,72.5,72.0,25.11,91360
28,20160218,75.0,72.0,72.0,74.5,25.98,133790
29,20160219,75.0,74.0,75.0,74.0,25.81,52460
30,20160222,76.0,74.5,74.5,76.0,26.51,132720
31,20160223,78.0,76.5,77.0,77.0,26.85,265520
32,20160224,78.0,76.0,77.0,77.5,27.03,61870
33,20160225,78.0,76.0,77.5,76.0,26.51,319490
34,20160226,77.0,75.5,76.0,75.5,26.33,170080
35,20160229,76.5,75.0,76.5,75.0,26.16,140520
36,20160301,76.0,75.0,75.0,75.5,26.33,109110
37,20160302,79.0,75.5,75.5,79.0,27.55,393160
38,20160303,79.0,78.5,79.0,79.0,27.55,86750
39,20160304,81.0,78.0,78.5,79.5,27.73,339340
40,20160307,80.0,78.5,79.0,79.0,27.55,152110
41,20160308,79.5,78.0,79.0,78.5,27.38,107410
42,20160309,79.0,78.0,78.0,78.0,27.2,109120
43,20160310,79.0,78.0,78.0,79.0,27.55,105310
44,20160311,80.0,78.5,79.0,79.5,27.73,210430
45,20160314,80.5,79.0,80.0,79.5,27.73,207650
46,20160315,79.5,78.5,79.5,79.5,27.73,113840
47,20160316,79.0,77.0,79.0,77.0,26.85,298870
48,20160317,78.0,76.0,77.0,77.0,26.85,195920
49,20160318,77.5,76.5,77.0,77.0,26.85,79290
