,date,high,low,open,close,adjust,volume
0,20161228,60.0,60.0,60.0,60.0,44.99,7232660
1,20161229,61.6,57.9,60.5,60.1,45.06,6167540
2,20161230,60.1,58.4,60.0,60.1,45.06,2391160
3,20170103,60.0,59.0,59.0,59.0,44.24,540260
4,20170104,59.5,59.0,59.0,59.4,44.54,1056370
5,20170105,59.4,59.0,59.3,59.1,44.31,637040
6,20170106,59.2,58.8,59.0,59.2,44.39,892677
7,20170109,59.3,58.7,59.1,59.3,44.46,2410630
8,20170110,59.2,58.9,59.2,59.0,44.24,2102560
9,20170111,59.1,58.7,58.9,59.1,44.31,2477670
10,20170112,59.1,58.7,59.0,58.8,44.09,904360
11,20170113,59.0,58.5,58.8,59.0,44.24,967870
12,20170116,59.2,58.7,58.9,59.2,44.39,1332640
13,20170117,59.2,58.8,59.1,58.8,44.09,1127570
14,20170118,59.0,58.7,58.7,58.9,44.16,1179580
15,20170119,59.0,58.0,58.8,58.1,43.56,1888300
16,20170120,58.5,57.9,58.1,58.2,43.64,975810
17,20170123,58.4,57.8,58.2,57.8,43.34,1087390
18,20170124,58.2,57.6,57.8,57.9,43.41,1201640
19,20170125,60.6,58.0,58.0,60.6,45.44,1636490
20,20170202,60.9,60.4,60.7,60.9,45.66,1363250
21,20170203,60.9,60.3,60.8,60.9,45.66,1185700
22,20170206,60.8,59.9,60.8,59.9,44.91,1119780
23,20170207,59.8,59.2,59.7,59.5,44.61,1226190
24,20170208,60.0,59.1,59.5,59.1,44.31,1262530
25,20170209,59.7,58.8,59.1,58.8,44.09,1679120
26,20170210,59.6,58.8,59.0,58.8,44.09,1606250
27,20170213,59.5,58.9,58.9,59.2,44.39,1257830
28,20170214,59.6,59.2,59.2,59.2,44.39,1291960
29,20170215,60.0,59.2,59.2,59.5,44.61,1404110
30,20170216,60.6,59.6,59.8,60.3,45.21,1493510
31,20170217,61.4,60.3,60.3,60.8,45.59,1384350
32,20170220,63.5,61.0,61.0,63.1,47.31,1026640
33,20170221,67.0,63.1,63.5,66.0,49.49,876160
34,20170222,68.0,66.0,66.1,66.2,49.64,866880
35,20170223,66.6,64.9,66.1,65.9,49.41,1538930
36,20170224,65.9,64.5,65.9,65.3,48.96,1235090
37,20170227,66.9,65.1,66.5,66.5,49.86,1041880
38,20170228,69.5,66.5,66.5,67.0,50.24,1508740
39,20170301,68.8,67.0,67.0,68.8,51.59,1218430
40,20170302,69.5,68.7,68.8,68.8,51.59,1299640
41,20170303,69.0,67.8,68.8,68.9,51.66,1600650
42,20170306,69.0,68.3,68.8,68.9,51.66,1429730
43,20170307,70.0,68.3,68.8,68.6,51.44,1003380
44,20170308,68.6,66.5,68.6,68.0,50.99,1049060
45,20170309,68.1,67.5,68.0,68.0,50.99,1511710
46,20170310,68.7,67.9,68.0,68.0,50.99,1068090
47,20170313,72.7,70.0,72.7,72.7,54.51,4768140
48,20170314,75.5,72.6,72.7,75.5,56.61,2405370
49,20170315,77.0,73.1,75.8,73.3,54.96,938030
50,20170316,73.3,72.6,73.0,72.6,54.44,4246460
51,20170317,72.0,67.6,71.7,67.6,50.69,4205150
52,20170320,70.0,67.8,67.8,68.8,51.59,2660770
53,20170321,69.1,68.5,68.8,68.7,51.51,2304520
54,20170322,68.6,67.6,68.6,67.6,50.69,2724220
55,20170323,67.8,66.4,67.6,66.8,50.09,1563610
56,20170324,69.3,66.8,66.8,69.0,51.74,2176880
57,20170327,69.3,68.7,69.0,69.1,51.81,1312310
58,20170328,69.3,68.3,69.1,68.5,51.36,956850
59,20170329,69.0,68.2,68.5,68.5,51.36,1247550
60,20170330,68.9,68.4,68.5,68.7,51.51,1720350
61,20170331,69.5,68.7,68.8,69.2,51.89,1513980
62,20170403,70.0,68.9,69.2,69.5,52.11,755190
63,20170404,70.7,69.5,69.5,70.4,52.79,1758030
64,20170405,71.0,70.0,70.7,70.4,52.79,1703140
65,20170407,70.5,69.8,70.4,70.4,52.79,6672000
66,20170410,70.9,70.3,70.5,70.5,52.86,1299710
67,20170411,70.9,70.5,70.5,70.7,53.01,1291060
68,20170412,70.9,70.3,70.8,70.7,53.01,1385270
69,20170413,70.8,70.4,70.7,70.5,52.86,1352580
70,20170414,70.6,69.7,70.6,70.0,52.49,1307240
71,20170417,70.1,69.7,70.0,69.7,52.26,812430
72,20170418,69.8,68.9,69.8,69.6,52.19,726040
73,20170419,70.5,69.5,69.7,70.2,52.64,1316870
74,20170420,71.0,70.1,70.2,70.8,53.09,2031930
75,20170421,73.0,70.8,70.9,72.5,54.36,1550460
76,20170424,74.5,72.6,72.8,73.1,54.81,1343990
77,20170425,73.3,72.7,73.0,73.0,54.74,3794470
78,20170426,73.5,72.8,73.0,72.8,54.59,1557960
79,20170427,73.3,71.4,72.9,72.5,54.36,1400290
80,20170428,72.5,70.2,72.5,70.7,53.01,2037350
81,20170503,71.0,70.1,70.7,70.1,52.56,1933660
82,20170504,70.1,69.3,70.1,69.5,52.11,1558360
83,20170505,69.9,69.4,69.6,69.5,52.11,358060
84,20170508,69.6,68.1,69.5,68.1,51.06,1238780
85,20170509,69.0,67.7,68.1,68.6,51.44,1248830
86,20170510,69.2,68.2,68.6,69.0,51.74,1203660
87,20170511,69.1,68.7,69.0,69.1,51.81,1036880
88,20170512,69.1,68.5,69.0,69.0,51.74,1218300
89,20170515,68.5,67.5,68.4,67.8,50.84,1431490
90,20170516,67.9,67.2,67.7,67.6,50.69,1193430
91,20170517,68.2,67.4,67.6,67.8,50.84,1280250
92,20170518,67.9,67.3,67.8,67.5,50.61,1886820
93,20170519,68.1,67.4,67.5,68.1,51.06,1512810
94,20170522,68.8,68.0,68.0,68.8,51.59,1704610
95,20170523,68.7,68.4,68.7,68.6,51.44,1589260
96,20170524,68.6,67.8,68.6,67.8,50.84,1760410
97,20170525,67.8,67.0,67.8,67.2,50.39,1994160
98,20170526,67.5,67.0,67.3,67.1,50.31,2818640
99,20170529,67.5,67.0,67.1,67.0,50.24,2378310
100,20170530,67.0,65.7,67.0,65.9,49.41,3106900
101,20170531,67.0,65.7,65.9,67.0,50.24,2925980
102,20170601,68.2,66.9,67.0,67.4,50.54,3393890
103,20170602,68.0,67.0,67.4,68.0,50.99,3185120
104,20170605,69.0,68.2,68.2,69.0,51.74,3319300
105,20170606,69.4,68.9,69.0,69.4,52.04,3456910
106,20170607,69.7,69.2,69.4,69.7,52.26,2461210
107,20170608,69.5,68.7,69.5,69.1,51.81,2714850
108,20170609,69.1,67.5,69.1,67.5,50.61,2445670
109,20170612,67.7,67.3,67.5,67.6,50.69,3098500
110,20170613,67.6,67.3,67.6,67.6,50.69,2816110
111,20170614,67.6,67.0,67.6,67.3,50.46,2384390
112,20170615,67.3,66.6,67.3,67.0,50.24,2250300
113,20170616,68.0,66.7,67.0,68.0,50.99,7047210
114,20170619,69.0,67.5,68.0,68.4,51.29,3290650
115,20170620,68.4,67.5,68.4,68.0,50.99,2841890
116,20170621,68.0,67.3,67.9,67.4,50.54,3391110
117,20170622,67.9,67.4,67.4,67.6,50.69,3752530
118,20170623,68.5,67.4,67.6,68.5,51.36,3632110
119,20170626,68.7,68.2,68.5,68.5,51.36,2968560
120,20170627,68.5,68.1,68.5,68.5,51.36,2496280
121,20170628,68.6,67.9,68.5,68.6,51.44,2654180
122,20170629,68.6,67.4,68.6,68.0,50.99,2598290
123,20170630,68.0,67.6,68.0,68.0,50.99,3016890
124,20170703,68.4,67.9,68.0,68.0,50.99,1610540
125,20170704,68.0,67.6,68.0,68.0,50.99,1633680
126,20170705,68.1,67.7,68.0,68.1,51.06,1701780
127,20170706,68.1,67.5,68.1,67.6,50.69,1952930
128,20170707,67.6,66.9,67.6,67.4,50.54,2496370
