,date,high,low,open,close,adjust,volume
0,20170421,51.8,46.0,51.8,48.9,39.77,4820970
1,20170424,49.5,48.0,48.9,48.4,39.36,2711302
2,20170425,48.4,45.05,48.1,45.15,36.72,2553550
3,20170426,44.5,43.1,43.1,44.1,35.86,2123790
4,20170427,45.9,44.1,44.1,45.9,37.33,875430
5,20170428,47.0,46.1,46.1,46.65,37.94,861910
6,20170503,46.8,46.0,46.65,46.75,38.02,591490
7,20170504,47.5,46.7,46.75,47.5,38.63,3047740
8,20170505,47.5,47.0,47.1,47.1,38.3,1274310
9,20170508,47.5,46.6,47.0,47.5,38.63,1414880
10,20170509,47.5,46.9,47.5,46.9,38.14,864620
11,20170510,47.4,46.9,46.9,47.1,38.3,2706150
12,20170511,49.7,47.1,47.1,48.6,39.52,3351200
13,20170512,48.9,48.4,48.6,48.6,39.52,1272460
14,20170515,49.2,48.0,48.25,48.7,39.6,2429190
15,20170516,52.0,48.7,49.1,51.1,41.56,3627190
16,20170517,52.0,50.5,51.0,51.0,41.47,1642560
17,20170518,53.0,50.8,50.8,53.0,43.1,3077950
18,20170519,56.7,53.3,53.8,56.7,46.11,4545030
19,20170522,60.6,59.0,59.8,60.6,49.28,3062670
20,20170523,64.5,60.6,61.0,60.6,49.28,2839240
21,20170524,60.7,57.5,60.6,59.0,47.98,1789900
22,20170525,60.1,58.6,59.0,59.0,47.98,704100
23,20170526,58.9,57.6,58.2,58.1,47.25,1237030
24,20170529,60.5,58.0,58.0,60.1,48.87,967250
25,20170530,62.1,60.1,60.1,61.0,49.61,1067000
26,20170531,61.7,60.4,61.5,61.2,49.77,714650
27,20170601,61.8,61.2,61.2,61.2,49.77,522880
28,20170602,61.2,59.7,60.7,59.7,48.55,1244790
29,20170605,61.8,59.2,59.7,61.1,49.69,703100
30,20170606,61.5,60.8,61.1,61.5,50.01,554760
31,20170607,61.8,61.0,61.4,61.1,49.69,626820
32,20170608,61.3,60.8,61.1,61.1,49.69,325680
33,20170609,63.4,61.0,61.0,62.6,50.91,1104760
34,20170612,64.5,62.3,62.6,63.0,51.23,830860
35,20170613,63.7,62.7,63.2,63.0,51.23,422580
36,20170614,63.0,61.9,62.8,63.0,51.23,875170
37,20170615,63.3,62.1,62.5,62.8,51.07,646160
38,20170616,63.0,62.3,62.4,62.4,50.74,656580
39,20170619,63.8,62.3,62.3,63.8,51.88,797760
40,20170620,65.4,63.9,64.0,65.4,53.18,1506260
41,20170621,67.0,64.4,65.5,66.9,54.4,980190
42,20170622,69.8,67.5,67.6,69.5,56.52,1321960
43,20170623,72.0,69.6,69.7,71.4,58.06,2025360
44,20170626,73.3,71.2,72.0,71.8,58.39,1487940
45,20170627,71.6,68.8,71.3,68.8,55.95,1547410
46,20170628,69.7,67.3,68.4,68.6,55.79,1212630
47,20170629,70.2,67.9,68.8,69.5,56.52,1000940
48,20170630,70.1,69.0,69.9,69.0,56.11,1006320
49,20170703,69.6,68.5,69.0,68.9,56.03,1235890
50,20170704,68.6,67.2,68.5,67.7,55.06,983220
51,20170705,69.4,67.3,67.6,68.8,55.95,493040
52,20170706,71.2,68.0,68.5,71.0,57.74,1697930
53,20170707,71.0,69.4,70.7,69.5,56.52,1345800
54,20170710,69.4,68.2,68.5,68.8,55.95,1149130
55,20170711,68.8,68.0,68.8,68.8,55.95,669300
56,20170712,69.8,68.8,69.8,68.8,55.95,905250
57,20170713,70.2,69.0,69.0,70.2,57.09,1069020
58,20170714,71.0,70.0,70.8,70.0,56.93,799980
59,20170717,70.4,68.6,70.0,68.7,55.87,613290
60,20170718,69.2,68.2,68.3,68.9,56.03,796070
61,20170719,69.9,68.8,68.8,69.3,56.36,1998340
62,20170720,66.9,65.3,66.7,65.5,55.86,583230
63,20170721,66.0,65.3,65.5,65.5,55.86,715940
64,20170724,65.5,63.0,64.5,63.0,53.73,1064220
65,20170725,65.0,61.0,62.0,64.9,55.35,1548220
66,20170726,65.2,64.3,65.2,64.6,55.1,348670
67,20170727,64.1,62.8,64.1,62.8,53.56,883020
68,20170728,64.2,62.1,62.7,64.2,54.75,505210
69,20170731,64.0,62.8,64.0,62.8,53.56,291180
70,20170801,63.7,62.2,62.2,63.0,53.73,420960
71,20170802,63.5,62.1,62.8,63.2,53.9,347480
72,20170803,63.2,62.7,63.0,63.0,53.73,331860
73,20170804,63.9,62.7,62.8,63.6,54.24,515090
74,20170807,66.8,63.5,63.6,66.8,56.97,1648590
75,20170808,69.0,66.8,66.8,67.5,57.57,1347990
76,20170809,68.0,65.5,67.5,65.8,56.12,699190
77,20170810,66.0,64.8,65.0,65.2,55.61,283290
78,20170811,65.9,64.2,65.0,64.5,55.01,186140
79,20170814,66.2,64.2,64.5,66.0,56.29,264910
80,20170815,66.3,65.5,66.3,66.3,56.55,269720
81,20170816,66.7,65.5,66.3,66.1,56.38,578890
82,20170817,66.3,65.8,66.1,65.8,56.12,202030
83,20170818,66.4,65.7,65.8,66.1,56.38,287630
84,20170821,67.9,66.8,67.0,67.3,57.4,1645250
85,20170822,67.8,66.3,67.7,66.7,56.89,211800
86,20170823,66.8,66.2,66.3,66.7,56.89,103940
87,20170824,67.8,66.4,66.6,67.6,57.65,865230
88,20170825,68.4,67.3,67.6,67.5,57.57,521000
89,20170828,68.5,67.3,67.5,68.3,58.25,939860
90,20170829,68.7,67.8,68.1,68.0,58.0,544800
91,20170830,68.0,67.0,67.7,67.0,57.14,357560
92,20170831,67.7,66.6,67.0,66.8,56.97,403980
93,20170901,67.1,66.2,66.8,66.8,56.97,237100
94,20170905,67.9,66.9,67.5,67.0,57.14,807400
95,20170906,67.3,66.5,67.0,67.0,57.14,525730
96,20170907,67.3,66.8,67.0,66.8,56.97,580970
97,20170908,67.9,66.5,66.8,66.9,57.06,743570
98,20170911,67.6,66.9,67.6,67.0,57.14,534390
99,20170912,67.5,66.9,66.9,67.5,57.57,697000
100,20170913,69.2,67.5,67.7,68.7,58.59,2835080
101,20170914,69.2,68.4,68.7,68.4,58.34,759380
102,20170915,68.4,67.7,68.3,68.3,58.25,3548190
103,20170918,68.0,66.4,68.0,66.4,56.63,1266740
104,20170919,66.6,61.9,66.2,65.2,55.61,1325010
105,20170920,65.2,63.7,65.2,64.0,54.58,1065660
106,20170921,65.0,63.4,63.4,64.2,54.75,479010
107,20170922,64.8,64.2,64.2,64.6,55.1,340680
108,20170925,65.1,64.4,64.6,64.9,55.35,358140
109,20170926,65.3,64.4,65.0,64.4,54.93,648770
110,20170927,64.8,64.4,64.5,64.8,55.27,252960
111,20170928,64.8,63.8,64.8,63.9,54.5,442750
112,20170929,63.9,62.8,63.9,63.1,53.82,611130
113,20171002,63.1,62.0,62.5,62.0,52.88,331260
114,20171003,62.7,59.5,61.9,60.2,51.34,459660
115,20171004,60.7,59.6,60.3,60.4,51.51,332820
116,20171005,62.4,60.4,60.4,61.4,52.37,254450
117,20171006,62.3,61.3,61.4,61.7,52.62,129560
118,20171009,61.5,60.5,61.5,61.2,52.2,174990
119,20171010,61.8,60.6,61.0,61.8,52.71,213840
120,20171011,62.0,61.7,62.0,61.8,52.71,226180
121,20171012,61.8,60.7,61.8,60.9,51.94,276780
122,20171013,60.9,60.4,60.6,60.9,51.94,360640
123,20171016,61.2,60.3,60.6,60.9,51.94,258220
124,20171017,62.0,60.6,60.6,62.0,52.88,398400
125,20171018,63.3,61.6,62.0,62.8,53.56,516960
126,20171019,63.5,62.5,62.8,63.3,53.99,416860
127,20171020,64.0,63.0,63.3,63.3,53.99,326490
128,20171023,63.0,62.0,62.4,62.4,53.22,228920
129,20171024,62.9,60.8,62.1,62.2,53.05,298110
130,20171025,62.3,60.5,62.2,62.2,53.05,101350
131,20171026,62.3,60.8,62.3,62.0,52.88,150610
132,20171027,62.6,61.7,62.0,62.6,53.39,265120
133,20171030,63.2,62.0,63.0,62.0,52.88,475770
134,20171031,62.0,61.0,62.0,61.2,52.2,205440
135,20171101,61.5,60.0,61.5,60.8,51.86,386030
136,20171102,60.8,56.8,60.1,56.8,48.44,753070
137,20171103,58.0,56.7,56.8,57.2,48.78,356150
138,20171106,57.3,53.5,57.1,54.8,46.74,590070
139,20171107,56.9,53.6,53.6,56.0,47.76,567220
140,20171108,56.9,55.9,55.9,56.9,48.53,239570
141,20171109,58.4,56.4,56.9,58.2,49.64,399080
142,20171110,58.2,57.1,58.0,58.0,49.47,147190
143,20171113,57.5,54.0,57.5,55.4,47.25,580360
144,20171114,56.0,54.1,55.0,55.3,47.16,462250
145,20171115,57.5,55.6,56.9,56.9,48.53,515550
146,20171116,57.5,56.8,56.9,57.2,48.78,402270
147,20171117,57.0,55.6,57.0,55.6,47.42,486410
148,20171120,57.6,56.3,56.3,57.4,48.96,578810
149,20171121,61.4,57.8,57.8,60.5,51.6,1242580
150,20171122,62.4,60.0,60.5,61.9,52.79,536080
151,20171123,62.0,60.4,61.9,60.5,51.6,569880
152,20171124,60.6,59.1,60.5,60.2,51.34,485810
153,20171127,61.7,59.5,60.0,61.0,52.03,599940
154,20171128,61.1,59.8,61.0,60.1,51.26,387960
155,20171129,62.1,59.6,60.1,61.8,52.71,1305540
156,20171130,62.7,61.9,62.0,62.0,52.88,714320
157,20171201,65.2,62.0,62.0,65.2,55.61,1535940
158,20171204,66.4,64.5,65.2,66.2,56.46,750070
159,20171205,67.9,65.5,66.1,66.5,56.72,2372480
160,20171206,67.3,65.0,66.0,66.0,56.29,710670
161,20171207,66.5,63.9,66.0,64.4,54.93,745870
162,20171208,66.9,63.6,64.7,65.9,56.2,655660
163,20171211,65.8,64.4,64.5,64.4,54.93,378170
164,20171212,65.4,61.0,64.3,64.1,54.67,778430
165,20171213,65.0,61.9,65.0,62.3,53.13,669540
166,20171214,64.9,62.0,62.3,64.8,55.27,392020
167,20171215,65.0,64.1,64.8,65.0,55.44,361040
168,20171218,66.3,65.0,65.0,65.9,56.2,448870
169,20171219,67.9,65.3,65.5,67.0,57.14,1286100
170,20171220,70.9,67.4,67.5,70.0,59.7,2751440
171,20171221,71.0,69.2,69.2,69.7,59.45,943560
172,20171222,69.7,68.2,69.7,69.0,58.85,894560
173,20171225,71.9,68.8,69.2,71.9,61.32,1751990
174,20171226,73.5,71.9,71.9,73.2,62.43,1344510
175,20171227,74.3,72.0,74.0,73.2,62.43,1163520
176,20171228,74.5,72.2,73.0,74.0,63.11,1408180
177,20171229,76.5,73.0,74.0,75.0,63.97,1458000
178,20180102,76.5,73.9,75.2,75.0,63.97,1142760
179,20180103,75.8,74.3,75.0,75.2,64.14,1096830
180,20180104,78.6,75.4,75.4,78.6,67.04,1539440
181,20180105,79.4,77.2,78.3,79.0,67.38,1368060
182,20180108,84.3,78.6,78.6,84.0,71.64,1164450
183,20180109,85.0,82.5,84.0,83.1,70.87,1298870
184,20180110,86.0,83.0,83.1,85.0,72.49,1428940
185,20180111,88.8,83.7,84.5,88.2,75.22,1257380
186,20180112,91.2,86.0,88.2,86.7,73.94,1978010
187,20180115,91.0,86.0,86.7,90.5,77.19,1470780
188,20180116,92.7,88.9,90.0,91.0,77.61,1556760
189,20180117,92.3,86.2,91.0,86.2,73.52,1459300
190,20180118,87.3,82.0,85.0,86.8,74.03,2937720
191,20180119,91.9,86.8,87.5,91.9,78.38,2891600
192,20180122,94.4,90.0,91.9,93.1,79.4,1527840
193,20180125,95.5,92.8,94.2,93.1,79.4,4344920
194,20180126,94.2,90.0,93.9,93.0,79.32,1662110
195,20180129,93.0,90.6,93.0,91.8,78.29,1706230
196,20180130,90.9,86.8,90.0,89.5,76.33,1593930
197,20180131,93.0,85.1,88.0,88.5,75.48,1946140
198,20180201,90.0,87.8,88.8,88.6,75.57,723200
199,20180202,88.6,86.4,87.0,87.8,74.88,992010
200,20180205,87.4,81.7,87.4,81.7,69.68,1590460
201,20180206,80.0,76.0,76.0,76.0,64.82,1071710
202,20180207,80.2,77.6,80.1,79.9,68.15,1566120
203,20180208,79.2,77.0,78.5,77.1,65.76,459780
204,20180209,74.8,71.8,73.0,73.1,62.35,770290
205,20180212,77.9,73.1,73.1,77.9,66.44,750900
206,20180213,79.3,78.0,79.0,78.2,66.7,546150
207,20180221,80.8,78.7,80.2,79.7,67.97,893490
208,20180222,79.9,76.0,79.0,77.5,66.1,622310
209,20180223,82.9,78.2,78.4,82.9,70.7,2058340
210,20180226,88.7,85.0,85.0,88.5,75.48,2159560
211,20180227,89.5,86.5,89.5,87.9,74.97,845450
212,20180228,91.0,86.0,86.0,89.9,76.67,1820920
213,20180301,89.8,86.1,88.8,87.2,74.37,1258110
214,20180302,87.0,85.3,86.0,87.0,74.2,849060
215,20180305,88.5,83.1,87.5,83.1,70.87,1035150
216,20180306,87.0,83.0,84.5,86.6,73.86,838820
217,20180307,86.6,83.0,86.1,83.3,71.04,833790
218,20180308,85.2,82.5,83.3,85.0,72.49,676110
219,20180309,86.0,83.8,85.4,84.0,71.64,552480
220,20180312,85.3,82.4,82.4,82.4,70.28,507620
221,20180313,83.3,79.7,82.9,81.5,69.51,932770
222,20180314,83.0,81.2,81.7,81.2,69.25,511470
223,20180315,82.0,80.3,81.0,81.1,69.17,665400
224,20180316,85.1,81.2,83.0,83.0,70.79,2039440
225,20180319,86.5,84.5,86.3,86.3,73.6,1156350
226,20180320,87.2,85.5,86.0,85.5,72.92,922890
227,20180321,87.7,85.6,86.2,86.9,74.12,1797680
228,20180322,88.8,86.8,88.0,86.9,74.12,1293360
229,20180323,86.4,83.9,85.0,85.1,72.58,1182670
230,20180326,86.0,83.0,85.1,83.0,70.79,1121370
231,20180327,84.0,80.3,83.5,82.0,69.94,1269680
232,20180328,83.7,80.6,81.1,82.9,70.7,500520
233,20180329,83.3,81.6,82.9,82.3,70.19,374820
234,20180330,83.9,81.5,82.9,83.7,71.39,501160
235,20180402,85.3,83.3,83.6,84.9,72.41,890760
236,20180403,85.4,82.9,84.5,83.0,70.79,778980
237,20180404,83.5,81.9,83.0,82.5,70.36,937700
238,20180405,83.0,81.2,82.5,81.4,69.42,532380
239,20180406,83.0,80.8,82.0,83.0,70.79,891780
240,20180409,84.5,82.8,83.0,83.4,71.13,761600
241,20180410,83.4,81.3,82.9,83.0,70.79,557070
242,20180411,83.9,79.0,83.1,79.0,67.38,1104120
243,20180412,80.0,77.7,79.0,80.0,68.23,950990
244,20180413,80.8,75.0,80.0,76.5,65.25,948810
245,20180416,76.9,75.0,76.5,76.7,65.42,557830
246,20180417,76.9,73.4,76.7,74.0,63.11,692890
247,20180418,74.7,70.8,74.0,71.8,61.24,1160450
248,20180419,71.8,66.8,71.8,66.8,56.97,1255730
249,20180420,69.4,66.0,66.8,69.4,59.19,733140
250,20180423,71.0,64.6,64.6,64.6,55.1,683680
251,20180424,64.0,60.1,62.6,62.0,52.88,1222150
252,20180426,62.9,57.7,62.9,57.7,49.21,946200
253,20180427,61.7,57.6,57.7,61.7,52.62,1157190
254,20180502,66.0,63.0,66.0,66.0,56.29,837650
255,20180503,68.5,64.0,66.0,66.2,56.46,788130
256,20180504,66.2,64.5,66.0,65.4,55.78,632690
257,20180507,66.9,64.5,65.0,66.5,56.72,492350
