,date,high,low,open,close,adjust,volume
0,2016-01-04,43.0,42.6,43.0,43.0,19.14,84263
1,2016-01-05,43.0,42.2,42.9,42.3,18.83,128220
2,2016-01-06,42.9,42.5,42.5,42.9,19.09,14230
3,2016-01-07,42.9,41.9,42.8,42.8,19.05,13920
4,2016-01-08,42.9,42.1,42.8,42.9,19.09,124760
5,2016-01-11,42.9,40.1,40.1,42.2,18.78,22350
6,2016-01-12,42.5,41.7,42.5,42.0,18.69,23180
7,2016-01-13,42.4,41.4,41.4,42.0,18.69,39190
8,2016-01-14,42.0,40.5,41.6,40.5,18.03,2050
9,2016-01-15,42.3,38.5,42.3,41.7,18.56,20230
10,2016-01-18,41.7,38.8,41.7,41.5,18.47,113910
11,2016-01-19,41.5,39.9,41.0,41.0,18.25,105967
12,2016-01-20,40.7,40.1,40.7,40.7,18.11,92780
13,2016-01-21,42.5,40.1,41.5,41.5,18.47,46790
14,2016-01-22,42.0,40.5,40.5,41.5,18.47,20900
15,2016-01-25,42.8,41.6,42.0,42.8,19.05,19940
16,2016-01-26,43.5,42.7,43.0,43.3,19.27,28740
17,2016-01-27,44.5,43.5,43.5,44.0,19.58,31180
18,2016-01-28,45.5,43.5,43.5,44.5,19.81,26400
19,2016-01-29,45.0,43.5,43.5,44.9,19.98,10240
20,2016-02-01,45.3,44.0,45.0,44.5,19.81,63520
21,2016-02-02,45.3,44.0,44.5,45.0,20.03,7170
22,2016-02-03,45.5,44.5,45.0,44.5,19.81,18500
23,2016-02-04,45.0,44.4,44.4,44.6,19.85,19660
24,2016-02-05,45.0,44.6,44.7,44.7,19.89,17960
25,2016-02-15,46.9,45.0,46.9,45.0,20.03,10730
26,2016-02-16,46.9,44.8,46.9,45.6,20.3,9810
27,2016-02-17,46.0,45.0,46.0,45.9,20.43,10000
28,2016-02-18,45.9,44.5,45.9,45.2,20.12,49250
29,2016-02-19,45.5,45.0,45.2,45.0,20.03,127280
30,2016-02-22,45.9,44.5,44.5,45.0,20.03,6180
31,2016-02-23,45.4,44.5,45.0,45.3,20.16,19580
32,2016-02-24,45.3,44.6,45.3,44.7,19.89,5080
33,2016-02-25,45.3,44.5,44.9,45.0,20.03,292110
34,2016-02-26,46.0,44.9,45.0,45.1,20.07,20440
35,2016-02-29,47.0,45.1,47.0,45.2,20.12,10100
36,2016-03-01,45.6,45.0,45.2,45.3,20.16,10990
37,2016-03-02,46.4,45.0,45.4,45.9,20.43,29860
38,2016-03-03,47.0,45.6,46.6,46.6,20.74,27880
39,2016-03-04,48.5,46.8,46.8,48.0,21.36,78880
40,2016-03-07,51.0,48.0,50.5,50.5,22.48,19000
41,2016-03-08,51.0,49.8,50.0,50.5,22.48,35360
