,date,high,low,open,close,adjust,volume
0,2018-03-06,18.3,16.8,17.5,17.8,17.26,14922100
1,2018-03-07,18.2,16.5,18.2,16.8,16.29,10982076
2,2018-03-08,17.5,16.7,17.2,17.2,16.68,9639144
3,2018-03-09,17.6,17.1,17.1,17.5,16.97,5800486
4,2018-03-12,17.7,17.2,17.7,17.3,16.78,4668745
5,2018-03-13,17.4,17.1,17.3,17.2,16.68,14779169
6,2018-03-14,17.3,16.9,17.2,17.0,16.49,4470422
7,2018-03-15,17.1,16.6,17.1,16.7,16.2,3914865
8,2018-03-16,17.2,16.7,16.7,17.1,16.58,3923430
9,2018-03-19,17.3,16.8,17.2,17.0,16.49,2987660
10,2018-03-20,17.0,16.7,17.0,16.7,16.2,2669883
11,2018-03-21,17.0,16.7,17.0,16.7,16.2,1929052
12,2018-03-22,16.8,16.0,16.8,16.3,15.81,3136060
13,2018-03-23,16.2,15.6,16.0,16.1,15.61,3366449
14,2018-03-26,16.0,15.6,16.0,15.7,15.23,1932826
15,2018-03-27,15.8,15.6,15.7,15.6,15.13,1055477
16,2018-03-28,15.7,15.5,15.6,15.6,15.13,1753196
17,2018-03-29,16.6,15.6,15.7,16.2,15.71,2103906
18,2018-03-30,16.7,16.2,16.3,16.6,16.1,2354364
19,2018-04-02,16.8,16.4,16.6,16.6,16.1,2577644
20,2018-04-03,16.6,16.0,16.6,16.2,15.71,2257070
21,2018-04-04,16.9,16.2,16.5,16.4,15.9,2402101
22,2018-04-05,16.6,16.1,16.5,16.2,15.71,1725227
23,2018-04-06,16.3,15.9,16.2,16.1,15.61,1731257
24,2018-04-09,16.1,15.7,16.1,16.0,15.52,1832995
25,2018-04-10,16.1,15.7,15.9,15.9,15.42,1485078
26,2018-04-11,16.0,15.3,15.9,15.6,15.13,2053300
27,2018-04-12,15.7,15.5,15.6,15.7,15.23,977010
28,2018-04-13,15.7,15.3,15.6,15.6,15.13,1503780
29,2018-04-16,15.9,15.3,15.7,15.5,15.03,1698800
30,2018-04-17,15.6,15.3,15.5,15.6,15.13,770496
31,2018-04-18,15.6,15.0,15.6,15.1,14.64,1683810
32,2018-04-19,15.2,14.5,15.2,14.6,14.16,2236680
33,2018-04-20,14.7,14.2,14.5,14.6,14.16,1468117
34,2018-04-23,14.8,13.4,14.7,14.2,13.77,859630
35,2018-04-24,14.3,13.7,14.2,13.8,13.38,1109190
36,2018-04-26,14.5,13.5,14.4,13.6,13.19,6053175
37,2018-04-27,13.8,13.4,13.8,13.6,13.19,1300812
38,2018-05-03,13.6,12.9,13.6,13.3,12.9,1928969
39,2018-05-04,13.5,13.2,13.2,13.4,13.0,976473
40,2018-05-07,15.1,13.6,13.8,14.4,13.97,1944203
41,2018-05-08,14.6,14.2,14.6,14.4,13.97,1537398
42,2018-05-09,14.9,14.2,14.4,14.2,13.77,1083060
43,2018-05-10,14.3,13.7,14.2,13.7,13.29,1152051
44,2018-05-11,14.1,13.7,13.8,14.0,13.58,819030
45,2018-05-14,14.2,13.8,14.0,14.1,13.67,623290
46,2018-05-15,14.6,13.8,13.8,14.4,13.97,2195181
47,2018-05-16,14.6,14.3,14.5,14.5,14.06,1443830
48,2018-05-17,14.6,14.3,14.5,14.5,14.06,1184478
49,2018-05-18,15.0,14.4,14.5,14.8,14.35,2476452
50,2018-05-21,15.0,14.4,14.8,14.6,14.16,3160750
51,2018-05-22,14.5,13.6,14.4,14.0,13.58,3429020
52,2018-05-23,14.4,13.7,13.8,14.2,13.77,1919170
53,2018-05-24,14.4,13.9,14.2,14.2,13.77,988138
54,2018-05-25,14.4,13.9,14.0,14.2,13.77,2697911
55,2018-05-28,14.1,13.2,14.0,13.4,13.0,2170653
56,2018-05-29,14.0,13.3,13.3,13.9,13.48,728556
57,2018-05-30,13.9,13.5,13.8,13.7,13.29,475750
58,2018-05-31,14.1,13.6,13.7,14.0,13.58,1830351
59,2018-06-01,14.1,13.9,13.9,14.1,13.67,957870
60,2018-06-04,14.2,13.9,14.1,14.2,13.77,745251
61,2018-06-05,14.4,14.0,14.2,14.2,13.77,3405010
62,2018-06-06,14.3,14.1,14.2,14.1,13.67,1186745
63,2018-06-07,14.3,14.0,14.2,14.0,13.58,973810
64,2018-06-08,14.1,13.6,14.0,13.9,13.48,2020050
65,2018-06-11,13.9,13.6,13.8,13.9,13.48,512900
66,2018-06-12,13.7,13.5,13.7,13.6,13.19,517513
67,2018-06-13,13.8,13.5,13.6,13.7,13.29,790800
68,2018-06-14,13.8,13.6,13.6,13.6,13.19,1279128
69,2018-06-15,13.8,13.5,13.6,13.8,13.38,830840
70,2018-06-18,13.9,13.4,13.8,13.5,13.09,1032660
71,2018-06-19,13.5,12.6,13.5,12.9,12.51,1444131
72,2018-06-20,13.5,12.5,13.0,13.0,12.61,2255293
73,2018-06-21,13.2,12.8,13.1,13.0,12.61,1900195
74,2018-06-22,13.3,13.0,13.0,13.0,12.61,942700
75,2018-06-25,13.4,13.1,13.3,13.1,12.7,986135
76,2018-06-26,13.5,12.8,13.3,13.5,13.09,2845960
77,2018-06-27,13.8,13.2,13.8,13.2,12.8,712980
78,2018-06-28,13.4,13.0,13.3,13.1,12.7,635970
79,2018-06-29,13.3,12.9,13.1,13.1,12.7,831540
80,2018-07-02,13.1,12.7,13.1,12.8,12.41,730416
81,2018-07-03,12.9,12.4,12.8,12.4,12.03,1193780
82,2018-07-04,12.5,12.0,12.4,12.4,12.03,1150780
83,2018-07-05,12.4,11.7,12.3,12.0,11.64,816591
84,2018-07-06,12.1,11.4,12.0,11.8,11.44,1868830
85,2018-07-09,12.1,11.4,11.8,11.7,11.35,1407200
86,2018-07-10,11.9,11.3,11.9,11.6,11.25,851630
87,2018-07-11,11.6,10.8,11.6,11.1,10.76,1295200
88,2018-07-12,11.0,10.7,11.0,11.0,10.67,1317750
89,2018-07-13,11.0,10.7,10.8,11.0,10.67,489946
90,2018-07-16,11.1,10.9,10.9,11.0,10.67,315451
91,2018-07-17,11.1,10.9,11.1,11.0,10.67,697600
92,2018-07-18,11.8,10.9,11.0,11.8,11.44,2905187
93,2018-07-19,13.2,11.7,11.7,13.0,12.61,3757005
94,2018-07-20,13.0,12.6,13.0,12.9,12.51,1244770
95,2018-07-23,12.9,12.5,12.9,12.6,12.22,802090
96,2018-07-24,12.9,12.3,12.6,12.6,12.22,1553210
97,2018-07-25,12.8,12.6,12.6,12.6,12.22,1143100
98,2018-07-26,12.8,12.5,12.6,12.7,12.32,607800
99,2018-07-27,13.2,12.5,12.7,13.1,12.7,2084160
100,2018-07-30,13.3,13.0,13.1,13.2,12.8,1077075
101,2018-07-31,13.3,13.1,13.1,12.9,12.51,1040300
102,2018-08-01,13.1,12.8,13.0,13.0,12.61,869520
103,2018-08-02,13.0,12.7,12.9,12.9,12.51,503478
104,2018-08-03,13.6,12.9,13.0,13.3,12.9,4077370
105,2018-08-06,13.5,13.2,13.5,13.3,12.9,553870
106,2018-08-07,13.4,13.1,13.2,13.3,12.9,1041763
107,2018-08-08,13.8,13.2,13.4,13.7,13.29,2619510
108,2018-08-09,14.1,13.6,13.8,13.9,13.48,2614320
109,2018-08-10,13.9,13.5,13.9,13.9,13.48,1147385
110,2018-08-13,13.9,13.6,13.7,13.7,13.29,2084650
111,2018-08-14,13.7,13.4,13.7,13.4,13.0,988038
112,2018-08-15,13.6,12.8,13.5,13.0,12.61,1169172
113,2018-08-16,13.0,12.7,12.9,13.0,12.61,942255
114,2018-08-17,13.4,13.0,13.2,13.2,12.8,818090
115,2018-08-20,13.3,13.0,13.2,13.0,12.61,270855
116,2018-08-21,13.3,13.0,13.1,13.0,12.61,471320
117,2018-08-22,13.3,13.0,13.2,13.1,12.7,522713
118,2018-08-23,13.3,13.1,13.2,13.2,12.8,448010
119,2018-08-24,13.3,13.1,13.3,13.1,12.7,273220
120,2018-08-27,13.3,13.0,13.1,13.3,12.9,1136652
121,2018-08-28,13.4,13.2,13.3,13.3,12.9,2127425
122,2018-08-29,14.0,13.3,13.3,13.9,13.48,4000083
123,2018-08-30,14.2,13.7,13.9,14.1,13.67,2504651
124,2018-08-31,14.3,13.9,14.3,14.1,13.67,4228217
125,2018-09-04,14.1,13.8,14.1,13.8,13.38,1650290
126,2018-09-05,13.8,13.4,13.7,13.7,13.29,1463000
127,2018-09-06,13.9,13.5,13.5,13.8,13.38,1091107
128,2018-09-07,14.2,13.7,13.7,14.1,13.67,1986280
129,2018-09-10,14.6,14.1,14.2,14.6,14.16,4048811
130,2018-09-11,15.0,12.4,14.6,15.0,14.55,5006265
131,2018-09-12,15.1,14.7,15.0,14.7,14.26,1712540
132,2018-09-13,14.9,14.6,14.7,14.7,14.26,1475238
133,2018-09-14,15.0,14.6,14.6,14.8,14.35,1499603
134,2018-09-17,15.3,14.8,14.8,15.1,14.64,2722180
135,2018-09-18,15.1,14.9,15.1,15.1,14.64,2866290
136,2018-09-19,15.4,14.9,15.1,15.3,14.84,2921699
137,2018-09-20,16.4,15.4,15.4,16.3,15.81,4010545
138,2018-09-21,16.5,15.5,16.5,15.9,15.42,3347352
139,2018-09-24,16.1,15.7,15.9,15.9,15.42,1959443
140,2018-09-25,16.3,15.8,15.8,16.1,15.61,2617432
141,2018-09-26,16.2,15.9,16.1,16.0,15.52,2119376
142,2018-09-27,16.2,15.9,16.0,16.2,15.71,2217285
143,2018-09-28,16.7,16.2,16.2,16.7,16.2,5984645
144,2018-10-01,16.9,16.4,16.7,16.5,16.0,3473515
145,2018-10-02,16.8,16.4,16.7,16.6,16.1,4365303
146,2018-10-03,16.7,16.4,16.5,16.6,16.1,1705816
147,2018-10-04,16.8,16.4,16.8,16.5,16.0,3801577
148,2018-10-05,16.5,15.8,16.5,15.9,15.42,3367523
149,2018-10-08,16.1,15.4,16.1,15.5,15.03,2445695
150,2018-10-09,15.6,15.0,15.5,15.2,14.74,2149499
151,2018-10-10,15.6,15.1,15.3,15.5,15.03,1646091
152,2018-10-11,15.3,13.8,15.2,14.4,13.97,4019253
153,2018-10-12,15.2,13.8,14.1,15.1,14.64,2866537
154,2018-10-15,15.2,14.7,15.1,14.8,14.35,1375500
155,2018-10-16,15.0,14.5,14.9,14.6,14.16,2852950
156,2018-10-17,15.2,14.7,14.8,14.8,14.35,2239425
157,2018-10-18,14.9,14.4,14.8,14.4,13.97,1474055
158,2018-10-19,14.4,14.1,14.4,14.2,13.77,2156500
159,2018-10-22,14.5,14.1,14.3,14.2,13.77,903910
160,2018-10-23,14.2,13.8,14.1,14.1,13.67,1658420
161,2018-10-24,14.2,13.4,14.0,13.7,13.29,1757100
162,2018-10-25,13.8,13.0,13.3,13.8,13.38,1658171
163,2018-10-26,14.0,13.6,13.7,13.8,13.38,592140
164,2018-10-29,13.8,13.5,13.7,13.5,13.09,625800
165,2018-10-30,13.6,13.4,13.6,13.6,13.19,809993
166,2018-10-31,14.0,13.6,13.8,13.9,13.48,822940
167,2018-11-01,13.8,13.6,13.8,13.6,13.19,455510
168,2018-11-02,13.9,13.6,13.6,13.8,13.38,559767
169,2018-11-05,13.9,13.6,13.7,13.8,13.38,493960
170,2018-11-06,14.2,13.8,13.8,14.0,13.58,1149809
171,2018-11-07,14.0,13.7,14.0,13.9,13.48,385667
172,2018-11-08,14.4,13.9,14.0,14.4,13.97,1541791
173,2018-11-09,14.3,13.8,14.3,13.8,13.38,865720
174,2018-11-12,14.0,13.7,13.7,13.9,13.48,422097
175,2018-11-13,13.9,13.6,13.8,13.8,13.38,586620
176,2018-11-14,13.8,13.4,13.7,13.5,13.09,666702
177,2018-11-15,13.6,13.3,13.6,13.4,13.0,435230
178,2018-11-16,14.4,13.5,13.5,14.2,13.77,2029903
179,2018-11-19,14.6,14.1,14.4,14.3,13.87,1083143
180,2018-11-20,14.3,14.0,14.2,14.2,13.77,608860
181,2018-11-21,14.3,13.7,14.0,14.2,13.77,705927
182,2018-11-22,14.6,14.1,14.1,14.6,14.16,1713090
183,2018-11-23,14.8,14.3,14.8,14.4,13.97,1719600
184,2018-11-26,15.3,14.4,14.4,15.1,14.64,1481185
185,2018-11-27,15.2,14.7,15.1,14.8,14.35,1115600
186,2018-11-28,15.0,14.8,14.9,14.9,14.45,647448
187,2018-11-30,14.8,14.5,14.7,14.8,14.35,738390
188,2018-12-03,15.1,14.8,15.0,15.0,14.55,1255405
189,2018-12-04,15.7,15.0,15.0,15.6,15.13,3922852
190,2018-12-05,15.6,15.2,15.4,15.6,15.13,1799701
191,2018-12-06,15.6,15.2,15.6,15.4,14.93,1615808
192,2018-12-07,15.5,15.3,15.4,15.5,15.03,1204452
193,2018-12-10,15.5,15.2,15.5,15.3,14.84,1176472
194,2018-12-11,15.3,14.9,15.2,15.0,14.55,1740230
195,2018-12-12,15.4,15.1,15.1,15.3,14.84,540080
196,2018-12-13,15.5,15.3,15.4,15.4,14.93,896701
197,2018-12-14,15.5,15.2,15.4,15.2,14.74,1433590
198,2018-12-17,15.3,14.8,15.3,14.8,14.35,983130
199,2018-12-18,15.0,14.4,14.7,15.0,14.55,1879706
200,2018-12-19,15.1,14.8,15.0,15.0,14.55,1484990
201,2018-12-20,15.1,14.4,14.8,15.0,14.55,876670
202,2018-12-21,15.0,14.8,15.0,15.0,14.55,951510
203,2018-12-24,15.0,13.4,13.4,14.8,14.35,952390
204,2018-12-25,14.8,14.2,14.6,14.7,14.26,1487785
205,2018-12-26,14.9,14.7,14.7,14.9,14.45,2547780
206,2018-12-27,16.1,14.9,15.0,16.0,15.52,6997000
207,2019-01-14,15.8,15.3,15.7,15.6,15.13,5012350
208,2019-01-15,15.8,15.35,15.65,15.7,15.23,2769510
209,2019-01-16,15.7,15.55,15.6,15.6,15.13,2143250
210,2019-01-17,15.7,15.45,15.55,15.6,15.13,2113620
211,2019-01-18,15.55,15.2,15.5,15.2,14.74,1945780
212,2019-01-21,15.55,14.8,15.2,15.35,14.89,1817190
213,2019-01-22,15.55,15.35,15.35,15.5,15.03,1768140
214,2019-01-23,15.5,15.35,15.5,15.5,15.03,977240
215,2019-01-24,15.5,15.35,15.4,15.4,14.93,967110
216,2019-01-25,15.4,15.3,15.4,15.4,14.93,935200
217,2019-01-28,15.85,15.4,15.4,15.75,15.27,3064880
218,2019-01-29,16.4,15.65,15.8,16.3,15.81,5260230
219,2019-01-30,17.35,16.3,16.3,16.8,16.29,9031950
220,2019-01-31,16.95,16.4,16.8,16.45,15.95,3112380
221,2019-02-01,16.7,16.35,16.35,16.55,16.05,1619200
222,2019-02-11,17.1,16.65,16.65,16.95,16.44,3752380
223,2019-02-12,17.0,16.85,17.0,16.9,16.39,2686510
224,2019-02-13,16.9,16.7,16.9,16.85,16.34,3916110
225,2019-02-14,17.2,16.7,16.8,16.85,16.34,5639900
226,2019-02-15,17.0,16.75,16.95,16.75,16.24,3255960
227,2019-02-18,17.5,16.85,16.85,17.5,16.97,8995700
228,2019-02-19,17.6,16.9,17.5,16.95,16.44,3702110
229,2019-02-20,17.0,16.55,16.9,16.55,16.05,5377290
230,2019-02-21,16.8,16.35,16.5,16.45,15.95,4536990
231,2019-02-22,16.55,15.95,16.45,16.2,15.71,5677940
232,2019-02-25,16.5,16.2,16.2,16.4,15.9,2602170
233,2019-02-26,16.45,16.15,16.4,16.25,15.76,1775950
234,2019-02-27,16.5,16.25,16.25,16.4,15.9,1365590
235,2019-02-28,16.45,16.1,16.45,16.1,15.61,1692050
236,2019-03-01,16.7,16.05,16.1,16.7,16.2,2603830
237,2019-03-04,16.95,16.45,16.8,16.45,15.95,2024920
238,2019-03-05,17.1,16.45,16.6,16.8,16.29,3907610
239,2019-03-06,17.05,16.65,16.9,16.85,16.34,2818960
240,2019-03-07,17.0,16.7,16.9,16.95,16.44,1974070
241,2019-03-08,16.8,16.6,16.8,16.7,16.2,1326590
242,2019-03-11,16.7,16.15,16.7,16.35,15.86,2640560
243,2019-03-12,16.7,16.2,16.55,16.35,15.86,3179800
244,2019-03-13,16.75,16.5,16.7,16.5,16.0,2813120
245,2019-03-14,16.6,16.45,16.55,16.6,16.1,1749750
246,2019-03-15,16.6,16.3,16.6,16.3,15.81,1916450
247,2019-03-18,16.3,15.6,16.3,15.8,15.32,5694310
248,2019-03-19,16.1,15.5,15.8,15.55,15.08,2644790
249,2019-03-20,16.15,15.25,15.55,15.85,15.37,4660610
250,2019-03-21,16.0,15.3,15.95,15.3,14.84,2162840
251,2019-03-22,15.65,15.3,15.3,15.5,15.03,2211480
252,2019-03-25,15.25,14.85,15.1,14.9,14.45,3191830
253,2019-03-26,15.15,14.8,15.15,14.85,14.4,1539410
254,2019-03-27,15.55,15.0,15.0,15.4,14.93,3694310
255,2019-03-28,15.4,15.25,15.35,15.25,14.79,457770
256,2019-03-29,15.45,15.15,15.4,15.15,14.69,696560
257,2019-04-01,15.3,15.05,15.2,15.3,14.84,1403170
258,2019-04-02,15.55,15.3,15.5,15.3,14.84,2096660
259,2019-04-03,15.35,15.2,15.35,15.3,14.84,587910
260,2019-04-04,15.45,15.25,15.4,15.25,14.79,1308300
261,2019-04-05,15.55,15.25,15.4,15.4,14.93,2048190
262,2019-04-08,15.6,15.4,15.45,15.55,15.08,2362440
263,2019-04-09,15.65,15.25,15.65,15.25,14.79,999160
264,2019-04-10,15.25,15.0,15.25,15.05,14.6,1394870
265,2019-04-11,15.15,15.0,15.1,15.05,14.6,681090
266,2019-04-12,15.15,14.95,15.0,15.15,14.69,1660700
267,2019-04-16,15.05,14.9,15.05,15.0,14.55,671970
268,2019-04-17,15.1,14.65,15.1,14.65,14.21,1109360
269,2019-04-18,14.95,14.3,14.65,14.4,13.97,1997300
270,2019-04-19,14.6,13.95,14.4,14.1,13.67,2911730
271,2019-04-22,14.35,14.0,14.1,14.25,13.82,644070
272,2019-04-23,14.5,14.0,14.2,14.15,13.72,1585540
273,2019-04-24,14.5,14.1,14.2,14.5,14.06,1116670
274,2019-04-25,14.5,14.25,14.5,14.35,13.92,507830
275,2019-04-26,14.8,14.15,14.2,14.8,14.35,1125830
276,2019-05-02,14.85,14.6,14.8,14.65,14.21,741980
277,2019-05-03,14.7,14.55,14.65,14.6,14.16,548580
278,2019-05-06,14.4,14.1,14.2,14.25,13.82,719510
279,2019-05-07,14.35,13.9,14.25,13.9,13.48,1883430
280,2019-05-08,14.0,13.65,13.9,13.7,13.29,1830900
281,2019-05-09,13.9,13.3,13.85,13.5,13.09,2839890
282,2019-05-10,13.65,13.35,13.65,13.6,13.19,1510150
283,2019-05-13,14.3,13.8,13.8,14.25,13.82,3301340
284,2019-05-14,15.2,14.4,14.4,15.2,14.74,6562230
285,2019-05-15,15.95,15.45,15.75,15.5,15.03,4649060
286,2019-05-16,15.6,15.2,15.4,15.2,14.74,2305740
287,2019-05-17,15.65,15.25,15.3,15.45,14.98,3015910
288,2019-05-20,15.6,15.4,15.5,15.5,15.03,2300780
289,2019-05-21,15.6,15.35,15.5,15.4,14.93,2295150
290,2019-05-22,15.75,15.4,15.45,15.45,14.98,2668910
291,2019-05-23,15.5,15.3,15.35,15.5,15.03,1387530
292,2019-05-24,15.8,15.3,15.5,15.7,15.23,3290960
293,2019-05-27,15.95,15.7,15.8,15.8,15.32,2610430
294,2019-05-28,16.2,15.8,16.0,16.0,15.52,6265080
295,2019-05-29,15.9,15.7,15.8,15.7,15.23,2645380
296,2019-05-30,15.8,15.65,15.8,15.7,15.23,1021950
297,2019-05-31,15.7,15.25,15.7,15.25,14.79,1733870
298,2019-06-03,15.4,14.9,15.15,15.2,14.74,1182880
299,2019-06-04,15.6,15.2,15.2,15.5,15.03,1357300
300,2019-06-05,15.65,15.5,15.6,15.6,15.13,1931870
301,2019-06-06,15.75,15.5,15.6,15.75,15.27,1463300
302,2019-06-07,16.1,15.85,15.85,16.05,15.57,3716140
303,2019-06-10,16.4,16.05,16.3,16.1,15.61,4271550
304,2019-06-11,16.15,15.8,16.1,15.85,15.37,2070290
305,2019-06-12,15.85,15.65,15.85,15.75,15.27,2452200
306,2019-06-13,15.75,15.45,15.75,15.6,15.13,1845230
307,2019-06-14,15.75,15.4,15.4,15.6,15.13,750190
308,2019-06-17,16.0,15.7,15.95,15.95,15.47,7137680
309,2019-06-18,16.05,15.75,16.0,15.8,15.32,9947750
310,2019-06-19,15.9,15.65,15.65,15.65,15.18,2312490
311,2019-06-20,15.65,15.45,15.6,15.5,15.03,1217460
312,2019-06-21,15.7,15.3,15.4,15.4,14.93,37355780
313,2019-06-24,15.4,14.8,15.4,14.85,14.4,2920390
314,2019-06-25,15.2,14.75,14.85,14.85,14.4,2429410
315,2019-06-26,15.0,14.8,14.8,14.8,14.35,1519080
316,2019-06-27,14.85,14.4,14.45,14.45,14.01,1337780
317,2019-06-28,15.2,14.35,15.2,15.2,14.74,2710410
318,2019-07-01,15.1,14.9,15.0,15.0,14.55,1068100
319,2019-07-02,15.0,14.5,14.8,14.8,14.35,677980
320,2019-07-03,14.85,14.6,14.7,14.75,14.3,494650
321,2019-07-04,14.95,14.7,14.7,14.8,14.35,541380
322,2019-07-05,14.85,14.65,14.85,14.7,14.26,563140
323,2019-07-08,14.8,14.6,14.7,14.65,14.21,563020
324,2019-07-09,14.7,14.5,14.6,14.5,14.06,611750
325,2019-07-10,14.85,14.6,14.6,14.7,14.26,990310
326,2019-07-11,14.85,14.65,14.8,14.8,14.35,988150
327,2019-07-12,15.0,14.7,14.9,14.9,14.45,1071280
328,2019-07-15,14.9,14.7,14.9,14.7,14.26,585750
329,2019-07-16,14.8,14.6,14.7,14.6,14.16,1142270
330,2019-07-17,14.6,14.45,14.6,14.55,14.11,735250
331,2019-07-18,14.55,14.3,14.55,14.35,13.92,886370
332,2019-07-19,14.5,14.0,14.4,14.05,13.63,1377980
333,2019-07-22,14.4,13.9,14.1,14.0,13.58,1507590
334,2019-07-23,14.15,13.95,14.0,14.1,13.67,769390
335,2019-07-24,14.4,14.05,14.4,14.05,13.63,698410
336,2019-07-25,14.3,14.1,14.3,14.15,13.72,1064760
337,2019-07-26,14.4,14.15,14.3,14.15,13.72,948270
338,2019-07-29,14.3,13.95,14.25,14.05,13.63,785670
339,2019-07-30,14.1,13.8,14.05,13.8,13.38,1393240
340,2019-07-31,14.1,13.7,13.8,14.1,13.67,1087340
341,2019-08-01,14.25,13.8,14.2,13.9,13.48,1116990
342,2019-08-02,14.25,13.8,13.95,14.0,13.58,2041200
343,2019-08-05,14.35,13.9,14.05,13.9,13.48,1529800
344,2019-08-06,13.85,13.4,13.4,13.45,13.04,1577560
345,2019-08-07,13.8,13.35,13.4,13.4,13.0,2120610
346,2019-08-08,13.55,13.25,13.45,13.35,12.95,1407860
347,2019-08-09,13.6,13.4,13.55,13.45,13.04,1188030
348,2019-08-12,13.55,13.3,13.5,13.3,12.9,1058150
349,2019-08-13,13.35,12.75,13.3,12.9,12.51,4125640
350,2019-08-14,13.2,12.9,13.1,12.9,12.51,1316790
351,2019-08-15,12.9,12.6,12.65,12.8,12.41,900070
352,2019-08-16,13.0,12.8,12.8,12.9,12.51,1054600
353,2019-08-19,13.15,12.8,13.15,12.95,12.56,1137260
354,2019-08-20,13.05,12.9,12.95,12.95,12.56,1321310
355,2019-08-21,13.3,12.95,13.0,13.3,12.9,2833080
356,2019-08-22,13.45,13.25,13.4,13.25,12.85,1889590
357,2019-08-23,13.3,13.2,13.3,13.2,12.8,1174900
358,2019-08-26,13.2,12.9,13.0,12.9,12.51,1617060
359,2019-08-27,13.15,12.9,12.95,13.15,12.75,1789970
360,2019-08-28,13.2,12.9,13.15,12.9,12.51,730320
361,2019-08-29,13.0,12.8,13.0,12.8,12.41,773740
362,2019-08-30,13.0,12.85,12.95,12.9,12.51,309500
363,2019-09-03,13.0,12.85,13.0,12.9,12.51,324860
364,2019-09-04,12.95,12.8,13.0,12.9,12.51,278680
365,2019-09-05,12.95,12.8,12.9,12.85,12.46,404840
366,2019-09-06,12.95,12.8,12.95,12.8,12.41,230770
367,2019-09-09,12.9,12.6,12.95,12.6,12.22,628570
368,2019-09-10,12.75,12.3,12.6,12.3,11.93,763800
369,2019-09-11,12.4,12.1,12.3,12.2,11.83,559360
370,2019-09-12,12.65,12.2,12.2,12.4,12.03,720450
