,date,high,low,open,close,adjust,volume
0,20160901,12.6,8.4,8.4,12.6,9.55,153000
1,20160905,13.4,13.4,13.4,13.4,10.15,341000
2,20160906,14.3,14.2,14.3,14.3,10.83,865900
3,20160907,15.3,15.3,15.3,15.3,11.59,736700
4,20160908,16.3,16.3,16.3,16.3,12.35,1534310
5,20160909,17.4,17.4,17.4,17.4,13.18,1292310
6,20160912,18.6,18.6,18.6,18.6,14.09,1015850
7,20160913,19.9,19.8,19.9,19.9,15.08,1189770
8,20160914,21.25,21.2,21.25,21.25,16.1,825640
9,20160915,22.7,21.9,22.7,22.7,17.2,1626210
10,20160916,24.25,24.2,24.25,24.25,18.37,672750
11,20160919,25.9,25.85,25.9,25.9,19.62,805780
12,20160920,27.0,24.1,25.9,25.9,19.62,1371480
13,20160921,26.0,24.1,25.9,25.9,19.62,742590
14,20160922,25.9,24.35,24.6,24.6,18.64,20867480
15,20160923,26.3,23.1,23.1,25.0,18.94,40545290
16,20160926,26.3,25.0,26.0,26.1,19.77,40687395
17,20160927,27.9,26.1,26.1,27.9,21.14,576120
18,20160928,29.85,29.8,29.85,29.85,22.61,671210
19,20160929,31.9,30.25,30.25,31.9,24.17,1147630
20,20160930,34.1,34.0,34.1,34.1,25.83,471070
21,20161003,36.45,36.4,36.45,36.45,27.61,705760
22,20161004,39.0,38.95,39.0,39.0,29.54,779620
23,20161005,41.7,39.5,41.65,41.7,31.59,1194000
24,20161006,44.6,38.95,41.7,44.6,33.79,1059300
25,20161007,46.0,41.65,44.1,44.45,33.67,1260330
26,20161010,45.2,41.8,42.1,45.2,34.24,1346990
27,20161011,48.35,48.3,48.3,48.35,36.63,1084980
28,20161012,51.7,50.4,51.6,51.7,39.17,731430
29,20161013,51.8,48.1,51.7,50.1,37.95,1550830
30,20161014,53.6,50.1,50.1,53.6,40.6,936580
31,20161017,57.3,53.5,53.6,57.3,43.41,666140
32,20161018,57.0,53.8,57.0,55.5,42.04,871330
33,20161019,59.3,55.0,57.0,59.3,44.92,1331150
34,20161020,63.4,59.3,59.3,63.4,48.03,870930
35,20161021,67.8,59.4,63.0,67.8,51.36,1120160
36,20161024,72.0,64.4,64.9,67.5,51.13,1696690
37,20161025,72.2,68.0,68.0,72.2,54.7,952020
38,20161026,74.1,69.3,72.0,74.0,56.06,1536650
39,20161027,79.1,68.9,73.0,79.1,59.92,3125110
40,20161028,84.6,80.1,80.1,84.6,64.09,1212810
41,20161031,89.7,81.0,86.3,86.3,65.38,1890620
42,20161101,87.0,80.3,84.0,85.0,64.39,2116350
