,date,high,low,open,close,adjust,volume
0,20161206,132.0,132.0,132.0,132.0,122.07,3010
1,20161207,141.2,141.2,141.2,141.2,130.58,285330
2,20161208,151.0,151.0,151.0,151.0,139.64,1000
3,20161209,161.5,151.0,151.0,161.5,149.35,2889410
4,20161212,172.8,172.8,172.8,172.8,159.8,35690
5,20161213,184.8,184.8,184.8,184.8,170.9,96830
6,20161214,197.7,197.7,197.7,197.7,182.83,364380
7,20161215,211.5,210.0,211.5,211.5,195.59,380050
8,20161216,226.3,200.0,226.3,225.0,208.08,387520
9,20161219,225.0,212.0,212.0,212.0,196.05,168190
10,20161220,211.5,197.2,211.0,197.2,182.37,549710
11,20161221,203.5,185.0,197.2,200.8,185.7,291750
12,20161222,209.9,203.0,209.9,203.0,187.73,52460
13,20161223,203.0,197.1,203.0,200.0,184.96,54810
14,20161226,198.0,190.0,198.0,197.0,184.96,219870
15,20161227,199.8,193.1,197.0,198.0,185.89,69880
16,20161228,199.8,197.1,199.8,198.9,186.74,28530
17,20161229,198.0,193.0,198.0,197.0,184.96,98560
18,20161230,198.0,195.5,198.0,197.7,185.61,123740
19,20170103,197.7,195.9,197.0,197.0,184.96,563170
20,20170104,198.6,195.0,197.0,197.0,184.96,87490
21,20170105,198.0,196.0,197.0,197.1,185.05,27170
22,20170106,209.9,197.2,197.9,206.0,193.41,712390
23,20170109,208.0,205.0,206.0,205.0,192.47,31390
24,20170110,206.9,201.5,206.9,204.5,192.0,44540
25,20170111,210.0,202.0,204.0,210.0,197.16,228480
26,20170112,213.0,210.0,213.0,210.6,197.72,55290
27,20170113,212.2,210.6,210.7,211.8,198.85,37670
28,20170116,211.0,208.0,211.0,209.0,196.22,33890
29,20170117,217.4,208.1,208.5,216.5,203.26,143760
30,20170118,225.0,215.3,215.3,223.8,210.12,103480
31,20170119,225.0,220.0,225.0,223.8,210.12,40040
32,20170120,225.1,223.0,223.0,223.8,210.12,77940
33,20170123,223.8,220.5,223.8,222.0,208.43,44360
34,20170124,224.0,220.0,220.0,222.0,208.43,137100
35,20170125,223.8,220.0,222.0,223.8,210.12,18800
36,20170202,223.9,219.0,223.9,219.0,205.61,18560
37,20170203,222.9,216.4,217.4,217.0,203.73,51700
38,20170206,219.5,211.5,219.5,215.0,201.86,50070
39,20170207,220.0,213.0,215.0,216.0,202.79,1076580
40,20170208,217.0,215.0,216.0,215.3,202.14,36350
41,20170209,215.3,208.0,215.3,211.0,198.1,150070
42,20170210,214.0,211.0,211.0,213.2,200.17,285880
43,20170213,214.7,210.0,213.2,213.4,200.35,25240
44,20170214,216.9,213.1,213.4,216.0,202.79,72220
45,20170215,216.0,212.8,216.0,213.9,200.82,84300
46,20170216,216.0,214.0,214.0,215.4,202.23,44230
47,20170217,215.0,214.0,215.0,214.7,201.57,34430
48,20170220,218.0,213.2,213.3,218.0,204.67,163930
49,20170221,220.0,217.6,217.6,219.6,206.17,34930
50,20170222,224.5,219.5,219.5,224.3,210.59,176230
51,20170223,227.0,224.0,224.9,227.0,213.12,130020
52,20170224,230.0,226.0,228.0,227.0,213.12,107840
53,20170227,227.9,224.0,225.1,225.1,211.34,61270
54,20170228,226.2,225.1,225.5,225.1,211.34,50720
55,20170301,226.0,225.0,226.0,225.9,212.09,131540
56,20170302,227.0,219.2,227.0,224.9,211.15,30250
57,20170303,225.4,221.0,223.0,225.4,211.62,20670
58,20170306,225.5,222.0,225.0,224.5,210.77,32990
59,20170307,225.0,222.6,224.9,222.6,208.99,35720
60,20170308,222.6,218.4,222.6,218.9,205.52,14120
61,20170309,221.0,212.0,216.1,216.0,202.79,56450
62,20170310,216.0,211.0,211.0,211.0,198.1,17550
63,20170313,211.0,206.4,211.0,207.0,194.34,30560
64,20170314,217.0,203.2,207.0,214.0,200.92,54260
65,20170315,215.0,211.0,214.0,211.6,198.66,13250
66,20170316,214.0,205.5,211.6,212.9,199.88,7450
67,20170317,212.9,208.0,212.9,208.0,195.28,14250
68,20170320,209.9,208.0,208.0,209.0,196.22,7670
69,20170321,209.0,204.8,209.0,205.2,192.65,61100
70,20170322,205.9,200.5,205.2,203.0,190.59,42630
71,20170323,204.8,200.5,202.3,202.0,189.65,20840
72,20170324,202.1,199.1,202.0,200.0,187.77,101770
73,20170327,200.5,199.0,200.0,200.0,187.77,25830
74,20170328,202.0,199.0,201.0,199.0,186.83,255080
75,20170329,205.0,198.0,198.1,200.0,187.77,35850
76,20170330,202.0,200.0,200.0,202.0,189.65,46700
77,20170331,202.0,200.0,202.0,200.0,187.77,10830
78,20170403,201.9,200.0,200.0,200.4,188.15,100480
79,20170404,200.4,199.4,199.4,200.4,188.15,31070
80,20170405,203.0,200.6,202.5,203.0,190.59,24480
81,20170407,205.0,202.0,203.0,205.0,192.47,22080
82,20170410,209.0,203.9,204.0,209.0,196.22,41220
83,20170411,209.5,207.0,209.0,207.5,194.81,47920
84,20170412,207.5,203.0,207.0,203.0,190.59,7830
85,20170413,206.0,202.0,202.0,205.0,192.47,97520
86,20170414,206.9,202.5,206.9,204.0,191.53,24610
87,20170417,207.0,204.0,205.0,207.0,194.34,60990
88,20170418,206.0,203.5,206.0,205.0,192.47,49600
89,20170419,205.0,200.5,205.0,201.5,189.18,9950
90,20170420,201.5,200.0,201.5,200.0,187.77,23910
91,20170421,201.0,198.0,200.0,201.0,188.71,28730
92,20170424,201.5,200.0,201.0,200.0,187.77,54940
93,20170425,200.0,199.0,199.0,199.0,186.83,12720
94,20170426,200.5,199.0,199.5,200.5,188.24,15380
95,20170427,201.0,199.9,200.5,199.9,187.68,141870
96,20170428,200.0,198.0,199.9,199.9,187.68,7590
97,20170503,199.9,199.0,199.9,199.9,187.68,5880
98,20170504,199.9,198.3,199.9,199.0,186.83,39290
99,20170505,199.4,198.8,198.8,199.3,187.12,1140
100,20170508,199.5,199.0,199.5,199.0,186.83,38090
101,20170509,199.0,196.7,199.0,196.7,184.67,15040
102,20170510,199.0,196.5,196.5,196.8,184.77,7830
103,20170511,198.3,195.9,196.8,195.9,183.92,18710
104,20170512,197.9,196.0,196.0,196.5,184.49,7380
105,20170515,196.5,194.0,196.5,194.0,182.14,23710
106,20170516,194.0,191.1,194.0,191.1,179.42,8650
107,20170517,195.0,188.0,188.0,188.7,177.16,21820
108,20170518,190.0,188.8,188.8,189.9,178.29,8860
109,20170519,190.0,188.9,190.0,190.0,178.38,18730
110,20170522,192.0,189.5,190.0,190.4,178.76,68360
111,20170523,195.7,191.0,195.5,194.0,182.14,234300
112,20170524,194.0,190.3,194.0,191.0,179.32,38050
113,20170525,191.0,189.9,190.0,191.0,179.32,2047040
114,20170526,193.6,188.0,193.6,189.5,177.91,28150
115,20170529,190.5,189.5,189.5,190.0,178.38,249770
116,20170530,191.1,190.0,191.0,191.0,179.32,89970
117,20170531,191.1,189.1,190.2,189.1,177.54,1595970
118,20170601,191.2,189.2,189.2,190.0,178.38,71360
119,20170602,191.0,189.0,190.0,191.0,179.32,11640
120,20170605,191.0,190.0,190.2,191.0,179.32,21070
121,20170606,191.3,189.3,191.0,191.3,179.6,40210
122,20170607,191.9,190.0,191.3,191.9,180.17,32930
123,20170608,191.5,190.5,191.5,191.0,179.32,1840
124,20170609,192.0,189.2,189.2,191.0,179.32,7830
125,20170612,193.9,190.0,191.0,193.9,182.05,55930
126,20170613,194.9,192.5,194.9,194.9,182.98,19500
127,20170614,202.0,194.9,195.0,200.0,187.77,140190
128,20170615,202.0,200.0,202.0,200.0,187.77,13680
129,20170616,203.0,200.0,200.0,200.3,188.05,13430
130,20170619,201.0,200.0,201.0,201.0,188.71,47210
131,20170620,203.0,187.9,201.0,203.0,190.59,48670
132,20170621,204.9,202.0,203.0,204.9,192.37,19620
133,20170622,205.8,203.1,204.9,205.0,192.47,5890
134,20170623,206.9,204.3,204.8,206.9,194.25,36240
135,20170626,207.5,206.0,207.0,207.4,194.72,13630
136,20170627,208.0,206.5,207.4,207.4,194.72,36400
137,20170628,207.4,201.2,207.4,206.8,194.16,8280
138,20170629,207.5,202.1,206.8,206.5,193.88,66380
139,20170630,209.0,206.5,206.5,208.3,195.56,81400
140,20170703,210.5,204.0,210.0,210.0,197.16,100930
141,20170704,210.9,205.0,205.0,210.9,198.01,99930
142,20170705,210.0,209.0,209.0,210.0,197.16,8580
143,20170706,210.0,207.6,210.0,210.0,197.16,5360
144,20170707,210.1,208.6,210.0,210.0,197.16,11440
145,20170710,210.4,209.0,210.0,210.0,197.16,65040
146,20170711,210.9,209.5,210.0,210.5,197.63,151430
147,20170712,211.5,210.0,211.1,210.2,197.35,9580
148,20170713,210.5,208.5,210.0,210.5,197.63,44270
149,20170714,211.8,211.0,211.5,211.5,198.57,50680
150,20170717,222.0,212.0,212.0,219.5,206.08,44950
151,20170718,228.0,221.0,223.0,226.0,212.18,117890
152,20170719,236.0,227.0,227.9,232.1,217.91,171600
153,20170720,235.0,226.0,232.1,234.0,219.69,93230
154,20170721,237.5,232.0,234.0,235.5,221.1,117590
155,20170724,236.4,224.0,235.5,235.5,221.1,264440
156,20170725,236.0,232.8,235.0,235.5,221.1,19390
157,20170726,236.0,219.4,236.0,235.2,220.82,286840
158,20170727,235.4,230.0,230.0,235.2,220.82,25440
159,20170728,235.5,231.1,235.0,235.5,221.1,15600
160,20170731,236.9,232.0,232.0,236.9,222.42,95520
161,20170801,244.9,238.0,240.0,244.9,229.93,107380
162,20170802,245.5,240.5,244.9,245.4,230.4,14340
163,20170803,245.8,243.1,245.0,245.0,230.02,5910
164,20170804,245.8,240.5,245.8,245.8,230.77,15550
165,20170807,263.0,245.0,245.0,249.1,233.87,183620
166,20170808,258.5,249.1,258.5,253.0,237.53,141220
167,20170809,259.5,242.0,252.0,242.0,227.2,61800
168,20170810,250.5,242.5,249.0,249.0,233.78,19570
169,20170811,250.5,245.1,249.0,248.0,232.84,25140
170,20170814,249.9,244.0,246.1,244.0,229.08,25970
171,20170815,245.9,237.0,245.9,242.9,228.05,80350
