,date,high,low,open,close,adjust,volume
0,2016-01-04,22.3,21.7,21.7,21.7,14.99,832410
1,2016-01-05,21.7,20.9,21.3,20.9,14.44,2280930
2,2016-01-06,21.3,20.7,21.2,20.9,14.44,1278950
3,2016-01-07,20.9,20.1,20.9,20.3,14.02,2847940
4,2016-01-08,20.2,19.7,20.2,19.8,13.68,2369240
5,2016-01-11,20.3,19.8,20.0,19.9,13.75,2644860
6,2016-01-12,20.7,20.0,20.0,20.7,14.3,2131760
7,2016-01-13,21.2,20.4,20.9,20.7,14.3,1721020
8,2016-01-14,20.5,19.8,20.4,20.2,13.95,3267060
9,2016-01-15,20.3,19.8,20.2,19.8,13.68,2085960
10,2016-01-18,19.5,18.6,19.1,19.1,13.19,4832670
11,2016-01-19,19.5,19.1,19.1,19.3,13.33,2315540
12,2016-01-20,19.5,19.1,19.4,19.2,13.26,1839520
13,2016-01-21,19.4,18.9,19.0,19.0,13.12,2249060
14,2016-01-22,19.6,19.0,19.4,19.6,13.54,2494970
15,2016-01-25,20.9,19.9,20.0,20.9,14.44,4101660
16,2016-01-26,20.7,20.1,20.3,20.3,14.02,1832860
17,2016-01-27,20.8,20.5,20.5,20.5,14.16,1387190
18,2016-01-28,20.7,20.3,20.5,20.3,14.02,1534940
19,2016-01-29,20.6,20.2,20.3,20.5,14.16,1215980
20,2016-02-01,20.7,20.3,20.6,20.3,14.02,1562130
21,2016-02-02,20.4,20.1,20.1,20.3,14.02,1218740
22,2016-02-03,20.5,20.0,20.1,20.4,14.09,1113320
23,2016-02-04,20.7,20.4,20.4,20.6,14.23,1418510
24,2016-02-05,21.3,20.5,20.6,21.0,14.51,4126490
25,2016-02-15,21.0,20.6,20.7,20.8,14.37,2791950
26,2016-02-16,21.0,20.8,20.8,20.9,14.44,1705150
27,2016-02-17,21.4,20.9,20.9,21.0,14.51,3541920
28,2016-02-18,21.2,20.9,20.9,21.2,14.64,1917220
29,2016-02-19,21.4,21.1,21.2,21.2,14.64,1886420
30,2016-02-22,22.3,21.1,21.3,22.3,15.4,5858100
31,2016-02-23,23.0,22.3,22.7,22.4,15.47,4567270
32,2016-02-24,23.0,22.2,22.2,22.8,15.75,3131860
33,2016-02-25,22.9,22.3,22.8,22.4,15.47,4508900
34,2016-02-26,22.7,22.3,22.5,22.5,15.54,2013460
35,2016-02-29,22.8,22.5,22.5,22.5,15.54,1766130
36,2016-03-01,22.9,22.5,22.5,22.7,15.68,2365530
37,2016-03-02,23.3,22.8,22.8,23.2,16.03,5134030
38,2016-03-03,23.4,22.9,23.1,23.1,15.96,3356240
39,2016-03-04,23.1,22.8,23.0,22.8,15.75,2761180
40,2016-03-07,23.0,22.7,22.7,22.7,15.68,2584800
41,2016-03-08,22.8,22.4,22.7,22.4,15.47,2719170
42,2016-03-09,22.6,22.3,22.4,22.5,15.54,1487850
43,2016-03-10,23.0,22.5,22.5,22.9,15.82,2111220
44,2016-03-11,23.0,22.7,22.9,22.8,15.75,2197080
45,2016-03-14,22.9,22.6,22.9,22.7,15.68,2721160
46,2016-03-15,22.8,22.4,22.7,22.5,15.54,2460410
47,2016-03-16,22.6,22.3,22.5,22.3,15.4,1566050
48,2016-03-17,22.6,22.2,22.2,22.2,15.33,1671800
49,2016-03-18,22.4,22.0,22.3,22.0,15.2,7234410
50,2016-03-21,22.4,22.0,22.2,22.0,15.2,1879070
51,2016-03-22,22.1,21.6,22.0,21.6,14.92,1893670
52,2016-03-23,21.8,21.5,21.6,21.7,14.99,2866260
53,2016-03-24,22.3,21.6,21.7,21.8,15.06,4616260
54,2016-03-25,22.0,21.4,21.8,21.6,14.92,1686730
55,2016-03-28,21.7,21.5,21.7,21.6,14.92,1834420
56,2016-03-29,21.6,20.9,21.6,21.1,14.57,4917880
57,2016-03-30,21.5,21.0,21.0,21.3,14.71,2057640
58,2016-03-31,21.5,21.0,21.3,21.1,14.57,4373320
59,2016-04-01,21.3,20.9,21.1,21.2,14.64,1877190
60,2016-04-04,21.4,21.0,21.2,21.3,14.71,1364350
61,2016-04-05,21.7,21.3,21.3,21.7,14.99,1810570
62,2016-04-06,21.9,21.7,21.7,21.8,15.06,2098090
63,2016-04-07,22.1,21.8,21.9,21.9,15.13,3163780
64,2016-04-08,22.0,21.7,21.8,21.7,14.99,2995720
65,2016-04-11,22.1,21.7,21.7,21.9,15.13,2814310
66,2016-04-12,22.0,21.8,21.9,21.8,15.06,2195110
67,2016-04-13,21.9,21.6,21.7,21.7,14.99,2497940
68,2016-04-14,21.9,21.6,21.7,21.7,14.99,2699110
69,2016-04-15,22.0,21.6,21.8,21.6,14.92,2070590
