,date,high,low,open,close,adjust,volume
0,20160104,12.8,12.3,12.6,12.6,12.6,1127820
1,20160105,12.6,12.3,12.6,12.3,12.3,332490
2,20160106,12.9,12.4,12.4,12.8,12.8,1267100
3,20160107,12.8,12.4,12.7,12.6,12.6,835460
4,20160108,12.7,12.3,12.6,12.6,12.6,452540
5,20160111,12.7,12.3,12.6,12.3,12.3,470190
6,20160112,12.5,12.2,12.4,12.5,12.5,229760
7,20160113,12.6,12.3,12.5,12.4,12.4,158620
8,20160114,12.2,11.8,11.9,11.9,11.9,493350
9,20160115,11.9,11.1,11.8,11.1,11.1,1422060
10,20160118,11.1,10.6,10.6,10.7,10.7,591700
11,20160119,11.3,10.8,10.8,11.2,11.2,308310
12,20160120,11.3,10.9,11.2,10.9,10.9,1755010
13,20160121,11.3,10.6,10.6,10.6,10.6,736540
14,20160122,10.9,10.6,10.8,10.9,10.9,1205340
15,20160125,11.6,10.9,10.9,11.6,11.6,494380
16,20160126,11.4,11.1,11.3,11.1,11.1,433640
17,20160127,11.5,11.2,11.3,11.2,11.2,300190
18,20160128,11.7,11.2,11.2,11.3,11.3,201130
19,20160129,11.5,11.2,11.3,11.3,11.3,788920
20,20160201,11.4,11.2,11.3,11.2,11.2,323240
21,20160202,11.3,11.1,11.2,11.1,11.1,153230
22,20160203,11.1,10.9,11.1,11.1,11.1,362660
23,20160204,11.2,11.0,11.1,11.2,11.2,274830
24,20160205,11.2,11.1,11.2,11.2,11.2,333120
25,20160215,11.2,10.8,11.0,11.0,11.0,582470
26,20160216,11.0,10.9,10.9,10.9,10.9,716690
27,20160217,10.9,10.6,10.9,10.6,10.6,1636020
28,20160218,11.1,10.6,10.6,11.0,11.0,697250
29,20160219,11.1,10.8,10.8,11.0,11.0,905540
30,20160222,11.0,10.8,10.9,10.8,10.8,876220
31,20160223,11.0,10.8,10.9,10.9,10.9,1625310
32,20160224,11.4,10.8,10.8,11.2,11.2,1355180
33,20160225,11.4,11.0,11.3,11.1,11.1,540620
34,20160226,11.2,11.0,11.1,11.2,11.2,278100
35,20160229,11.2,11.0,11.2,11.0,11.0,469130
36,20160301,11.1,10.9,11.0,10.9,10.9,898350
37,20160302,11.1,10.9,11.0,11.1,11.1,425700
38,20160303,11.2,11.0,11.0,11.0,11.0,226030
39,20160304,11.1,10.9,11.0,11.0,11.0,423300
40,20160307,11.0,10.9,11.0,11.0,11.0,420860
41,20160308,11.0,10.9,10.9,10.9,10.9,371220
42,20160309,11.0,10.8,11.0,10.9,10.9,227820
43,20160310,11.0,10.8,10.9,10.9,10.9,130410
44,20160311,11.0,10.8,10.9,11.0,11.0,113110
45,20160314,11.0,10.8,11.0,11.0,11.0,219320
46,20160315,10.9,10.8,10.9,10.8,10.8,424580
47,20160316,10.8,10.7,10.8,10.7,10.7,653840
48,20160317,10.9,10.8,10.8,10.8,10.8,335970
49,20160318,10.9,10.4,10.8,10.4,10.4,6765150
50,20160321,10.7,10.6,10.6,10.6,10.6,298810
51,20160322,10.7,10.5,10.7,10.6,10.6,385610
52,20160323,10.6,10.4,10.5,10.6,10.6,1072500
53,20160324,10.6,10.3,10.5,10.3,10.3,1204500
54,20160325,10.4,10.3,10.4,10.4,10.4,467990
55,20160328,10.5,10.3,10.4,10.3,10.3,383970
56,20160329,10.4,10.1,10.3,10.1,10.1,3273120
57,20160330,10.4,10.1,10.1,10.3,10.3,1004270
58,20160331,10.4,10.1,10.2,10.3,10.3,2064550
59,20160401,10.3,10.1,10.3,10.3,10.3,551560
60,20160404,10.3,10.1,10.3,10.3,10.3,663610
61,20160405,10.3,10.1,10.2,10.2,10.2,351880
62,20160406,10.3,10.1,10.2,10.3,10.3,570660
63,20160407,10.3,10.1,10.3,10.1,10.1,623360
64,20160408,10.2,10.1,10.2,10.1,10.1,417320
65,20160411,10.2,10.0,10.1,10.1,10.1,551250
