,date,high,low,open,close,adjust,volume
0,20180604,105.0,102.4,102.4,102.4,34.13,2811840
1,20180605,106.0,96.0,99.1,96.0,32.0,1689500
2,20180606,96.0,91.0,95.0,92.0,30.66,1901680
3,20180607,98.4,93.1,94.5,98.4,32.8,1476540
4,20180608,105.2,99.5,101.0,105.2,35.06,2008500
5,20180611,109.0,103.2,104.8,109.0,36.33,1229830
6,20180612,108.0,102.9,108.0,105.0,35.0,1183630
7,20180613,108.0,104.5,105.0,105.4,35.13,888330
8,20180614,106.5,103.5,106.5,105.0,35.0,792130
9,20180615,105.5,103.5,105.5,105.2,35.06,2558933
10,20180618,105.0,98.0,104.1,100.0,33.33,2042807
11,20180619,97.0,93.0,95.1,95.0,31.66,4201720
12,20180620,96.5,93.1,95.0,95.2,31.73,576870
13,20180621,95.4,93.3,95.4,95.2,31.73,497790
14,20180622,95.1,93.6,95.1,95.0,31.66,328710
15,20180625,97.0,95.7,96.0,95.9,31.96,1099340
16,20180626,95.5,94.2,94.4,95.0,31.66,493790
17,20180627,95.0,93.5,93.5,93.6,31.2,394860
18,20180628,93.5,88.5,93.0,92.2,30.73,1408230
19,20180629,92.0,87.0,91.0,91.7,30.56,1755000
20,20180702,91.8,87.0,91.8,87.9,29.3,669570
21,20180703,88.3,81.8,87.5,81.8,27.26,3076612
22,20180704,81.0,76.1,80.5,81.0,27.0,2095767
23,20180705,28.85,27.0,28.85,28.15,28.15,1583450
24,20180706,29.0,27.0,28.0,28.8,28.8,1160990
25,20180709,29.2,27.85,29.0,28.5,28.5,693900
26,20180710,28.5,27.5,28.5,27.65,27.65,549100
27,20180711,27.1,25.75,27.1,25.75,25.75,1614570
28,20180712,26.0,25.1,26.0,26.0,26.0,854080
29,20180713,26.5,26.0,26.4,26.2,26.2,428900
30,20180716,26.2,25.75,26.0,26.2,26.2,430160
31,20180717,27.5,25.7,26.2,27.1,27.1,1174520
32,20180718,28.5,27.3,27.5,27.95,27.95,1139340
33,20180719,28.0,27.5,28.0,27.9,27.9,708430
34,20180720,27.9,27.2,27.9,27.9,27.9,1518190
35,20180723,27.85,26.6,26.6,26.6,26.6,920690
36,20180724,27.5,26.3,27.0,26.4,26.4,1019120
37,20180725,26.85,24.9,26.8,26.75,26.75,4238010
38,20180726,26.25,25.5,26.0,25.8,25.8,777430
39,20180727,26.2,25.6,25.8,25.95,25.95,3207660
40,20180730,26.2,25.9,25.95,26.1,26.1,1549238
41,20180731,27.9,26.0,26.15,27.8,27.8,4690660
42,20180801,28.65,27.15,27.9,27.55,27.55,2114620
43,20180802,28.5,27.0,27.3,28.5,28.5,6682490
44,20180803,28.9,28.0,28.6,28.35,28.35,12058140
45,20180806,28.3,27.8,28.0,28.0,28.0,1499320
46,20180807,28.2,27.4,27.75,27.95,27.95,1720400
47,20180808,28.15,27.4,28.15,27.75,27.75,1406450
48,20180809,28.3,27.4,27.9,27.4,27.4,2382410
49,20180810,27.7,26.4,27.4,27.2,27.2,2793581
50,20180813,27.65,26.8,27.0,27.45,27.45,1492300
51,20180814,27.5,27.0,27.5,27.2,27.2,1410590
52,20180815,27.2,26.5,27.0,26.5,26.5,1134510
53,20180816,26.9,25.95,26.5,26.5,26.5,2176340
54,20180817,26.9,26.5,26.5,26.5,26.5,2681890
55,20180820,26.7,25.9,26.7,26.5,26.5,925307
56,20180821,26.65,26.25,26.5,26.5,26.5,904270
57,20180822,27.4,26.55,26.7,26.65,26.65,1386850
58,20180823,27.15,26.65,27.0,26.75,26.75,1165060
59,20180824,26.95,26.5,26.75,26.6,26.6,847010
60,20180827,26.85,26.5,26.6,26.5,26.5,1518390
61,20180828,26.8,26.2,26.6,26.25,26.25,1700740
62,20180829,26.35,26.1,26.25,26.15,26.15,778240
63,20180830,26.3,26.05,26.15,26.3,26.3,1052840
64,20180831,26.85,26.3,26.3,26.3,26.3,1780530
65,20180904,26.6,26.05,26.3,26.1,26.1,2326610
66,20180905,26.25,25.75,26.1,25.8,25.8,9499462
67,20180906,25.9,24.8,25.8,24.8,24.8,2933180
68,20180907,25.3,24.9,25.0,25.25,25.25,3157300
69,20180910,25.5,25.0,25.4,25.5,25.5,1797720
70,20180911,25.5,25.3,25.45,25.4,25.4,1680150
71,20180912,25.55,25.0,25.5,25.0,25.0,1495990
72,20180913,25.4,25.0,25.0,25.2,25.2,2545220
73,20180914,25.4,25.15,25.2,25.25,25.25,1443360
74,20180917,27.0,25.15,25.25,26.05,26.05,2714630
75,20180918,26.15,25.55,26.05,26.15,26.15,1059520
76,20180919,27.05,26.2,26.2,26.6,26.6,2967740
77,20180920,28.0,26.6,26.6,28.0,28.0,5806380
78,20180921,28.45,27.8,28.0,28.3,28.3,4039160
79,20180924,28.45,27.95,28.3,28.1,28.1,2213810
80,20180925,28.2,27.8,28.0,28.0,28.0,2261840
81,20180926,29.35,27.8,28.0,28.9,28.9,4516320
82,20180927,29.65,29.15,29.4,29.4,29.4,4193300
83,20180928,29.65,29.0,29.5,29.15,29.15,4443650
84,20181001,29.25,28.6,29.15,28.65,28.65,3316100
85,20181002,29.4,28.6,28.6,29.1,29.1,3639750
86,20181003,29.5,29.15,29.4,29.35,29.35,1405830
87,20181004,30.2,29.35,29.5,30.2,30.2,4223880
88,20181005,30.25,29.75,30.1,29.8,29.8,3156560
89,20181008,29.75,29.1,29.1,29.35,29.35,2449230
90,20181009,29.75,29.15,29.4,29.75,29.75,2656380
91,20181010,30.1,29.65,29.8,29.7,29.7,1689250
92,20181011,29.1,27.7,27.85,27.85,27.85,5361270
93,20181012,28.8,27.3,27.85,28.7,28.7,2554290
94,20181015,28.75,28.0,28.7,28.2,28.2,2085500
95,20181016,28.9,28.15,28.15,28.7,28.7,1420050
96,20181017,29.3,28.95,29.1,29.1,29.1,2385680
97,20181018,29.1,28.7,28.8,28.9,28.9,1487880
98,20181019,29.0,28.1,28.4,29.0,29.0,1454000
99,20181022,29.2,28.8,29.0,28.8,28.8,2026290
100,20181023,28.8,26.8,28.8,27.8,27.8,2307530
101,20181024,28.0,26.5,27.9,26.5,26.5,1805430
102,20181025,26.3,25.1,25.2,26.1,26.1,2481080
103,20181026,26.9,25.5,26.9,25.85,25.85,1747390
104,20181029,26.0,25.5,25.8,25.7,25.7,8140406
105,20181030,26.1,25.6,25.7,25.8,25.8,1327540
106,20181031,26.9,26.1,26.1,26.9,26.9,1363970
107,20181101,26.95,26.1,26.95,26.1,26.1,802870
108,20181102,26.95,26.2,26.6,26.6,26.6,5938790
109,20181105,26.95,26.5,26.7,26.85,26.85,920120
110,20181106,27.4,26.75,27.4,26.95,26.95,1174180
111,20181107,27.2,26.7,26.7,27.0,27.0,1180500
112,20181108,27.5,26.95,27.5,27.0,27.0,710570
113,20181109,26.95,26.35,26.85,26.35,26.35,1110990
114,20181112,26.5,25.85,26.3,26.3,26.3,784460
115,20181113,26.0,25.7,25.7,25.75,25.75,26794800
116,20181114,26.0,25.15,25.6,25.25,25.25,1717990
117,20181115,25.55,25.05,25.25,25.25,25.25,971850
118,20181116,26.4,25.45,25.5,25.7,25.7,817780
119,20181119,26.7,25.7,25.7,26.5,26.5,1754860
120,20181120,26.55,26.1,26.3,26.4,26.4,1574530
121,20181121,26.8,25.9,26.0,26.5,26.5,4318520
122,20181122,26.9,24.65,26.9,26.5,26.5,925350
123,20181123,26.6,26.1,26.5,26.1,26.1,643390
124,20181126,26.45,25.95,26.0,25.95,25.95,1195560
125,20181127,26.5,25.95,26.3,26.0,26.0,1377370
126,20181128,26.15,25.9,26.0,26.15,26.15,668970
127,20181129,26.6,26.05,26.45,26.05,26.05,1625000
128,20181130,26.3,26.0,26.25,26.05,26.05,635260
129,20181203,27.2,26.3,26.5,27.2,27.2,27059840
130,20181204,27.95,27.2,27.2,27.8,27.8,23430160
131,20181205,28.3,27.3,27.5,28.0,28.0,25870000
132,20181206,28.45,27.9,28.0,28.15,28.15,4677170
133,20181207,28.5,27.8,28.2,28.0,28.0,25838370
134,20181210,28.35,27.7,27.9,28.25,28.25,57934728
135,20181211,28.5,28.1,28.35,28.3,28.3,26941470
136,20181212,28.9,28.3,28.5,28.9,28.9,27598430
137,20181213,29.15,28.7,29.0,28.7,28.7,5443500
138,20181214,28.8,28.5,28.5,28.65,28.65,52663700
139,20181217,28.5,27.4,28.3,27.4,27.4,23025920
140,20181218,27.5,26.7,27.0,27.5,27.5,3565390
141,20181219,27.5,26.95,27.4,27.5,27.5,23206610
142,20181220,27.7,27.1,27.2,27.25,27.25,1096130
143,20181221,27.3,26.7,27.0,27.3,27.3,27123860
144,20181224,27.4,26.9,27.3,26.9,26.9,1521770
145,20181225,26.55,25.8,26.2,26.4,26.4,3944540
146,20181226,26.6,25.95,26.3,26.0,26.0,5244280
147,20181227,26.65,26.05,26.5,26.05,26.05,3986550
148,20181228,26.3,25.85,26.3,25.85,25.85,3591280
149,20190102,26.05,25.6,25.6,25.6,25.6,1429030
150,20190103,25.75,25.0,25.7,25.0,25.0,1867580
151,20190104,25.0,23.25,25.0,24.95,24.95,3047830
152,20190107,25.5,25.1,25.15,25.1,25.1,1603430
153,20190108,25.2,25.05,25.15,25.1,25.1,843170
154,20190109,26.0,25.1,25.2,25.8,25.8,3499530
155,20190110,25.95,25.75,25.8,25.8,25.8,1664380
156,20190111,26.3,25.85,25.85,26.0,26.0,2378461
157,20190114,26.05,25.75,25.9,25.85,25.85,3602420
158,20190115,26.5,25.85,25.85,26.5,26.5,3794550
159,20190116,26.75,26.45,26.5,26.5,26.5,3047580
160,20190117,26.85,26.4,26.5,26.65,26.65,3119980
161,20190118,26.95,26.5,26.8,26.75,26.75,1638890
162,20190121,27.5,26.9,26.9,27.4,27.4,2096730
163,20190122,27.6,26.8,27.6,26.8,26.8,2513670
164,20190123,26.9,26.55,26.9,26.55,26.55,3619900
165,20190124,26.85,26.45,26.7,26.65,26.65,3041670
166,20190125,27.25,26.65,26.95,26.65,26.65,2785030
167,20190128,26.8,26.05,26.75,26.2,26.2,1864000
168,20190129,26.5,25.9,26.2,26.5,26.5,3489019
169,20190130,26.7,26.3,26.5,26.6,26.6,2117170
170,20190131,26.6,26.3,26.6,26.5,26.5,2628160
171,20190201,27.2,26.3,26.5,27.2,27.2,9859690
172,20190211,27.3,26.8,27.0,27.05,27.05,4034660
173,20190212,27.65,26.95,27.15,27.45,27.45,5957590
174,20190213,27.75,27.4,27.45,27.55,27.55,8019920
175,20190214,27.6,27.25,27.5,27.3,27.3,2290940
176,20190215,27.65,27.1,27.2,27.25,27.25,3376380
177,20190218,27.55,27.25,27.3,27.35,27.35,2160450
178,20190219,28.2,27.4,27.4,27.55,27.55,7850600
179,20190220,27.8,27.45,27.65,27.55,27.55,2760520
180,20190221,27.7,27.3,27.6,27.5,27.5,2102120
181,20190222,28.0,27.4,27.5,27.7,27.7,6443060
182,20190225,28.0,27.7,27.9,27.75,27.75,4039400
183,20190226,27.85,27.25,27.7,27.45,27.45,3078620
184,20190227,27.5,27.05,27.45,27.2,27.2,4957000
185,20190228,27.2,26.4,27.1,26.5,26.5,4845650
186,20190301,26.85,26.4,26.6,26.6,26.6,2476680
187,20190304,27.1,26.7,26.7,27.0,27.0,2834780
188,20190305,27.2,26.7,26.85,26.8,26.8,3357790
189,20190306,26.9,26.65,26.8,26.8,26.8,1004950
190,20190307,27.05,26.75,26.75,26.75,26.75,1428410
191,20190308,26.65,26.25,26.55,26.25,26.25,2892590
192,20190311,26.5,26.25,26.5,26.3,26.3,894870
193,20190312,26.8,26.25,26.6,26.8,26.8,5784510
194,20190313,27.55,26.9,26.9,27.15,27.15,7701600
195,20190314,27.25,26.9,27.2,26.9,26.9,5931040
196,20190315,27.2,26.75,26.9,26.85,26.85,1750100
197,20190318,27.25,26.8,26.95,27.05,27.05,11080770
198,20190319,27.2,26.7,27.05,26.75,26.75,2578600
199,20190320,26.75,26.4,26.75,26.6,26.6,20949820
200,20190321,26.75,26.1,26.75,26.1,26.1,2858380
201,20190322,26.3,25.95,26.15,26.1,26.1,3214920
202,20190325,25.9,25.45,25.5,25.6,25.6,6267651
