,date,high,low,open,close,adjust,volume
0,20160104,44.0,42.6,43.2,43.2,29.8,761750
1,20160105,43.4,42.4,42.9,42.5,29.32,1133260
2,20160106,43.2,42.5,42.5,43.0,29.66,794470
3,20160107,42.9,42.0,42.8,42.5,29.32,935460
4,20160108,42.6,41.7,42.3,42.2,29.11,676340
5,20160111,42.4,41.8,42.2,41.9,28.91,742390
6,20160112,42.7,42.0,42.0,42.7,29.46,481040
7,20160113,42.9,42.3,42.8,42.3,29.18,448800
8,20160114,42.2,41.5,41.8,41.8,28.84,691380
9,20160115,42.0,40.6,41.8,40.6,28.01,1065880
10,20160118,40.0,38.0,39.5,38.6,26.63,1614080
11,20160119,40.4,38.6,38.6,40.3,27.8,851340
12,20160120,41.0,39.5,40.0,40.0,27.59,923810
13,20160121,40.0,39.1,39.4,39.4,27.18,754740
14,20160122,40.1,38.6,40.0,39.6,27.32,1077540
15,20160125,41.9,40.0,40.0,41.7,28.77,1572810
16,20160126,41.3,40.3,40.5,40.6,28.01,656340
17,20160127,41.3,40.5,41.3,40.5,27.94,582060
18,20160128,40.8,40.3,40.3,40.5,27.94,562170
19,20160129,41.4,40.3,40.5,41.4,28.56,1019250
20,20160201,41.5,40.7,41.4,40.7,28.08,792430
21,20160202,40.8,40.3,40.4,40.4,27.87,1167390
22,20160203,40.0,39.3,40.0,39.6,27.32,802180
23,20160204,40.6,40.0,40.0,40.0,27.59,686750
24,20160205,40.4,39.6,39.6,40.1,27.66,630300
25,20160215,40.6,39.4,39.8,40.3,27.8,800790
26,20160216,40.8,40.1,40.1,40.3,27.8,570050
27,20160217,40.6,39.8,40.3,39.8,27.46,827530
28,20160218,40.9,39.9,40.0,40.3,27.8,735780
29,20160219,40.6,40.1,40.6,40.1,27.66,473670
30,20160222,40.5,40.0,40.1,40.4,27.87,653090
31,20160223,41.6,40.7,40.7,41.0,28.28,1402160
32,20160224,43.0,40.7,41.0,42.3,29.18,1653800
33,20160225,43.0,41.6,42.5,41.8,28.84,1336220
34,20160226,42.0,41.3,42.0,42.0,28.97,493160
35,20160229,42.0,41.0,41.8,41.0,28.28,887030
36,20160301,41.5,40.7,41.0,40.7,28.08,849900
37,20160302,41.9,41.0,41.1,41.7,28.77,647420
38,20160303,42.1,41.5,41.6,41.6,28.7,464550
39,20160304,42.5,41.5,41.6,41.8,28.84,681190
40,20160307,42.2,41.7,41.8,41.8,28.84,567700
41,20160308,42.0,41.4,41.8,41.6,28.7,775770
42,20160309,41.9,41.3,41.7,41.4,28.56,469530
43,20160310,41.7,41.0,41.5,41.6,28.7,643780
44,20160311,41.9,41.5,41.8,41.6,28.7,510750
45,20160314,41.7,41.3,41.7,41.7,28.77,1207110
46,20160315,42.1,41.5,41.5,42.0,28.97,1294120
47,20160316,43.5,42.1,42.1,43.2,29.8,2023200
48,20160317,43.7,42.7,42.7,42.7,29.46,1074970
49,20160318,42.8,42.2,42.6,42.5,29.32,3546350
50,20160321,43.9,42.8,43.3,42.9,29.6,1862820
51,20160322,43.3,42.8,43.0,43.3,29.87,592130
52,20160323,43.3,42.8,43.3,42.9,29.6,645700
