,date,high,low,open,close,adjust,volume
0,20180517,110.5,110.5,110.5,110.5,87.35,18000
1,20180518,110.5,110.5,110.5,110.5,87.35,267800000
2,20180521,110.5,110.5,110.5,110.5,87.35,0
3,20180522,118.2,118.2,118.2,118.2,93.43,20
4,20180523,114.5,110.0,114.5,110.3,87.19,5323880
5,20180524,114.8,110.1,110.8,114.5,90.51,2587240
6,20180525,119.9,114.5,114.8,117.5,92.88,2099720
7,20180528,118.0,111.0,111.0,117.0,92.49,3053960
8,20180529,117.2,113.1,117.0,116.0,91.7,1684320
9,20180530,117.0,113.0,116.0,117.0,92.49,2448260
10,20180531,117.5,115.1,117.0,115.1,90.98,1178690
11,20180601,117.5,114.5,115.1,116.5,92.09,1103870
12,20180604,117.9,115.5,116.0,117.9,93.2,1858630
13,20180605,119.0,117.0,117.9,118.0,93.28,1699890
14,20180606,120.9,117.0,117.5,120.0,94.86,997740
15,20180607,122.0,111.6,122.0,120.0,94.86,1217210
16,20180608,120.9,117.5,120.0,120.0,94.86,462940
17,20180611,120.8,119.0,120.8,120.0,94.86,925790
18,20180612,120.0,117.0,120.0,118.0,93.28,1216310
19,20180613,118.4,117.6,118.0,118.0,93.28,289590
20,20180614,118.5,116.3,118.0,117.0,92.49,644230
21,20180615,117.7,116.5,117.7,116.5,92.09,213150
22,20180618,118.0,116.0,116.5,116.5,92.09,626280
23,20180619,116.5,114.7,116.5,115.0,90.91,1370730
24,20180620,116.0,107.1,107.1,115.0,90.91,613980
25,20180621,115.1,114.0,115.0,115.0,90.91,117280
26,20180622,115.0,114.0,115.0,114.2,90.27,83230
27,20180625,115.9,114.2,114.2,115.5,91.3,214260
28,20180626,115.5,114.1,115.5,115.0,90.91,112440
29,20180627,114.1,110.0,112.5,110.0,86.95,305740
30,20180628,113.0,108.0,110.0,110.0,86.95,230920
31,20180629,113.0,108.5,113.0,112.4,88.85,707420
32,20180702,112.5,110.0,112.5,111.3,87.98,535500
33,20180703,111.3,103.6,111.3,103.6,81.89,165430
34,20180704,110.8,102.1,102.1,110.8,87.59,1607020
35,20180705,115.0,110.8,110.8,114.0,90.11,1457330
36,20180706,113.9,111.5,111.5,112.5,88.93,497040
