,date,high,low,open,close,adjust,volume
0,20160104,47.5,45.2,47.5,47.5,28.87,4809120
1,20160105,47.7,46.8,47.0,47.5,28.87,2480100
2,20160106,47.9,46.7,47.4,47.5,28.87,2001950
3,20160107,48.2,46.5,46.8,48.0,29.17,2852010
4,20160108,48.0,47.0,47.5,48.0,29.17,1641950
5,20160111,49.1,47.6,48.0,48.3,29.35,1591300
6,20160112,48.4,47.6,48.3,48.0,29.17,1030900
7,20160113,48.0,47.2,48.0,47.9,29.11,2043030
8,20160114,48.2,47.2,47.2,48.0,29.17,2616100
9,20160115,48.1,47.4,48.1,47.5,28.87,1131360
10,20160118,47.6,45.0,46.8,47.5,28.87,2516720
11,20160119,48.1,47.2,47.2,47.5,28.87,855110
12,20160120,48.0,47.1,47.1,47.4,28.81,1951650
13,20160121,48.0,47.3,47.8,47.8,29.05,2357970
14,20160122,49.1,47.8,47.8,48.3,29.35,1722160
15,20160125,48.5,48.0,48.5,48.3,29.35,1960040
16,20160126,48.4,47.3,48.0,48.0,29.17,1779070
17,20160127,47.6,46.9,47.5,47.5,28.87,3534960
18,20160128,48.3,47.0,47.0,48.3,29.35,5582880
19,20160129,48.2,47.2,48.2,47.6,28.93,2231860
20,20160201,47.9,47.0,47.2,47.0,28.56,1133280
21,20160202,47.2,46.7,46.7,47.0,28.56,3517260
22,20160203,47.0,46.0,46.7,47.0,28.56,1102250
23,20160204,47.5,47.0,47.0,47.0,28.56,1832620
24,20160205,47.0,46.4,46.4,46.6,28.32,895260
25,20160215,46.6,45.5,46.5,45.5,27.65,1076060
26,20160216,46.2,45.5,46.2,45.6,27.71,392060
27,20160217,46.3,45.5,46.3,45.5,27.65,573090
28,20160218,46.2,45.7,46.0,46.0,27.96,773570
29,20160219,45.9,44.3,45.9,45.1,27.41,1393710
30,20160222,45.2,44.6,45.1,45.2,27.47,815490
31,20160223,46.3,45.2,45.2,45.6,27.71,1318590
32,20160224,45.9,45.1,45.4,45.4,27.59,635590
33,20160225,45.9,45.4,45.5,45.5,27.65,528840
34,20160226,45.8,44.7,45.6,45.0,27.35,1344544
35,20160229,45.0,44.1,45.0,44.1,26.8,259290
36,20160301,44.6,43.6,44.4,44.1,26.8,956870
37,20160302,45.1,44.2,44.4,45.0,27.35,560340
38,20160303,45.5,45.0,45.4,45.4,27.59,491450
39,20160304,46.0,45.2,45.4,45.8,27.83,802550
40,20160307,46.5,45.5,45.8,45.8,27.83,557500
41,20160308,46.4,45.6,45.6,46.4,28.2,1079780
42,20160309,46.9,46.5,46.5,46.5,28.26,1223530
43,20160310,46.8,46.4,46.5,46.5,28.26,575310
44,20160311,46.5,45.4,46.5,45.4,27.59,560370
45,20160314,45.5,45.0,45.1,45.4,27.59,379856
46,20160315,46.0,44.8,45.4,45.0,27.35,1073480
47,20160316,44.9,44.6,44.7,44.6,27.11,514143
48,20160317,45.3,44.9,45.0,45.0,27.35,1126503
49,20160318,45.1,44.1,45.0,44.1,26.8,5523540
50,20160321,45.6,44.7,44.7,45.2,27.47,3942980
51,20160322,45.6,44.9,45.2,45.5,27.65,781900
52,20160323,45.6,44.6,45.0,45.4,27.59,2398470
53,20160324,45.5,45.0,45.4,45.1,27.41,560060
54,20160325,46.0,45.0,45.0,45.8,27.83,1257200
55,20160328,46.8,45.9,46.1,46.7,28.38,970660
56,20160329,47.4,46.6,47.0,46.8,28.44,1482760
57,20160330,47.0,45.9,45.9,47.0,28.56,2291640
58,20160331,47.6,46.4,46.4,47.2,28.69,8170430
59,20160401,47.4,46.8,47.2,47.2,28.69,2908420
60,20160404,47.3,46.8,47.3,47.1,28.62,351710
61,20160405,47.3,46.5,47.1,47.1,28.62,13642855
62,20160406,47.6,46.9,47.1,47.6,28.93,11540863
63,20160407,47.7,47.1,47.6,47.2,28.69,439730
64,20160408,47.6,46.9,47.2,47.5,28.87,750280
65,20160411,50.5,47.5,47.5,50.5,30.69,1486260
66,20160412,52.5,51.0,52.0,52.0,31.6,17803020
67,20160413,53.0,50.5,52.0,52.0,31.6,1538712
68,20160414,54.5,51.5,51.5,52.5,31.91,1460943
69,20160415,54.5,52.0,52.5,52.0,31.6,1549470
70,20160419,52.0,49.7,52.0,49.7,30.2,1057604
71,20160420,51.0,49.7,49.7,50.5,30.69,2572217
72,20160421,52.5,50.5,51.5,51.5,31.3,1196330
73,20160422,55.0,51.5,51.5,54.5,33.12,1729690
74,20160425,56.0,52.5,55.5,52.5,31.91,1404690
75,20160426,54.5,52.5,52.5,54.0,32.82,12852384
76,20160427,55.0,52.0,55.0,53.0,32.21,974580
77,20160428,53.5,52.0,53.0,52.0,31.6,601580
78,20160429,53.0,52.0,52.5,52.5,31.91,4982450
79,20160504,52.5,51.0,51.5,51.0,30.99,961640
80,20160505,53.0,51.5,51.5,51.5,31.3,617680
81,20160506,52.5,52.0,52.0,52.5,31.91,906360
82,20160509,53.0,52.0,53.0,52.0,31.6,5502043
83,20160510,52.0,51.0,52.0,52.0,31.6,3755562
84,20160511,53.5,52.0,52.0,53.5,32.51,1735178
85,20160512,54.5,53.5,54.0,53.5,32.51,469130
86,20160513,54.0,53.0,53.5,53.5,32.51,883830
87,20160516,55.5,53.0,53.5,55.0,33.43,1283650
88,20160517,55.5,54.5,55.5,54.5,33.12,518280
89,20160518,54.5,53.5,54.5,53.5,32.51,5818250
90,20160519,54.5,53.0,54.5,53.5,32.51,4601501
91,20160520,54.0,51.5,53.5,51.5,31.3,5276390
92,20160523,52.0,50.5,52.0,52.0,31.6,1410160
93,20160524,53.0,51.5,53.0,52.0,31.6,1729240
94,20160525,52.5,51.5,52.0,52.0,31.6,283630
95,20160526,52.0,50.5,52.0,51.0,30.99,611130
96,20160527,52.0,51.0,51.0,51.5,31.3,417106
97,20160530,54.0,52.0,52.0,53.5,32.51,1078090
98,20160531,54.0,52.5,53.5,52.5,31.91,4140260
99,20160601,53.5,52.5,53.0,53.5,32.51,469570
100,20160602,54.0,53.0,53.5,53.5,32.51,776870
