,date,high,low,open,close,adjust,volume
0,20170228,108.0,108.0,108.0,108.0,60.7,12030
1,20170301,115.5,115.5,115.5,115.5,64.92,610670
2,20170302,123.5,123.5,123.5,123.5,69.42,330550
3,20170303,132.1,123.5,132.1,132.1,74.25,2827380
4,20170306,138.0,132.1,134.0,137.4,77.23,1155300
5,20170307,137.5,130.1,137.4,132.5,74.47,983900
6,20170308,132.5,126.5,130.1,130.0,73.07,916200
7,20170309,131.0,128.7,128.7,130.6,73.41,635920
8,20170310,131.0,128.8,131.0,131.0,73.63,473480
9,20170313,131.9,130.3,131.5,131.0,73.63,566660
10,20170314,130.8,129.5,130.4,129.5,72.79,410150
11,20170315,129.5,121.0,129.0,121.5,68.29,662540
12,20170316,122.0,116.5,121.5,116.5,65.48,534810
13,20170317,121.0,113.0,115.6,117.5,66.04,518260
14,20170320,125.7,118.5,120.0,125.7,70.65,307470
15,20170321,129.8,125.4,125.7,125.4,70.48,348100
16,20170322,125.9,123.4,125.0,125.0,70.26,380360
17,20170323,127.5,124.7,125.0,126.0,70.82,583643
18,20170324,128.9,127.0,127.0,128.0,71.94,717630
19,20170327,131.0,128.5,128.5,129.9,73.01,654930
20,20170328,133.7,130.0,131.0,130.9,73.57,675680
21,20170329,131.9,130.0,131.9,131.7,74.02,626200
22,20170330,132.0,128.0,132.0,128.0,71.94,391980
23,20170331,129.9,128.0,129.9,128.1,72.0,358710
24,20170403,129.5,125.8,128.0,125.8,70.71,382490
25,20170404,129.9,126.1,129.0,128.0,71.94,759220
26,20170405,130.1,126.5,127.3,128.7,72.34,804790
27,20170407,129.2,128.7,129.1,129.1,72.56,380370
28,20170410,131.5,128.9,129.1,130.8,73.52,1065530
29,20170411,132.0,130.9,131.0,131.8,74.08,206460
30,20170412,134.6,131.1,131.1,134.1,75.37,458390
31,20170413,134.4,133.8,134.0,134.2,75.43,278260
32,20170414,134.4,131.0,134.3,133.2,74.87,335130
33,20170417,133.8,130.0,131.5,131.7,74.02,227200
34,20170418,131.8,128.0,130.1,129.0,72.51,263970
35,20170419,131.5,127.9,129.0,131.4,73.86,255600
36,20170420,131.8,129.5,131.4,131.6,73.97,313760
37,20170421,131.9,130.7,131.9,131.4,73.86,218910
38,20170424,131.8,129.4,131.4,129.4,72.73,229020
39,20170425,129.4,127.5,129.4,128.0,71.94,212370
40,20170426,129.3,128.0,128.0,129.2,72.62,304330
41,20170427,131.0,128.1,131.0,128.1,72.0,329050
42,20170428,129.4,127.5,129.4,127.7,71.78,1744037
43,20170503,128.7,127.6,128.7,127.9,71.89,244220
44,20170504,130.0,127.9,127.9,130.0,73.07,351660
45,20170505,130.2,128.5,130.2,129.8,72.96,234430
46,20170508,129.9,129.0,129.9,129.6,72.84,244970
47,20170509,129.5,128.0,129.0,128.8,72.96,292990
48,20170510,130.5,128.4,128.8,130.5,73.92,421080
49,20170511,130.8,129.7,130.2,130.4,73.86,425720
50,20170512,130.8,129.5,130.0,130.0,73.64,329590
51,20170515,129.9,128.0,129.0,128.5,72.79,342370
52,20170516,128.5,127.0,128.5,128.0,72.5,381790
53,20170517,128.7,126.4,128.2,128.0,72.5,361550
54,20170518,128.0,126.4,128.0,127.0,71.94,233910
55,20170519,127.8,126.4,127.0,127.8,72.39,347600
56,20170522,129.0,126.5,126.5,128.4,72.73,239240
57,20170523,128.3,127.0,127.0,127.8,72.39,270840
58,20170524,127.8,126.9,127.8,127.0,71.94,274860
59,20170525,127.1,125.6,127.0,126.0,71.37,291450
60,20170526,127.0,126.1,126.1,126.8,71.82,303420
61,20170529,127.8,126.5,126.5,127.8,72.39,233250
62,20170530,127.8,127.0,127.8,127.5,72.22,232230
63,20170531,127.8,127.2,127.4,127.8,72.39,291420
64,20170601,130.0,127.6,127.8,130.0,73.64,352300
65,20170602,132.9,130.6,131.0,131.0,74.2,510930
66,20170605,131.0,129.5,131.0,130.0,73.64,312740
67,20170606,131.0,129.8,130.0,130.1,73.69,344530
68,20170607,130.5,127.0,130.1,127.5,72.22,481910
69,20170608,129.7,127.9,129.5,127.9,72.45,357620
70,20170609,128.7,126.5,128.7,127.0,71.94,339470
71,20170612,128.3,126.3,127.7,127.0,71.94,245880
72,20170613,127.9,126.6,127.9,127.6,72.28,281730
73,20170614,127.9,127.0,127.8,127.0,71.94,435260
74,20170615,128.3,126.5,128.3,126.5,71.65,533740
75,20170616,129.8,126.6,129.8,127.0,71.94,313250
76,20170619,128.0,126.5,128.0,126.9,71.88,272510
77,20170620,126.7,126.0,126.5,126.5,71.65,629170
78,20170621,126.7,125.0,126.7,125.1,70.86,475110
79,20170622,125.5,123.8,125.1,124.0,70.24,356330
80,20170623,126.0,124.2,124.3,126.0,71.37,622950
81,20170626,127.0,125.6,126.4,126.0,71.37,323890
82,20170627,126.0,125.0,126.0,125.0,70.8,389390
83,20170628,126.0,124.6,125.9,124.8,70.69,319150
84,20170629,126.3,124.0,124.8,126.3,71.54,438090
85,20170630,126.9,124.8,126.9,126.3,71.54,350710
86,20170703,125.7,124.7,125.7,125.7,71.2,454070
87,20170704,125.9,124.4,125.9,124.9,70.75,332550
88,20170705,126.0,124.7,125.8,125.2,70.92,426320
89,20170706,126.3,125.2,126.3,125.6,71.14,336670
90,20170707,125.7,125.0,125.7,125.6,71.14,341050
91,20170710,125.8,124.9,125.6,125.5,71.09,362320
92,20170711,125.8,124.5,125.8,125.4,71.03,357210
93,20170712,126.0,125.4,126.0,125.9,71.31,329150
94,20170713,128.0,126.0,128.0,127.0,71.94,416390
95,20170714,126.9,126.5,126.9,126.9,71.88,347800
96,20170717,127.4,126.3,127.0,127.0,71.94,330980
