,date,high,low,open,close,adjust,volume
0,2016-01-04,128.0,125.0,126.0,126.0,60.69,987804
1,2016-01-05,127.0,125.0,126.0,125.0,60.21,412720
2,2016-01-06,126.0,124.0,125.0,126.0,60.69,375760
3,2016-01-07,125.0,122.0,125.0,124.0,59.73,943810
4,2016-01-08,123.0,121.0,123.0,122.0,58.77,615950
5,2016-01-11,123.0,121.0,121.0,121.0,58.29,654744
6,2016-01-12,123.0,121.0,121.0,123.0,59.25,446670
7,2016-01-13,123.0,121.0,123.0,121.0,58.29,522630
8,2016-01-14,122.0,120.0,121.0,121.0,58.29,558840
9,2016-01-15,123.0,120.0,122.0,120.0,57.8,709990
10,2016-01-18,119.0,114.0,119.0,117.0,56.36,1399760
11,2016-01-19,119.0,116.0,116.0,119.0,57.32,375380
12,2016-01-20,119.0,117.0,118.0,117.0,56.36,2114160
13,2016-01-21,118.0,115.0,116.0,116.0,55.88,477210
14,2016-01-22,117.0,112.0,116.0,114.0,54.91,857610
15,2016-01-25,118.0,115.0,116.0,118.0,56.84,2087029
16,2016-01-26,117.0,114.0,116.0,115.0,55.4,432989
17,2016-01-27,117.0,115.0,116.0,117.0,56.36,340020
18,2016-01-28,118.0,116.0,116.0,116.0,55.88,1782230
19,2016-01-29,117.0,115.0,116.0,116.0,55.88,1884640
20,2016-02-01,120.0,116.0,117.0,119.0,57.32,1689310
21,2016-02-02,121.0,118.0,119.0,119.0,57.32,646540
22,2016-02-03,121.0,118.0,118.0,121.0,58.29,434450
23,2016-02-04,124.0,122.0,123.0,122.0,58.77,493320
24,2016-02-05,124.0,122.0,122.0,124.0,59.73,204410
25,2016-02-15,126.0,122.0,122.0,126.0,60.69,1825929
26,2016-02-16,129.0,127.0,128.0,128.0,61.66,817180
27,2016-02-17,133.0,129.0,131.0,130.0,62.62,4374130
28,2016-02-18,131.0,128.0,131.0,129.0,62.14,2217000
29,2016-02-19,130.0,128.0,130.0,129.0,62.14,2263430
30,2016-02-22,131.0,128.0,129.0,130.0,62.62,1125550
31,2016-02-23,132.0,129.0,131.0,130.0,62.62,1021890
32,2016-02-24,131.0,129.0,130.0,131.0,63.1,963080
33,2016-02-25,132.0,129.0,131.0,129.0,62.14,18754512
34,2016-02-26,130.0,128.0,130.0,130.0,62.62,558120
35,2016-02-29,130.0,128.0,130.0,128.0,61.66,1685500
36,2016-03-01,131.0,128.0,128.0,130.0,62.62,673510
37,2016-03-02,132.0,129.0,131.0,132.0,63.58,1399907
38,2016-03-03,133.0,131.0,131.0,131.0,63.1,875780
39,2016-03-04,132.0,130.0,131.0,132.0,63.58,309870
40,2016-03-07,133.0,131.0,131.0,131.0,63.1,618820
41,2016-03-08,132.0,130.0,131.0,131.0,63.1,625200
42,2016-03-09,132.0,130.0,131.0,131.0,63.1,904354
43,2016-03-10,131.0,129.0,131.0,131.0,63.1,494890
44,2016-03-11,136.0,130.0,130.0,136.0,65.51,2313110
45,2016-03-14,137.0,134.0,136.0,135.0,65.03,632690
46,2016-03-15,138.0,134.0,135.0,136.0,65.51,910660
47,2016-03-16,138.0,135.0,136.0,137.0,65.99,860520
48,2016-03-17,140.0,137.0,138.0,138.0,66.47,839970
49,2016-03-18,138.0,137.0,137.0,138.0,66.47,527290
50,2016-03-21,139.0,135.0,137.0,135.0,65.03,579910
51,2016-03-22,135.0,132.0,135.0,133.0,64.07,1146240
52,2016-03-23,135.0,133.0,133.0,134.0,64.55,389980
53,2016-03-24,136.0,133.0,134.0,135.0,65.03,568030
54,2016-03-25,135.0,132.0,134.0,134.0,64.55,706170
55,2016-03-28,135.0,133.0,134.0,135.0,65.03,177060
56,2016-03-29,136.0,134.0,135.0,134.0,64.55,405230
57,2016-03-30,137.0,133.0,134.0,136.0,65.51,906924
58,2016-03-31,137.0,134.0,136.0,134.0,64.55,657210
59,2016-04-01,136.0,133.0,134.0,134.0,64.55,1162790
60,2016-04-04,135.0,133.0,134.0,134.0,64.55,286724
61,2016-04-05,137.0,135.0,136.0,137.0,65.99,590930
62,2016-04-06,137.0,135.0,137.0,137.0,65.99,616110
63,2016-04-07,142.0,136.0,137.0,141.0,67.92,2146144
64,2016-04-08,144.0,140.0,141.0,143.0,68.88,1570930
65,2016-04-11,145.0,143.0,144.0,143.0,68.88,1244700
66,2016-04-12,144.0,142.0,143.0,143.0,68.88,760790
67,2016-04-13,145.0,142.0,142.0,142.0,68.4,920500
68,2016-04-14,144.0,141.0,142.0,142.0,68.4,1496770
69,2016-04-15,145.0,143.0,143.0,143.0,68.88,654610
70,2016-04-19,144.0,139.0,143.0,139.0,66.96,1242610
71,2016-04-20,140.0,135.0,139.0,136.0,65.51,2213278
72,2016-04-21,138.0,135.0,137.0,137.0,65.99,1050780
73,2016-04-22,141.0,137.0,137.0,140.0,67.44,2329500
74,2016-04-25,143.0,139.0,142.0,139.0,66.96,2015476
75,2016-04-26,140.0,139.0,139.0,140.0,67.44,1014098
76,2016-04-27,141.0,138.0,141.0,138.0,66.47,607430
77,2016-04-28,139.0,138.0,139.0,138.0,66.47,633970
78,2016-04-29,139.0,138.0,138.0,139.0,66.96,822390
79,2016-05-04,143.0,139.0,140.0,142.0,68.4,1211550
80,2016-05-05,144.0,142.0,142.0,142.0,68.4,860970
81,2016-05-06,143.0,142.0,143.0,142.0,68.4,816150
82,2016-05-09,147.0,143.0,146.0,144.0,69.36,1908180
83,2016-05-10,144.0,142.0,143.0,143.0,68.88,690020
84,2016-05-11,146.0,143.0,143.0,146.0,70.33,1033050
85,2016-05-12,147.0,144.0,146.0,145.0,69.85,1122800
86,2016-05-13,146.0,144.0,145.0,144.0,69.36,563910
87,2016-05-16,147.0,144.0,144.0,146.0,70.33,854780
88,2016-05-17,148.0,146.0,148.0,147.0,70.81,1371690
89,2016-05-18,147.0,145.0,147.0,145.0,69.85,852050
90,2016-05-19,146.0,144.0,145.0,145.0,69.85,2799860
91,2016-05-20,147.0,145.0,146.0,146.0,70.33,4616220
92,2016-05-23,147.0,145.0,147.0,146.0,70.33,1285290
93,2016-05-24,146.0,145.0,146.0,145.0,69.85,542530
94,2016-05-25,146.0,144.0,145.0,144.0,69.36,672910
95,2016-05-26,144.0,141.0,144.0,141.0,67.92,1296250
96,2016-05-27,143.0,141.0,141.0,143.0,68.88,423310
97,2016-05-30,143.0,141.0,143.0,142.0,68.4,282620
98,2016-05-31,143.0,142.0,143.0,142.0,68.4,246150
99,2016-06-01,142.0,140.0,141.0,141.0,67.92,722210
100,2016-06-02,142.0,141.0,141.0,141.0,67.92,407190
101,2016-06-03,140.0,138.0,140.0,139.0,67.92,1822090
102,2016-06-06,139.0,136.0,139.0,136.0,66.45,661120
103,2016-06-07,137.0,135.0,136.0,137.0,66.94,1470970
104,2016-06-08,139.0,137.0,138.0,138.0,67.43,1453640
105,2016-06-09,138.0,137.0,138.0,138.0,67.43,689430
106,2016-06-10,138.0,136.0,138.0,137.0,66.94,473540
107,2016-06-13,137.0,135.0,136.0,137.0,66.94,581530
108,2016-06-14,137.0,135.0,136.0,137.0,66.94,235590
109,2016-06-15,138.0,135.0,136.0,137.0,66.94,332060
110,2016-06-16,139.0,137.0,138.0,137.0,66.94,198930
111,2016-06-17,138.0,136.0,137.0,137.0,66.94,391630
112,2016-06-20,138.0,136.0,137.0,137.0,66.94,537180
113,2016-06-21,140.0,138.0,138.0,139.0,67.92,1713150
114,2016-06-22,140.0,138.0,139.0,139.0,67.92,1035890
115,2016-06-23,141.0,138.0,138.0,140.0,68.41,1910160
116,2016-06-24,140.0,132.0,140.0,137.0,66.94,2140720
117,2016-06-27,137.0,134.0,136.0,137.0,66.94,740080
118,2016-06-28,144.0,136.0,137.0,140.0,68.41,2005670
119,2016-06-29,141.0,139.0,141.0,139.0,67.92,990170
120,2016-06-30,142.0,140.0,140.0,141.0,68.9,1072180
121,2016-07-01,144.0,142.0,144.0,143.0,69.88,1995270
122,2016-07-04,145.0,143.0,145.0,145.0,70.85,1688228
123,2016-07-05,146.0,143.0,145.0,144.0,70.36,919200
124,2016-07-06,144.0,142.0,144.0,143.0,69.88,521510
125,2016-07-07,147.0,143.0,144.0,147.0,71.83,1555810
126,2016-07-08,149.0,146.0,147.0,147.0,71.83,654500
127,2016-07-11,149.0,145.0,147.0,146.0,71.34,754950
128,2016-07-12,147.0,144.0,146.0,147.0,71.83,684290
129,2016-07-13,148.0,146.0,147.0,147.0,71.83,642600
130,2016-07-14,148.0,145.0,146.0,146.0,71.34,1310570
131,2016-07-15,148.0,145.0,146.0,147.0,71.83,5917832
132,2016-07-18,151.0,147.0,148.0,150.0,73.3,1219340
133,2016-07-19,155.0,150.0,150.0,153.0,74.76,2047460
134,2016-07-20,159.0,152.0,154.0,158.0,77.2,1826260
135,2016-07-21,162.0,156.0,160.0,157.0,76.72,1924130
136,2016-07-22,159.0,152.0,158.0,156.0,76.23,2365090
137,2016-07-25,157.0,154.0,157.0,154.0,75.25,831630
138,2016-07-26,158.0,153.0,154.0,157.0,76.72,1207630
139,2016-07-27,159.0,157.0,158.0,158.0,77.2,774750
140,2016-07-28,161.0,158.0,158.0,160.0,78.18,1316550
141,2016-07-29,161.0,158.0,160.0,158.0,77.2,1069950
142,2016-08-01,159.0,154.0,159.0,155.0,75.74,1706560
143,2016-08-02,155.0,152.0,154.0,152.0,74.27,1681750
144,2016-08-03,155.0,152.0,153.0,154.0,75.25,660790
145,2016-08-04,158.0,154.0,155.0,156.0,76.23,1142360
146,2016-08-05,158.0,155.0,156.0,158.0,77.2,839620
147,2016-08-08,159.0,157.0,158.0,158.0,77.2,657180
148,2016-08-09,163.0,159.0,159.0,162.0,79.16,1942470
149,2016-08-10,165.0,162.0,163.0,164.0,80.14,1539110
150,2016-08-11,169.0,164.0,165.0,169.0,82.58,1973340
151,2016-08-12,175.0,168.0,172.0,168.0,82.09,3372710
152,2016-08-15,170.0,167.0,168.0,169.0,82.58,1144990
153,2016-08-16,171.0,169.0,169.0,169.0,82.58,1122130
154,2016-08-17,172.0,169.0,170.0,171.0,83.56,1379520
155,2016-08-18,174.0,171.0,172.0,174.0,85.02,2115570
156,2016-08-19,147.0,142.0,145.0,143.0,85.82,3527830
157,2016-08-22,144.0,140.0,143.0,140.0,84.02,1276220
158,2016-08-23,143.0,139.0,140.0,143.0,85.82,1074520
159,2016-08-24,146.0,143.0,144.0,145.0,87.02,1363980
160,2016-08-25,146.0,143.0,145.0,145.0,87.02,609070
161,2016-08-26,146.0,144.0,144.0,146.0,87.62,961360
162,2016-08-29,155.0,146.0,146.0,151.0,90.62,3479040
163,2016-08-30,153.0,150.0,152.0,152.0,91.22,1842690
164,2016-08-31,156.0,153.0,153.0,156.0,93.62,2734900
165,2016-09-01,156.0,152.0,156.0,154.0,92.42,3570888
166,2016-09-05,156.0,151.0,154.0,154.0,92.42,2682460
167,2016-09-06,154.0,150.0,154.0,150.0,90.02,1832660
168,2016-09-07,149.0,143.0,149.0,146.0,87.62,4189500
169,2016-09-08,148.0,144.0,145.0,147.0,88.22,3157140
170,2016-09-09,148.0,143.0,148.0,143.0,85.82,2228570
171,2016-09-12,145.8,140.9,144.0,141.2,84.74,2755590
172,2016-09-13,145.8,139.1,141.2,144.9,86.96,2445810
173,2016-09-14,144.5,142.2,144.0,144.0,86.42,975800
174,2016-09-15,144.6,142.5,144.1,143.0,85.82,1645440
175,2016-09-16,143.0,138.0,143.0,138.0,82.82,10920630
176,2016-09-19,140.0,135.8,140.0,136.0,81.62,3028480
177,2016-09-20,136.0,133.0,135.0,136.0,81.62,5896170
178,2016-09-21,138.9,137.0,138.0,137.8,82.7,1594260
179,2016-09-22,139.5,137.2,138.0,137.2,82.34,4430970
180,2016-09-23,140.4,136.5,136.9,140.0,84.02,4622476
181,2016-09-26,141.1,139.6,140.0,141.0,84.62,4543505
182,2016-09-27,141.4,140.0,141.0,140.0,84.02,1094130
183,2016-09-28,140.7,139.3,140.5,140.0,84.02,1576100
184,2016-09-29,140.9,139.7,140.0,140.0,84.02,2294740
185,2016-09-30,140.9,140.0,140.0,140.0,84.02,1129950
186,2016-10-03,140.9,140.2,140.9,140.5,84.32,1625408
187,2016-10-04,141.8,140.1,140.5,140.5,84.32,1378590
188,2016-10-05,141.4,140.4,141.0,140.4,84.26,821370
189,2016-10-06,142.4,140.4,140.4,142.0,85.22,1566360
190,2016-10-07,142.6,140.6,142.0,141.6,84.98,1175020
191,2016-10-10,141.6,140.1,141.6,140.1,84.08,822170
192,2016-10-11,141.0,137.2,140.0,140.5,84.32,2006450
193,2016-10-12,141.5,140.0,140.5,141.5,84.92,1243190
194,2016-10-13,142.5,141.1,141.1,142.0,85.22,791080
195,2016-10-14,144.8,142.0,142.0,144.0,86.42,2177010
196,2016-10-17,144.2,142.1,143.3,142.2,85.34,711870
197,2016-10-18,144.0,141.9,142.2,144.0,86.42,1140300
198,2016-10-19,146.5,143.1,144.0,146.0,87.62,2250500
199,2016-10-20,146.5,144.5,146.0,144.9,86.96,1118000
200,2016-10-21,145.9,144.1,145.0,144.2,86.54,848640
201,2016-10-24,144.2,141.0,144.2,141.0,84.62,1930590
202,2016-10-25,141.8,140.5,141.0,141.0,84.62,1347450
203,2016-10-26,141.5,140.9,141.0,141.1,84.68,1027530
204,2016-10-27,142.5,141.1,141.4,142.5,85.52,517820
205,2016-10-28,144.1,142.0,142.5,143.3,86.0,833450
206,2016-10-31,143.6,142.0,142.0,142.0,85.22,797407
207,2016-11-01,143.0,141.4,143.0,141.9,85.16,843260
208,2016-11-02,142.6,141.1,141.9,141.1,84.68,963900
209,2016-11-03,141.4,140.7,141.0,141.4,84.86,1508620
210,2016-11-04,141.9,140.5,141.4,140.9,84.56,1528200
211,2016-11-07,141.1,140.1,141.0,140.2,84.14,1259230
212,2016-11-08,140.9,140.3,140.5,140.4,84.26,606390
213,2016-11-09,140.3,136.6,140.2,140.0,84.02,2860910
214,2016-11-10,141.3,140.4,140.4,141.0,84.62,1253970
215,2016-11-11,141.2,140.5,141.0,140.5,84.32,1037300
216,2016-11-14,140.3,138.1,140.0,138.2,82.94,1706670
217,2016-11-15,139.1,137.2,138.1,137.3,82.4,1937180
218,2016-11-16,139.2,137.3,137.3,139.0,83.42,1831220
219,2016-11-17,139.3,138.7,139.0,139.0,83.42,2440320
220,2016-11-18,138.5,137.2,138.1,137.2,82.34,1369760
221,2016-11-21,138.9,137.9,138.0,138.5,83.12,1925500
222,2016-11-22,140.9,138.6,138.6,140.7,84.44,2304050
223,2016-11-23,140.8,138.8,140.7,139.0,83.42,1303770
224,2016-11-24,138.9,136.5,138.9,136.7,82.04,2085820
225,2016-11-25,136.8,133.7,136.7,134.5,80.72,2964100
226,2016-11-28,134.0,128.5,134.0,129.2,77.54,3551310
227,2016-11-29,134.6,130.5,131.0,134.3,80.6,4212840
228,2016-11-30,142.0,134.0,135.0,138.0,82.82,5564310
229,2016-12-01,138.2,135.2,138.0,135.2,81.14,1485910
230,2016-12-02,136.5,134.2,135.0,135.0,81.02,2756050
231,2016-12-05,135.7,134.5,135.4,135.0,81.02,1516960
232,2016-12-06,135.0,133.8,135.0,134.0,80.42,943760
233,2016-12-07,133.4,131.8,133.3,132.5,79.52,2071090
234,2016-12-08,136.2,134.6,135.2,135.2,81.14,2809980
