,date,high,low,open,close,adjust,volume
0,20170817,39.0,33.0,39.0,39.0,24.1,58299310
1,20170818,38.5,37.2,38.0,37.2,22.99,1348450
2,20170821,36.8,35.5,35.8,35.85,22.16,1802590
3,20170822,36.0,34.8,34.8,36.0,22.25,2531870
4,20170823,36.8,35.75,36.0,36.2,22.37,520790
5,20170824,36.35,35.8,36.35,36.25,22.4,1289627
6,20170825,36.3,35.8,35.9,36.3,22.43,615370
7,20170828,36.3,35.9,36.0,36.3,22.43,761670
8,20170829,36.3,35.95,36.1,36.3,22.43,990000
9,20170830,36.3,36.0,36.3,36.3,22.43,830100
10,20170831,36.3,36.1,36.1,36.3,22.43,1196380
11,20170901,36.3,36.1,36.1,36.3,22.43,978060
12,20170905,36.4,36.05,36.05,36.4,22.5,1449290
13,20170906,38.2,36.3,36.4,38.15,23.58,1921010
14,20170907,39.3,38.2,38.2,38.55,23.82,900290
15,20170908,38.5,38.15,38.5,38.2,23.61,339640
16,20170911,38.1,36.9,38.0,37.0,22.87,715570
17,20170912,37.5,36.4,37.0,37.35,23.08,330150
18,20170913,37.6,37.1,37.35,37.5,23.18,312470
19,20170914,37.6,37.3,37.5,37.45,23.14,268880
20,20170915,37.6,37.35,37.45,37.4,23.11,352480
21,20170918,37.5,37.25,37.4,37.3,23.05,323580
22,20170919,37.3,36.9,37.3,36.95,22.84,820020
23,20170920,37.3,36.85,36.95,36.9,22.8,789670
24,20170921,36.95,36.75,36.9,36.9,22.8,535570
25,20170922,36.9,36.5,36.9,36.7,22.68,1288830
26,20170925,36.85,36.65,36.7,36.65,22.65,4504360
27,20170926,36.9,36.6,36.9,36.6,22.62,718370
28,20170927,37.45,36.6,36.6,37.25,23.02,1473820
29,20170928,37.8,37.2,37.3,37.25,23.02,1738590
30,20170929,37.75,37.25,37.25,37.5,23.18,752340
31,20171002,37.6,37.0,37.5,37.25,23.02,634350
32,20171003,37.3,36.75,37.2,36.9,22.8,659660
33,20171004,37.0,36.75,36.9,36.9,22.8,477470
34,20171005,37.15,36.85,37.1,36.85,22.77,219990
35,20171006,37.2,36.8,37.05,37.2,22.99,409110
36,20171009,37.6,37.25,37.6,37.45,23.14,4936770
37,20171010,38.2,37.35,37.45,38.0,23.48,869010
38,20171011,39.5,38.15,38.2,39.5,24.41,3495690
39,20171012,40.8,39.3,39.55,40.05,24.75,2545902
40,20171013,41.05,39.9,39.9,40.2,24.84,1322500
41,20171016,41.2,40.2,40.2,40.7,25.15,2217910
42,20171017,41.5,40.7,40.7,41.2,25.46,4612170
43,20171018,42.1,41.3,42.0,41.3,25.52,2654380
44,20171019,41.7,40.8,41.2,41.1,25.4,1057180
45,20171020,41.6,41.1,41.1,41.3,25.52,1480860
46,20171023,41.9,40.7,40.8,40.8,25.21,1498490
47,20171024,40.95,40.45,40.95,40.7,25.15,826280
48,20171025,41.15,40.3,40.7,41.0,25.34,1275530
49,20171026,41.3,40.5,41.0,40.7,25.15,757830
50,20171027,41.0,40.55,40.6,40.85,25.25,738890
51,20171030,41.8,40.85,40.85,41.1,25.4,1960480
52,20171031,41.3,40.6,41.1,40.65,25.12,6027260
53,20171101,40.9,40.15,40.6,40.3,24.91,994020
54,20171102,40.6,37.6,40.2,37.7,23.3,2483020
55,20171103,40.2,37.8,37.8,40.2,24.84,1257280
56,20171106,40.2,39.5,40.2,39.9,24.66,3054523
57,20171107,39.8,39.4,39.8,39.5,24.41,579800
58,20171108,40.3,39.15,39.5,40.2,24.84,826220
59,20171109,40.3,39.5,40.3,39.7,24.53,1680118
60,20171110,39.7,39.5,39.65,39.55,24.44,1853430
61,20171113,39.6,38.6,39.6,38.7,23.92,734400
62,20171114,39.4,38.7,38.7,39.05,24.13,777620
63,20171115,39.45,38.8,39.3,39.3,24.29,775820
64,20171116,40.4,39.05,39.3,39.5,24.41,916660
65,20171117,40.0,39.45,39.8,39.5,24.41,561660
66,20171120,39.6,39.05,39.6,39.1,24.16,665260
67,20171121,39.35,38.75,39.0,38.95,24.07,1003180
68,20171122,40.2,38.9,39.0,39.6,24.47,1542070
69,20171123,40.9,39.1,40.0,40.0,24.72,1865520
70,20171124,40.6,39.7,40.25,40.0,24.72,939760
71,20171127,40.0,39.75,40.0,39.8,24.6,865430
72,20171128,40.35,39.7,39.8,39.8,24.6,1532570
73,20171129,40.45,39.8,39.8,40.1,24.78,1922690
74,20171130,41.25,40.3,40.4,41.15,25.43,4526350
75,20171201,41.6,41.1,41.6,41.15,25.43,3263090
76,20171204,42.3,41.2,41.2,41.5,25.65,2934270
77,20171205,41.95,40.7,41.7,41.05,25.37,3035500
78,20171206,41.1,40.1,41.05,40.5,25.03,1964010
79,20171207,40.6,39.6,40.5,39.6,24.47,1763680
80,20171208,40.0,39.4,39.6,39.5,24.41,1305820
81,20171211,39.45,38.55,39.0,38.55,23.82,1320400
82,20171212,39.5,36.0,38.8,38.7,23.92,2982180
83,20171213,38.75,37.9,38.7,37.9,23.42,1222590
84,20171214,38.6,38.0,38.0,38.4,23.73,809430
85,20171215,38.85,38.2,38.4,38.2,23.61,738630
86,20171218,39.3,38.4,38.5,39.0,24.1,1339150
87,20171219,39.45,38.5,39.45,39.2,24.23,1250790
88,20171220,40.5,39.2,39.2,40.35,24.94,1343011
89,20171221,40.9,40.35,40.4,40.45,25.0,5587340
90,20171222,40.4,39.85,40.3,40.4,24.97,863870
91,20171225,40.4,39.8,40.4,39.9,24.66,4935861
92,20171226,40.1,39.7,40.0,39.8,24.6,702040
93,20171227,40.3,39.9,40.0,39.9,24.66,5096400
94,20171228,40.8,40.2,40.2,40.5,25.03,1336360
95,20171229,41.3,40.6,40.8,41.0,25.34,2168440
96,20180102,43.85,41.05,41.05,43.3,26.76,6973030
97,20180103,44.4,43.2,43.9,43.35,26.79,4143590
98,20180104,45.0,43.35,43.4,44.9,27.75,3177720
99,20180105,44.9,43.5,44.9,44.4,27.44,3109260
100,20180108,46.5,44.0,44.4,46.45,28.71,2758530
101,20180109,47.95,45.0,47.0,47.9,29.6,4873410
102,20180110,48.55,47.4,48.05,48.0,29.66,4715390
103,20180111,48.75,47.25,47.35,48.75,30.13,3013750
104,20180112,49.0,46.8,49.0,47.1,29.11,6034390
105,20180115,48.4,46.9,47.2,48.0,29.66,2870090
106,20180116,47.95,46.6,47.8,47.5,29.36,7223700
107,20180117,48.3,46.85,47.65,47.0,29.05,5574920
108,20180118,48.0,46.5,46.8,48.0,29.66,3113930
109,20180119,50.1,48.0,48.0,48.2,29.79,15106160
110,20180122,49.6,48.2,48.2,49.25,30.44,3221950
111,20180125,52.6,49.6,50.0,52.4,32.38,11508030
112,20180126,53.4,51.8,52.5,52.0,32.14,13006470
113,20180129,54.0,51.9,52.6,52.1,32.2,5001720
114,20180130,52.9,50.8,51.6,52.9,32.69,9174880
115,20180131,54.1,52.9,53.0,53.3,32.94,3571550
116,20180201,53.5,51.8,53.5,52.2,32.26,4257500
117,20180202,54.2,51.8,52.3,54.2,33.5,2920900
118,20180205,54.1,50.8,53.6,51.5,31.83,4065630
119,20180206,51.5,47.9,49.4,49.4,30.53,13057118
120,20180207,52.8,51.4,52.0,52.4,32.38,5853500
121,20180208,52.6,51.5,52.1,52.0,32.14,3065350
122,20180209,52.9,49.0,49.0,52.5,32.45,8106068
123,20180212,55.2,53.0,53.3,55.2,34.11,6359690
124,20180213,56.9,55.5,56.9,56.5,34.92,2429320
125,20180221,59.1,57.2,57.5,58.4,36.09,3556230
126,20180222,58.7,56.5,58.0,57.1,35.29,5013996
127,20180223,58.5,56.8,57.4,58.5,36.15,3203950
128,20180226,59.3,57.8,59.0,57.9,35.78,4344350
129,20180227,59.2,57.8,58.4,58.9,36.4,3264320
130,20180228,60.4,58.4,58.9,59.6,36.83,3332900
131,20180301,59.9,58.6,59.0,59.2,36.59,3000810
132,20180302,62.0,58.3,58.5,61.9,38.25,6312090
133,20180305,63.1,58.5,62.5,58.5,36.15,4159210
134,20180306,61.8,59.3,60.1,61.8,38.19,4130200
135,20180307,63.5,60.9,63.4,62.0,38.32,7713080
136,20180308,65.1,62.0,62.5,65.1,40.23,5518750
137,20180309,66.0,63.0,66.0,63.9,39.49,8920060
138,20180312,64.0,61.8,62.9,62.9,38.87,8347940
139,20180313,64.2,61.6,62.8,64.2,39.68,7354400
140,20180314,65.1,63.5,64.5,64.5,39.86,3295440
141,20180315,64.5,63.2,63.9,63.8,39.43,7500270
142,20180316,64.9,63.0,64.3,64.3,39.74,6869440
143,20180319,65.3,63.3,63.4,63.4,39.18,6381910
144,20180320,66.3,63.6,63.7,65.4,40.42,6801930
145,20180321,66.5,64.8,66.0,65.0,40.17,4111635
