,date,high,low,open,close,adjust,volume
0,20171106,40.55,40.55,40.55,40.55,32.15,800
1,20171107,40.55,40.55,40.55,40.55,32.15,414939570
2,20171108,40.55,40.55,40.55,40.55,32.15,0
3,20171109,40.55,40.55,40.55,40.55,32.15,0
4,20171110,43.35,43.35,43.35,43.35,34.37,2136030
5,20171113,46.35,46.35,46.35,46.35,36.75,2487202
6,20171114,49.55,46.35,49.55,47.0,37.27,18284500
7,20171115,47.0,43.8,44.5,44.5,35.28,7115260
8,20171116,44.5,42.75,44.5,44.0,34.89,6171490
9,20171117,45.5,43.3,44.0,44.6,35.36,11272390
10,20171120,47.7,45.0,45.6,47.7,37.82,3326670
11,20171121,51.0,49.0,49.9,51.0,40.44,8512730
12,20171122,54.0,50.4,51.5,51.6,40.91,7455670
13,20171123,52.8,50.5,51.6,52.0,41.23,2316540
14,20171124,52.1,50.5,51.5,50.6,40.12,2593820
15,20171127,52.0,49.0,50.6,51.1,40.52,3472040
16,20171128,51.9,49.5,51.9,49.8,39.49,3449900
17,20171129,50.2,48.85,49.5,49.4,39.17,1595900
18,20171130,49.0,47.85,49.0,49.0,38.85,3235960
19,20171201,49.9,48.5,49.2,49.5,39.25,1408140
20,20171204,50.0,48.85,49.9,49.5,39.25,2104010
21,20171205,50.0,47.9,50.0,48.0,38.06,2480030
22,20171206,48.5,46.7,48.0,47.1,37.34,1834150
23,20171207,47.9,46.0,47.7,46.0,36.47,1067350
24,20171208,47.65,44.4,46.0,47.0,37.27,1658790
25,20171211,46.5,45.0,45.0,45.0,35.68,980090
26,20171212,46.1,43.1,45.2,46.0,36.47,1598220
27,20171213,46.1,45.4,46.0,45.85,36.35,883220
28,20171214,45.8,44.9,45.7,45.2,35.84,1488710
29,20171215,46.4,45.1,45.1,45.9,36.39,1761240
30,20171218,46.9,45.9,46.6,46.3,36.71,2501120
31,20171219,46.95,45.4,46.65,46.3,36.71,1297970
32,20171220,46.2,45.6,45.7,45.8,36.31,1580200
33,20171221,48.3,45.8,46.0,48.2,38.22,3946650
34,20171222,48.85,47.8,48.2,47.8,37.9,1567780
35,20171225,48.0,47.0,47.8,47.0,37.27,1056580
36,20171226,48.45,46.8,47.2,48.0,38.06,2055640
37,20171227,48.2,47.35,47.8,47.45,37.62,1223520
38,20171228,47.7,46.9,47.7,46.9,37.19,1540680
39,20171229,47.75,46.2,46.8,47.15,37.38,2825760
40,20180102,47.7,47.1,47.1,47.35,37.54,1157790
41,20180103,48.45,47.4,47.5,47.4,37.58,1913590
42,20180104,48.0,46.9,47.85,47.2,37.42,1935370
43,20180105,47.5,46.95,47.2,47.0,37.27,2164520
44,20180108,47.15,46.2,47.0,46.4,36.79,1908070
45,20180109,47.3,46.4,46.5,47.0,37.27,2185080
46,20180110,50.2,47.0,47.0,49.8,39.49,3068830
47,20180111,52.2,49.0,49.7,51.9,41.15,2786340
48,20180112,55.5,52.1,52.2,55.0,43.61,4607910
49,20180115,55.6,53.7,55.0,54.6,43.29,4999020
50,20180116,54.9,53.8,54.9,53.9,42.74,3440360
51,20180117,57.3,54.0,54.3,55.0,43.61,5077330
52,20180118,58.8,54.5,54.6,57.5,45.59,3399350
53,20180119,61.5,58.5,58.7,61.0,48.37,3426360
54,20180122,61.0,58.5,60.1,59.5,47.18,6289050
55,20180125,61.4,56.0,59.0,56.0,44.4,7792180
56,20180126,58.5,55.0,57.0,55.0,43.61,6619400
57,20180129,57.9,54.9,56.9,55.0,43.61,4390910
58,20180130,56.3,54.5,55.0,55.2,43.77,3073500
59,20180131,58.7,55.4,55.9,55.4,43.93,6251570
